uuid,baked_img,name,rarity,team,team_short_name,ovr,display_position,age,bat_hand,throw_hand,weight,height,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,new_rank,year,mlb_id,season,update,date,old_rank,new_rarity,old_rarity,delta_rank,season_gp,season_vl_gp,season_vl_h,season_vl_2b,season_vl_3b,season_vl_hr,season_vl_tb,season_vl_so,season_vl_pa,season_vl_bb,season_vl_hbp,season_vl_ab,season_vl_rbi,season_vl_pitches_per_pa,season_vl_avg,season_vl_obp,season_vl_slug,season_vl_ops,season_vl_babip,season_vr_gp,season_vr_h,season_vr_2b,season_vr_3b,season_vr_hr,season_vr_tb,season_vr_so,season_vr_pa,season_vr_bb,season_vr_hbp,season_vr_ab,season_vr_rbi,season_vr_pitches_per_pa,season_vr_avg,season_vr_obp,season_vr_slug,season_vr_ops,season_vr_babip,season_risp_gp,season_risp_h,season_risp_2b,season_risp_3b,season_risp_hr,season_risp_tb,season_risp_so,season_risp_pa,season_risp_bb,season_risp_hbp,season_risp_ab,season_risp_rbi,season_risp_pitches_per_pa,season_risp_avg,season_risp_obp,season_risp_slug,season_risp_ops,season_risp_babip,3wk_gp,3wk_vl_gp,3wk_vl_h,3wk_vl_2b,3wk_vl_3b,3wk_vl_hr,3wk_vl_tb,3wk_vl_so,3wk_vl_pa,3wk_vl_bb,3wk_vl_hbp,3wk_vl_ab,3wk_vl_rbi,3wk_vl_pitches_per_pa,3wk_vl_avg,3wk_vl_obp,3wk_vl_slug,3wk_vl_ops,3wk_vl_babip,3wk_vr_gp,3wk_vr_h,3wk_vr_2b,3wk_vr_3b,3wk_vr_hr,3wk_vr_tb,3wk_vr_so,3wk_vr_pa,3wk_vr_bb,3wk_vr_hbp,3wk_vr_ab,3wk_vr_rbi,3wk_vr_pitches_per_pa,3wk_vr_avg,3wk_vr_obp,3wk_vr_slug,3wk_vr_ops,3wk_vr_babip,3wk_risp_gp,3wk_risp_h,3wk_risp_2b,3wk_risp_3b,3wk_risp_hr,3wk_risp_tb,3wk_risp_so,3wk_risp_pa,3wk_risp_bb,3wk_risp_hbp,3wk_risp_ab,3wk_risp_rbi,3wk_risp_pitches_per_pa,3wk_risp_avg,3wk_risp_obp,3wk_risp_slug,3wk_risp_ops,3wk_risp_babip,1wk_gp,1wk_vl_gp,1wk_vl_h,1wk_vl_2b,1wk_vl_3b,1wk_vl_hr,1wk_vl_tb,1wk_vl_so,1wk_vl_pa,1wk_vl_bb,1wk_vl_hbp,1wk_vl_ab,1wk_vl_rbi,1wk_vl_pitches_per_pa,1wk_vl_avg,1wk_vl_obp,1wk_vl_slug,1wk_vl_ops,1wk_vl_babip,1wk_vr_gp,1wk_vr_h,1wk_vr_2b,1wk_vr_3b,1wk_vr_hr,1wk_vr_tb,1wk_vr_so,1wk_vr_pa,1wk_vr_bb,1wk_vr_hbp,1wk_vr_ab,1wk_vr_rbi,1wk_vr_pitches_per_pa,1wk_vr_avg,1wk_vr_obp,1wk_vr_slug,1wk_vr_ops,1wk_vr_babip,1wk_risp_gp,1wk_risp_h,1wk_risp_2b,1wk_risp_3b,1wk_risp_hr,1wk_risp_tb,1wk_risp_so,1wk_risp_pa,1wk_risp_bb,1wk_risp_hbp,1wk_risp_ab,1wk_risp_rbi,1wk_risp_pitches_per_pa,1wk_risp_avg,1wk_risp_obp,1wk_risp_slug,1wk_risp_ops,1wk_risp_babip,ovr_vl_GP,ovr_vl_AB,ovr_vl_H,ovr_vl_BB,ovr_vl_HBP,ovr_vl_SF,ovr_vl_TB,ovr_vl_RBI,ovr_vl_P,ovr_vl_AVG,ovr_vl_OBP,ovr_vl_SLG,ovr_vl_OPS,ovr_vl_BABIP,ovr_vr_GP,ovr_vr_AB,ovr_vr_H,ovr_vr_BB,ovr_vr_HBP,ovr_vr_SF,ovr_vr_TB,ovr_vr_RBI,ovr_vr_P,ovr_vr_AVG,ovr_vr_OBP,ovr_vr_SLG,ovr_vr_OPS,ovr_vr_BABIP,ovr_risp_GP,ovr_risp_AB,ovr_risp_H,ovr_risp_BB,ovr_risp_HBP,ovr_risp_SF,ovr_risp_TB,ovr_risp_RBI,ovr_risp_P,ovr_risp_AVG,ovr_risp_OBP,ovr_risp_SLG,ovr_risp_OPS,ovr_risp_BABIP,ovr_ovr_GP,ovr_ovr_AB,ovr_ovr_H,ovr_ovr_BB,ovr_ovr_HBP,ovr_ovr_SF,ovr_ovr_TB,ovr_ovr_RBI,ovr_ovr_P,ovr_ovr_AVG,ovr_ovr_OBP,ovr_ovr_SLG,ovr_ovr_OPS,ovr_ovr_BABIP
fb625cdc5b14270aad1604ba3afa16db,https://cards.theshow.com/mlb25/fb625cdc5b14270aad1604ba3afa16db-baked.webp,Abraham Almonte,Common,Free Agents,FA,60,RF,35,S,R,223 lbs,"5'10""",True,0,0,0,0,0,0,0,10,10,30,60,32,44,42,48,38,43,34,64,0,47,60,58,46,0,64,24,44,60,2025,501659,0,current,05/17/2025,60,Common,Common,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5200,8975,1950,650,50,100,2725,725,36900,0.2173,0.2711,0.3036,0.5747,0.2741,9350,21925,5250,2325,50,175,8750,2225,97450,0.2395,0.3115,0.3991,0.7106,0.3035,6350,7575,1550,825,25,275,2300,2225,0,0.2046,0.2759,0.3036,0.5795,0.2511,14550,30900,7200,2975,100,275,11475,2950,134350,0.233,0.3,0.3714,0.6714,0.2946
8f243eaab09466a8b0fc3efec999e86a,https://cards.theshow.com/mlb25/8f243eaab09466a8b0fc3efec999e86a-baked.webp,Aaron Hicks,Bronze,Free Agents,FA,70,LF,35,S,R,205 lbs,"6'1""",True,0,0,0,0,0,0,0,10,10,80,43,70,44,51,84,66,45,42,79,0,56,85,57,61,0,50,12,6,70,2025,543305,0,current,05/17/2025,70,Bronze,Bronze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12500,23525,5925,2850,100,200,9950,3325,108675,0.2519,0.3327,0.423,0.7557,0.2958,21875,54850,12175,8675,325,475,20075,6475,272525,0.222,0.3292,0.366,0.6952,0.2622,15300,18175,4200,3600,150,675,6950,6600,0,0.2311,0.3518,0.3824,0.7342,0.2647,34375,78375,18100,11525,425,675,30025,9800,381200,0.2309,0.3302,0.3831,0.7133,0.2721
592b7cb2d47f16c8743de6288eb7e69c,https://cards.theshow.com/mlb25/592b7cb2d47f16c8743de6288eb7e69c-baked.webp,Adam Duvall,Bronze,Free Agents,FA,71,CF,36,R,R,233 lbs,"6'1""",True,0,0,0,0,0,0,0,10,10,64,36,80,56,40,48,45,35,25,89,0,69,72,65,74,0,68,12,8,71,2025,594807,0,current,05/17/2025,71,Bronze,Bronze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12325,22725,5325,2150,250,150,10775,3575,97625,0.2343,0.3056,0.4741,0.7797,0.2726,22750,62100,13950,4025,975,675,28150,10575,257375,0.2246,0.2796,0.4533,0.7329,0.265,16150,22400,5475,1975,425,825,11150,9625,0,0.2444,0.3073,0.4978,0.8051,0.2667,35075,84825,19275,6175,1225,825,38925,14150,355000,0.2272,0.2867,0.4589,0.7456,0.267
9e3b631d801e19a9e92a405ea759e09f,https://cards.theshow.com/mlb25/9e3b631d801e19a9e92a405ea759e09f-baked.webp,Aaron Schunk,Bronze,Rockies,COL,66,3B,27,R,R,205 lbs,"6'1""",True,0,0,0,0,0,0,0,10,10,40,58,36,50,40,34,27,35,25,69,0,81,71,60,78,0,68,26,24,66,2025,668845,0,current,05/17/2025,66,Bronze,Bronze,0,7,7,2,0,0,0,2,3,10,0,0,10,0,2.8,0.2,0.2,0.2,0.4,0.2857,7,3,1,0,0,4,2,11,0,0,10,0,1.8182,0.3,0.3,0.4,0.7,0.375,7,4,1,0,0,5,1,6,0,0,5,0,1.6667,0.8,0.8,1.0,1.8,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,525,800,150,50,0,0,150,0,3300,0.1875,0.2353,0.1875,0.4228,0.375,750,1550,400,50,0,0,625,175,5975,0.2581,0.2812,0.4032,0.6844,0.3111,500,600,100,25,0,0,100,100,0,0.1667,0.2,0.1667,0.3667,0.2,1275,2350,550,100,0,0,775,175,9275,0.234,0.2653,0.3298,0.5951,0.3279
0f0a46923fe371945d00aff58b3e218a,https://cards.theshow.com/mlb25/0f0a46923fe371945d00aff58b3e218a-baked.webp,Abraham Toro,Bronze,Red Sox,BOS,71,3B,28,S,R,223 lbs,"6'0""",True,0,0,0,0,0,0,0,10,10,72,53,38,44,76,40,72,35,25,66,0,69,68,59,65,0,64,10,12,71,2025,647351,0,current,05/17/2025,71,Bronze,Bronze,0,7,7,0,0,0,0,0,1,2,0,0,2,0,4.5,0.0,0.0,0.0,0.0,0.0,7,4,1,0,1,8,3,20,0,0,20,1,2.75,0.2,0.2,0.4,0.6,0.1875,7,1,1,0,0,2,1,3,0,0,3,0,3.3333,0.3333,0.3333,0.6667,1.0,0.5,7,7,0,0,0,0,0,1,2,0,0,2,0,4.5,0.0,0.0,0.0,0.0,0.0,7,4,1,0,1,8,3,20,0,0,20,1,2.75,0.2,0.2,0.4,0.6,0.1875,7,1,1,0,0,2,1,3,0,0,3,0,3.3333,0.3333,0.3333,0.6667,1.0,0.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,1,6,2,8,0,0,8,1,3.625,0.25,0.25,0.75,1.0,0.2,2,1,1,0,0,2,0,1,0,0,1,0,3.0,1.0,1.0,2.0,3.0,1.0,4625,8425,1925,600,225,50,2575,525,36775,0.2285,0.2957,0.3056,0.6013,0.2721,8200,21050,4550,1575,350,125,7825,2825,88625,0.2162,0.2803,0.3717,0.652,0.2316,5250,6525,1750,850,150,175,2650,2475,0,0.2682,0.3571,0.4061,0.7632,0.2844,12825,29475,6475,2175,575,175,10400,3350,125400,0.2197,0.2847,0.3528,0.6375,0.2435
819ce02be3100fadf79b7f5aea4c6b4d,https://cards.theshow.com/mlb25/819ce02be3100fadf79b7f5aea4c6b4d-baked.webp,Adael Amador,Common,Rockies,COL,63,2B,21,S,R,200 lbs,"6'0""",True,0,0,0,0,0,0,0,10,10,44,50,40,44,39,38,45,35,30,70,0,62,64,61,64,0,65,40,41,63,2025,691182,0,current,05/17/2025,63,Common,Common,0,25,25,0,0,0,0,0,4,15,1,0,14,1,2.0667,0.0,0.0667,0.0,0.0667,0.0,25,10,4,0,1,17,16,59,6,1,51,2,3.1864,0.1961,0.2931,0.3333,0.6264,0.2647,25,5,4,0,0,9,1,13,1,1,10,1,2.1538,0.5,0.5833,0.9,1.4833,0.5556,15,15,0,0,0,0,0,2,9,0,0,9,0,1.4444,0.0,0.0,0.0,0.0,0.0,15,7,3,0,1,13,9,37,5,0,32,2,3.3514,0.2188,0.3243,0.4062,0.7306,0.2727,15,3,3,0,0,6,1,9,1,0,8,1,2.0,0.375,0.4444,0.75,1.1944,0.4286,6,6,0,0,0,0,0,1,4,0,0,4,0,2.0,0.0,0.0,0.0,0.0,0.0,6,2,0,0,0,2,4,15,4,0,11,0,3.6667,0.1818,0.4,0.1818,0.5818,0.2857,6,0,0,0,0,0,1,3,1,0,2,0,3.3333,0.0,0.3333,0.0,0.3333,0.0,100,125,25,0,0,0,25,0,525,0.2,0.2,0.2,0.4,0.2,250,750,125,25,0,0,150,0,2450,0.1667,0.1935,0.2,0.3935,0.2083,125,150,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,350,875,150,25,0,0,175,0,2975,0.1714,0.1944,0.2,0.3944,0.2069
83c421f4a8828f7035a933ca8acf744b,https://cards.theshow.com/mlb25/83c421f4a8828f7035a933ca8acf744b-baked.webp,Adam Frazier,Bronze,Pirates,PIT,72,2B,33,L,R,190 lbs,"5'10""",True,0,0,0,0,0,0,0,10,10,36,58,43,45,77,54,77,45,34,95,0,61,70,86,65,0,45,43,54,72,2025,624428,0,current,05/17/2025,72,Bronze,Bronze,0,43,43,1,0,0,0,1,7,17,2,1,14,0,3.3529,0.0714,0.2353,0.0714,0.3067,0.1429,43,27,4,0,2,37,16,123,9,1,112,10,2.8049,0.2411,0.3008,0.3304,0.6312,0.2632,43,13,4,0,0,17,3,24,1,0,22,5,2.5,0.5909,0.5833,0.7727,1.3561,0.65,18,18,0,0,0,0,0,2,3,0,0,3,0,3.3333,0.0,0.0,0.0,0.0,0.0,18,10,1,0,1,14,8,52,4,1,47,2,3.0962,0.2128,0.2885,0.2979,0.5863,0.2368,18,5,1,0,0,6,2,10,1,0,9,1,3.0,0.5556,0.6,0.6667,1.2667,0.7143,7,7,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,1,0,0,5,5,20,3,0,17,0,3.35,0.2353,0.35,0.2941,0.6441,0.3333,7,3,1,0,0,4,1,5,1,0,4,0,3.0,0.75,0.8,1.0,1.8,1.0,11150,18075,4450,1175,400,75,6150,1875,75050,0.2462,0.3054,0.3402,0.6456,0.284,24925,67550,18125,5875,850,300,26825,6600,285825,0.2683,0.3332,0.3971,0.7303,0.2969,15075,17850,4975,1975,550,375,7525,6775,0,0.2787,0.3614,0.4216,0.783,0.2973,36075,85625,22575,7050,1250,375,32975,8475,360875,0.2636,0.3274,0.3851,0.7125,0.2942
3e67d1f24ebdbbbe125e7040442f6e84,https://cards.theshow.com/mlb25/3e67d1f24ebdbbbe125e7040442f6e84-baked.webp,Aaron Judge,Diamond,Yankees,NYY,92,RF,32,R,R,282 lbs,"6'7""",True,0,0,0,0,0,0,0,10,10,97,99,117,101,50,103,100,35,25,96,0,63,84,85,44,0,46,45,46,92,2025,592450,0,current,05/17/2025,92,Diamond,Diamond,0,45,45,12,2,0,6,32,4,33,8,0,25,13,2.7879,0.48,0.6061,1.28,1.8861,0.4,45,58,10,2,9,99,42,172,20,2,149,28,3.1744,0.3893,0.4651,0.6644,1.1295,0.4949,45,32,12,2,0,48,4,51,11,0,39,13,2.9412,0.8205,0.8431,1.2308,2.0739,0.8889,19,19,2,0,0,2,8,1,7,3,0,4,3,2.7143,0.5,0.7143,2.0,2.7143,0.0,19,28,5,1,6,53,20,80,7,0,72,12,2.9875,0.3889,0.4375,0.7361,1.1736,0.4681,19,10,5,1,0,17,1,21,6,0,14,3,3.1905,0.7143,0.7619,1.2143,1.9762,0.7143,7,7,1,0,0,1,4,1,2,0,0,2,1,2.5,0.5,0.5,2.0,2.5,0.0,7,12,2,0,2,20,10,33,4,0,28,6,3.3939,0.4286,0.4848,0.7143,1.1991,0.5882,7,6,2,0,0,8,1,11,3,0,7,3,3.3636,0.8571,0.8182,1.1429,1.961,0.8571,12275,21325,5975,5225,250,125,12900,4400,115575,0.2802,0.4253,0.6049,1.0302,0.3319,23975,67775,19675,12100,575,525,40950,13500,341675,0.2903,0.3995,0.6042,1.0037,0.3478,16675,18625,5500,5275,175,650,10850,9300,0,0.2953,0.4429,0.5826,1.0255,0.3512,36250,89100,25650,17325,825,650,53850,17900,457250,0.2879,0.4059,0.6044,1.0103,0.3441
0b78ca7d696a4dff9aa4ae9d1b21e362,https://cards.theshow.com/mlb25/0b78ca7d696a4dff9aa4ae9d1b21e362-baked.webp,Adrian Del Castillo,Bronze,Diamondbacks,ARI,72,C,25,L,R,208 lbs,"5'10""",True,0,0,0,0,0,0,0,10,10,70,68,40,71,45,55,69,22,16,85,0,58,39,53,81,64,25,3,4,72,2025,680728,0,current,05/17/2025,72,Bronze,Bronze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300,450,200,0,0,0,250,125,1425,0.4444,0.4444,0.5556,1.0,0.6667,575,1550,425,175,0,0,800,350,6975,0.2742,0.3478,0.5161,0.8639,0.3611,475,650,250,75,0,0,500,450,0,0.3846,0.4483,0.7692,1.2175,0.4667,875,2000,625,175,0,0,1050,475,8400,0.3125,0.3678,0.525,0.8928,0.4375
ce02365e7cbf81007cbd278abf8ac48b,https://cards.theshow.com/mlb25/ce02365e7cbf81007cbd278abf8ac48b-baked.webp,Addison Barger,Bronze,Blue Jays,TOR,69,3B,25,L,R,210 lbs,"5'11""",True,0,0,0,0,0,0,0,10,10,35,42,33,61,56,44,84,29,24,74,0,54,99,67,62,0,66,12,14,69,2025,680718,0,current,05/17/2025,69,Bronze,Bronze,0,24,24,1,1,0,0,2,2,8,0,0,8,2,1.75,0.125,0.125,0.25,0.375,0.1667,24,16,6,0,2,28,13,68,5,1,62,7,3.1176,0.2581,0.3235,0.4516,0.7751,0.2979,24,9,7,0,0,16,0,17,3,0,14,3,2.5882,0.6429,0.7059,1.1429,1.8487,0.6429,16,16,1,1,0,0,2,2,7,0,0,7,2,1.7143,0.1429,0.1429,0.2857,0.4286,0.2,16,13,4,0,2,23,9,47,4,1,42,6,3.1702,0.3095,0.383,0.5476,0.9306,0.3548,16,7,5,0,0,12,0,12,2,0,10,3,2.5,0.7,0.75,1.2,1.95,0.7,7,7,0,0,0,0,0,0,2,0,0,2,1,1.0,0.0,0.0,0.0,0.0,0.0,7,7,1,0,2,14,7,25,2,0,23,3,3.52,0.3043,0.36,0.6087,0.9687,0.3571,7,1,1,0,0,2,0,2,1,0,1,0,5.0,1.0,1.0,2.0,3.0,1.0,675,875,125,25,25,0,200,100,3675,0.1429,0.1892,0.2286,0.4178,0.2778,1600,4325,900,325,0,25,1625,600,17900,0.2081,0.262,0.3757,0.6377,0.2339,1000,1300,375,50,0,25,700,525,0,0.2885,0.3091,0.5385,0.8476,0.3421,2275,5200,1025,350,25,25,1825,700,21575,0.1971,0.25,0.351,0.601,0.2394
