uuid,baked_img,name,rarity,team,team_short_name,ovr,display_position,age,bat_hand,throw_hand,weight,height,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,new_rank,year
ed68e25af40aeb24441a4fd22532e7bc,https://cards.theshow.com/mlb25/ed68e25af40aeb24441a4fd22532e7bc-baked.webp,A.J. Alexy,Common,Free Agents,FA,63,SP,26,R,R,195 lbs,"6'4""",False,74,47,50,66,31,49,74,56,99,0,0,0,0,0,0,0,30,10,0,70,26,45,30,25,0,25,9,4,63,2025
ba2e23ec594dd73918b7a5e949bc4889,https://cards.theshow.com/mlb25/ba2e23ec594dd73918b7a5e949bc4889-baked.webp,A.J. Blubaugh,Common,Astros,HOU,61,SP,24,R,R,190 lbs,"6'2""",False,72,44,50,54,36,42,77,59,62,6,5,5,3,8,4,6,28,3,0,79,52,48,46,38,0,38,8,2,61,2025
4989386aaa0e680e85a7bb0d51fa826c,https://cards.theshow.com/mlb25/4989386aaa0e680e85a7bb0d51fa826c-baked.webp,A.J. Labas,Common,Free Agents,FA,55,RP,26,R,R,223 lbs,"6'3""",False,32,52,53,52,46,47,61,53,57,6,4,7,4,7,8,7,30,6,0,71,60,52,58,60,0,31,4,4,55,2025
ee3df05c4b1857006e0025bcf646398c,https://cards.theshow.com/mlb25/ee3df05c4b1857006e0025bcf646398c-baked.webp,A.J. Minter,Silver,Free Agents,FA,75,RP,31,L,L,215 lbs,"6'0""",False,23,76,86,77,58,77,76,69,95,0,0,0,0,0,0,0,63,0,0,93,44,59,57,34,0,25,0,4,75,2025
652901ebfb11a3676763839aa0a4c33f,https://cards.theshow.com/mlb25/652901ebfb11a3676763839aa0a4c33f-baked.webp,A.J. Puk,Bronze,Free Agents,FA,73,RP,29,L,L,248 lbs,"6'7""",False,29,92,64,72,63,63,97,68,88,0,0,0,0,2,0,0,37,10,0,77,45,79,50,33,0,42,0,12,73,2025
e3a9682e949423ecdcbe7e0a0b2ff990,https://cards.theshow.com/mlb25/e3a9682e949423ecdcbe7e0a0b2ff990-baked.webp,Aaron Ashby,Bronze,Brewers,MIL,72,RP,26,R,L,188 lbs,"6'1""",False,30,81,77,61,57,62,99,68,95,0,0,0,0,0,17,0,38,8,0,77,43,55,38,40,0,28,0,8,72,2025
094f45cd07bceec9a66a1898b9a5a418,https://cards.theshow.com/mlb25/094f45cd07bceec9a66a1898b9a5a418-baked.webp,Aaron Brooks,Bronze,Free Agents,FA,70,SP,34,R,R,230 lbs,"6'4""",False,68,58,56,50,67,43,84,52,86,8,4,9,4,6,6,7,68,13,0,58,45,55,38,65,0,30,7,2,70,2025
e12c9aadb7207afe9615fd2feb6344d7,https://cards.theshow.com/mlb25/e12c9aadb7207afe9615fd2feb6344d7-baked.webp,Aaron Bummer,Bronze,Braves,ATL,68,RP,31,L,L,215 lbs,"6'3""",False,25,61,63,76,50,84,86,66,99,0,0,0,0,2,0,0,64,0,0,77,48,77,50,53,0,20,0,7,68,2025
24e09e2b5d0453f3f3fdb17c8ec14a7a,https://cards.theshow.com/mlb25/24e09e2b5d0453f3f3fdb17c8ec14a7a-baked.webp,Aaron Civale,Bronze,Brewers,MIL,74,SP,29,R,R,215 lbs,"6'2""",False,75,80,63,51,69,49,83,65,95,0,0,0,0,0,17,0,63,1,0,78,45,68,49,40,0,40,0,12,74,2025
8f243eaab09466a8b0fc3efec999e86a,https://cards.theshow.com/mlb25/8f243eaab09466a8b0fc3efec999e86a-baked.webp,Aaron Hicks,Bronze,Free Agents,FA,70,LF,35,S,R,205 lbs,"6'1""",True,0,0,0,0,0,0,0,10,10,80,43,70,44,51,84,66,45,42,79,0,56,85,57,61,0,50,12,6,70,2025
