uuid,baked_img,name,rarity,team,team_short_name,ovr,display_position,age,bat_hand,throw_hand,weight,height,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,new_rank,year,mlb_id,season,update,date,old_rank,new_rarity,old_rarity,delta_rank,contact_right_new,contact_left_new,power_right_new,power_left_new,plate_vision_new,plate_discipline_new,batting_clutch_new,k_per_bf_new,bb_per_bf_new,hr_per_bf_new,pitching_clutch_new,stamina_new,season_gp,season_ovr_gp,season_ovr_GP,season_ovr_IP,season_ovr_H,season_ovr_ER,season_ovr_HR,season_ovr_BB,season_ovr_K,season_ovr_P,season_ovr_P/G,season_ovr_BAA,season_ovr_WHIP,season_ovr_CS%,season_ovr_R/9,season_ovr_K/9,season_ovr_BB/9,season_ovr_HR/9,season_ovr_H/9,season_ovr_K/BB,season_ovr_BABIP,season_ovr_OBA,season_ovr_SLGA,season_ovr_OPS,season_risp_gp,season_risp_GP,season_risp_IP,season_risp_H,season_risp_ER,season_risp_HR,season_risp_BB,season_risp_K,season_risp_P,season_risp_P/G,season_risp_BAA,season_risp_WHIP,season_risp_CS%,season_risp_R/9,season_risp_K/9,season_risp_BB/9,season_risp_HR/9,season_risp_H/9,season_risp_K/BB,season_risp_BABIP,season_risp_OBA,season_risp_SLGA,season_risp_OPS,3wk_gp,3wk_ovr_gp,3wk_ovr_GP,3wk_ovr_IP,3wk_ovr_H,3wk_ovr_ER,3wk_ovr_HR,3wk_ovr_BB,3wk_ovr_K,3wk_ovr_P,3wk_ovr_P/G,3wk_ovr_BAA,3wk_ovr_WHIP,3wk_ovr_CS%,3wk_ovr_R/9,3wk_ovr_K/9,3wk_ovr_BB/9,3wk_ovr_HR/9,3wk_ovr_H/9,3wk_ovr_K/BB,3wk_ovr_BABIP,3wk_ovr_OBA,3wk_ovr_SLGA,3wk_ovr_OPS,3wk_risp_gp,3wk_risp_GP,3wk_risp_IP,3wk_risp_H,3wk_risp_ER,3wk_risp_HR,3wk_risp_BB,3wk_risp_K,3wk_risp_P,3wk_risp_P/G,3wk_risp_BAA,3wk_risp_WHIP,3wk_risp_CS%,3wk_risp_R/9,3wk_risp_K/9,3wk_risp_BB/9,3wk_risp_HR/9,3wk_risp_H/9,3wk_risp_K/BB,3wk_risp_BABIP,3wk_risp_OBA,3wk_risp_SLGA,3wk_risp_OPS,1wk_gp,1wk_ovr_gp,1wk_ovr_GP,1wk_ovr_IP,1wk_ovr_H,1wk_ovr_ER,1wk_ovr_HR,1wk_ovr_BB,1wk_ovr_K,1wk_ovr_P,1wk_ovr_P/G,1wk_ovr_BAA,1wk_ovr_WHIP,1wk_ovr_CS%,1wk_ovr_R/9,1wk_ovr_K/9,1wk_ovr_BB/9,1wk_ovr_HR/9,1wk_ovr_H/9,1wk_ovr_K/BB,1wk_ovr_BABIP,1wk_ovr_OBA,1wk_ovr_SLGA,1wk_ovr_OPS,1wk_risp_gp,1wk_risp_GP,1wk_risp_IP,1wk_risp_H,1wk_risp_ER,1wk_risp_HR,1wk_risp_BB,1wk_risp_K,1wk_risp_P,1wk_risp_P/G,1wk_risp_BAA,1wk_risp_WHIP,1wk_risp_CS%,1wk_risp_R/9,1wk_risp_K/9,1wk_risp_BB/9,1wk_risp_HR/9,1wk_risp_H/9,1wk_risp_K/BB,1wk_risp_BABIP,1wk_risp_OBA,1wk_risp_SLGA,1wk_risp_OPS,ovr_ovr_GP,ovr_ovr_GS,ovr_ovr_CG,ovr_ovr_SHO,ovr_ovr_W,ovr_ovr_L,ovr_ovr_SV,ovr_ovr_SVO,ovr_ovr_HLD,ovr_ovr_IP,ovr_ovr_H,ovr_ovr_R,ovr_ovr_ER,ovr_ovr_HR,ovr_ovr_BB,ovr_ovr_K,ovr_ovr_P,ovr_ovr_ERA,ovr_ovr_WHIP,ovr_ovr_BAA,ovr_ovr_OBA,ovr_risp_GP,ovr_risp_GS,ovr_risp_CG,ovr_risp_SHO,ovr_risp_W,ovr_risp_L,ovr_risp_SV,ovr_risp_SVO,ovr_risp_HLD,ovr_risp_IP,ovr_risp_H,ovr_risp_R,ovr_risp_ER,ovr_risp_HR,ovr_risp_BB,ovr_risp_K,ovr_risp_P,ovr_risp_ERA,ovr_risp_WHIP,ovr_risp_BAA,ovr_risp_OBA
639c83a3e92c8214eb47a462844527f8,https://cards.theshow.com/mlb25/639c83a3e92c8214eb47a462844527f8-baked.webp,Mason Miller,Diamond,Athletics,OAK,89,CP,26,R,R,200 lbs,"6'5""",False,28,94,104,107,67,72,99,84,95,8,5,7,3,11,13,10,39,8,0,75,46,78,46,54,0,37,8,7,89,2025,695243,2025,2025_1,05/02/2025,86,Diamond,Diamond,3,5,8,3,7,11,13,10,112,77,71,108,28,12,12,43,11.67,6,2,1,2,23,138,3.2093,0.1714,0.6855,0.6304,1.5424,17.7378,1.5424,0.7712,4.6272,11.5,0.2632,0.186,0.2439,0.4299,12,5,1.0,1,0,0,1,1,13,2.6,0.3333,2.0,0.3077,0.0,9.0,9.0,0.0,9.0,1.0,0.25,0.4,0.5,0.9,8,8,29,8.0,4,2,1,1,15,91,3.1379,0.1667,0.625,0.6484,2.25,16.875,1.125,1.125,4.5,15.0,0.2308,0.1724,0.2857,0.4581,8,3,0.67,1,0,0,0,1,6,2.0,0.5,1.4925,0.5,0.0,13.4328,0.0,0.0,13.4328,0.0,0.5,0.3333,0.6667,1.0,4,4,15,4.0,2,2,1,1,6,43,2.8667,0.1667,0.75,0.6047,4.5,13.5,2.25,2.25,4.5,6.0,0.125,0.2,0.3571,0.5571,4,2,0.67,0,0,0,0,1,6,3.0,0.0,0.0,0.5,0.0,13.4328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0,0,500.0,425,0,0,25,300,625,8725,0.0,1.45,0.1889,0.3333
1c5d43a0f69492a369dba76354a3fe52,https://cards.theshow.com/mlb25/1c5d43a0f69492a369dba76354a3fe52-baked.webp,Paul Skenes,Diamond,Pirates,PIT,88,SP,22,R,R,260 lbs,"6'6""",False,85,91,86,73,80,86,99,75,99,34,36,26,22,25,25,25,25,5,0,83,55,85,55,45,0,45,25,5,88,2025,694973,2025,2025_1,05/02/2025,86,Diamond,Diamond,2,36,34,22,26,25,25,25,69,87,96,88,90,7,7,165,40.67,31,14,4,8,41,508,3.0788,0.2541,0.9589,0.5256,3.0981,9.073,1.7703,0.8852,6.8601,5.125,0.2308,0.2469,0.3464,0.5933,7,28,3.0,15,5,0,3,3,72,2.5714,1.6667,6.0,0.4861,15.0,9.0,9.0,0.0,45.0,1.0,0.625,0.6667,1.0417,1.7084,4,4,95,23.0,19,7,4,5,21,296,3.1158,0.2754,1.0435,0.5068,2.7391,8.2174,1.9565,1.5652,7.4348,4.2,0.2174,0.266,0.4205,0.6865,4,14,1.33,8,1,0,1,1,35,2.5,2.0,6.7669,0.5143,6.7669,6.7669,6.7669,0.0,54.1353,1.0,0.6667,0.6923,1.1667,1.859,2,2,47,11.0,10,3,3,4,11,149,3.1702,0.303,1.2727,0.4899,2.4545,9.0,3.2727,2.4545,8.1818,2.75,0.2121,0.2979,0.5116,0.8095,2,7,1.0,3,0,0,1,1,19,2.7143,1.0,4.0,0.5263,0.0,9.0,9.0,0.0,27.0,1.0,0.5,0.5714,1.0,1.5714,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,600.0,350,0,0,25,175,650,8600,0.0,0.875,0.1591,0.2614
b2585f509345e30749a913d76f462bc3,https://cards.theshow.com/mlb25/b2585f509345e30749a913d76f462bc3-baked.webp,Tarik Skubal,Diamond,Tigers,DET,88,SP,28,L,L,240 lbs,"6'3""",False,85,82,81,71,88,79,99,83,71,0,0,0,0,0,0,0,36,9,0,65,54,68,56,50,0,42,22,14,88,2025,669373,2025,2025_1,05/02/2025,87,Diamond,Diamond,1,0,0,0,0,0,0,0,70,94,79,89,84,7,7,161,40.0,35,10,4,5,48,451,2.8012,0.2917,1.0,0.6031,2.25,10.8,1.125,0.9,7.875,9.6,0.2844,0.2547,0.3226,0.5773,7,26,3.67,11,4,0,3,5,78,3.0,1.0,3.8147,0.4744,9.8093,12.2616,7.3569,0.0,26.9755,1.6667,0.5238,0.5769,0.6364,1.2133,4,4,92,23.67,19,3,1,1,32,263,2.8587,0.2676,0.845,0.6312,1.1407,12.1673,0.3802,0.3802,7.2243,32.0,0.3051,0.2283,0.2556,0.4839,4,16,3.0,5,2,0,1,4,50,3.125,0.5556,2.0,0.52,6.0,12.0,3.0,0.0,15.0,4.0,0.4167,0.4375,0.4286,0.8661,2,2,44,11.67,8,1,1,0,19,128,2.9091,0.2286,0.6855,0.6328,0.7712,14.653,0.0,0.7712,6.1697,0.0,0.2917,0.2045,0.2791,0.4836,2,7,1.67,1,0,0,0,2,21,3.0,0.2,0.5988,0.5714,0.0,10.7784,0.0,0.0,5.3892,0.0,0.2,0.2857,0.3333,0.619,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2425,0,0,0,0,0,0,0,0,2582.4,2250,0,0,225,625,2875,40625,0.0,1.1133,0.2148,0.2864
2ad8d7208c18f493011f8cf0426d0fad,https://cards.theshow.com/mlb25/2ad8d7208c18f493011f8cf0426d0fad-baked.webp,Shohei Ohtani,Diamond,Dodgers,LAD,91,SP,30,L,R,210 lbs,"6'3""",False,76,93,94,88,50,98,96,69,93,83,101,86,110,58,88,80,35,25,0,96,62,94,66,55,0,86,99,95,91,2025,660271,2025,2025_1,05/02/2025,91,Diamond,Diamond,0,101,87,110,86,59,93,75,88,50,98,93,76,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2050,0,0,0,0,0,0,0,0,2356.7,1375,0,0,225,950,3075,36150,0.0,0.9865,0.1486,0.2568
2613eb51b0ce09c12b6cac14c51dc38c,https://cards.theshow.com/mlb25/2613eb51b0ce09c12b6cac14c51dc38c-baked.webp,Logan Gilbert,Diamond,Mariners,SEA,87,SP,27,R,R,215 lbs,"6'6""",False,85,63,90,72,85,59,86,78,98,0,0,0,0,2,0,0,30,0,0,75,45,70,55,34,0,40,0,0,87,2025,669302,2025,2025_1,05/02/2025,85,Diamond,Diamond,2,0,0,0,0,2,0,0,82,84,59,63,82,6,6,117,30.33,18,8,3,6,44,398,3.4017,0.1978,0.7913,0.5729,2.3739,13.0564,1.7804,0.8902,5.3412,7.3333,0.2174,0.2155,0.2936,0.5091,6,19,3.0,8,3,0,2,5,70,3.6842,0.8889,3.3333,0.5143,9.0,15.0,6.0,0.0,24.0,2.5,0.5714,0.5263,0.7647,1.291,3,3,52,12.67,10,3,1,3,19,180,3.4615,0.2632,1.026,0.5778,2.131,13.4964,2.131,0.7103,7.1034,6.3333,0.2812,0.2692,0.3333,0.6025,3,11,2.0,4,0,0,1,2,41,3.7273,0.6667,2.5,0.5366,0.0,9.0,4.5,0.0,18.0,2.0,0.4444,0.4545,0.7,1.1545,1,1,9,3.0,0,0,0,0,3,21,2.3333,0.0,0.0,0.5714,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2800,0,0,0,0,0,0,0,0,3307.4,3125,0,0,450,1050,2675,49950,0.0,1.2623,0.2248,0.3076
f99d32d586c4b1d5e120e25770fe5238,https://cards.theshow.com/mlb25/f99d32d586c4b1d5e120e25770fe5238-baked.webp,Zack Wheeler,Diamond,Phillies,PHI,87,SP,34,L,R,195 lbs,"6'4""",False,90,81,83,72,81,74,96,79,75,24,11,7,6,8,13,19,60,26,0,95,55,71,60,33,0,25,0,7,87,2025,554430,2025,2025_1,05/02/2025,87,Diamond,Diamond,0,11,24,6,7,8,13,19,77,83,78,83,92,7,7,175,43.0,35,15,7,9,57,544,3.1086,0.2713,1.0233,0.5607,3.1395,11.9302,1.8837,1.4651,7.3256,6.3333,0.2523,0.2629,0.3963,0.6592,7,23,2.33,13,3,0,3,3,60,2.6087,1.8571,6.867,0.4667,11.588,11.588,11.588,0.0,50.2146,1.0,0.65,0.6957,1.1,1.7957,4,4,104,25.67,22,9,4,4,32,307,2.9519,0.2857,1.0129,0.557,3.1554,11.2193,1.4024,1.4024,7.7133,8.0,0.2647,0.2596,0.4141,0.6737,4,14,1.33,8,2,0,2,1,34,2.4286,2.0,7.5188,0.4118,13.5338,6.7669,13.5338,0.0,54.1353,0.5,0.6154,0.7143,1.25,1.9643,1,1,27,6.67,5,1,1,1,7,80,2.963,0.25,0.8996,0.525,1.3493,9.4453,1.3493,1.3493,6.7466,7.0,0.2105,0.2593,0.44,0.6993,1,3,0.0,2,0,0,1,0,9,3.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.0,2.5,3.5,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6150,0,0,0,0,0,0,0,0,8164.8,7325,0,0,550,2825,7750,126050,0.0,1.2431,0.217,0.3119
3acb546257bdab68f5cef5ea5fb15785,https://cards.theshow.com/mlb25/3acb546257bdab68f5cef5ea5fb15785-baked.webp,Jacob deGrom,Diamond,Rangers,TEX,85,SP,36,L,R,180 lbs,"6'4""",False,80,85,77,78,76,59,90,82,75,50,49,30,27,48,28,48,49,28,0,72,58,54,56,37,0,25,0,0,85,2025,594798,2025,2025_1,05/02/2025,84,Diamond,Gold,1,49,50,27,30,48,28,48,73,81,55,100,91,6,6,129,32.0,26,9,5,7,33,366,2.8372,0.2708,1.0312,0.5628,2.5312,9.2812,1.9688,1.4062,7.3125,4.7143,0.2283,0.2615,0.3852,0.6467,6,17,2.67,7,2,0,2,2,43,2.5294,0.875,3.3708,0.5581,6.7416,6.7416,6.7416,0.0,23.5955,1.0,0.4667,0.5294,0.8667,1.3961,4,4,85,21.67,16,6,3,5,24,255,3.0,0.2462,0.9691,0.549,2.4919,9.9677,2.0766,1.246,6.6451,4.8,0.2203,0.2442,0.3457,0.5899,4,6,0.67,3,2,0,1,0,15,2.5,1.5,5.9701,0.4667,26.8657,0.0,13.4328,0.0,40.2985,0.0,0.5,0.6667,1.2,1.8667,1,1,20,5.67,4,0,0,0,7,50,2.5,0.2353,0.7055,0.64,0.0,11.1111,0.0,0.0,6.3492,0.0,0.2857,0.1905,0.1905,0.381,1,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5050,0,0,0,0,0,0,0,0,6496.5,4650,0,0,450,2200,7150,96350,0.0,1.0544,0.1825,0.2748
f7267214782a588437d9848ad23e7de0,https://cards.theshow.com/mlb25/f7267214782a588437d9848ad23e7de0-baked.webp,Yoshinobu Yamamoto,Diamond,Dodgers,LAD,85,SP,26,R,R,176 lbs,"5'10""",False,82,82,81,79,70,67,81,71,99,7,4,6,2,5,4,6,33,7,0,82,64,55,56,63,0,38,3,2,85,2025,808967,2025,2025_1,05/02/2025,82,Diamond,Gold,3,4,7,2,6,5,4,6,81,66,67,92,90,7,7,153,38.67,24,6,2,13,48,517,3.3791,0.2069,0.9568,0.5416,1.3964,11.1715,3.0256,0.4655,5.5857,3.6923,0.2136,0.2418,0.2643,0.5061,7,28,4.33,12,2,0,3,4,77,2.75,0.9231,3.4642,0.4935,4.157,8.3141,6.2356,0.0,24.9423,1.3333,0.5,0.5357,0.76,1.2957,4,4,90,23.33,13,3,0,7,29,305,3.3889,0.1857,0.8573,0.541,1.1573,11.1873,2.7004,0.0,5.015,4.1429,0.2131,0.2222,0.2169,0.4391,4,17,2.33,9,1,0,1,3,43,2.5294,1.2857,4.2918,0.4884,3.8627,11.588,3.8627,0.0,34.7639,3.0,0.6429,0.5882,0.875,1.4632,2,2,45,10.67,6,3,0,6,11,142,3.1556,0.1875,1.1246,0.5282,2.5305,9.2784,5.0609,0.0,5.0609,1.8333,0.1818,0.2727,0.1842,0.4569,2,11,1.67,4,1,0,1,2,29,2.6364,0.8,2.994,0.4828,5.3892,10.7784,5.3892,0.0,21.5569,2.0,0.5,0.5,0.5556,1.0556,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,466.2,400,0,0,25,200,475,8675,0.0,1.287,0.1951,0.2927
a1461d1ad8d2fad373ef09486e187bc0,https://cards.theshow.com/mlb25/a1461d1ad8d2fad373ef09486e187bc0-baked.webp,Tyler Glasnow,Diamond,Dodgers,LAD,85,SP,31,L,R,225 lbs,"6'8""",False,80,80,90,78,59,67,97,74,90,7,15,0,0,4,34,7,59,14,0,82,46,68,46,38,0,25,0,4,85,2025,607192,2025,2025_1,05/02/2025,86,Diamond,Diamond,-1,15,7,0,0,4,34,7,79,50,67,85,74,5,5,77,17.67,12,5,4,11,23,252,3.2727,0.2264,1.3016,0.4722,2.5467,11.7148,5.6027,2.0374,6.1121,2.0909,0.16,0.3117,0.3692,0.6809,5,11,2.33,2,0,0,2,3,40,3.6364,0.2857,1.7167,0.45,0.0,11.588,7.7253,0.0,7.7253,1.5,0.25,0.3636,0.2222,0.5858,3,3,44,10.67,8,4,4,3,13,133,3.0227,0.25,1.0309,0.4737,3.3739,10.9653,2.5305,3.3739,6.7479,4.3333,0.1481,0.2727,0.5,0.7727,3,5,1.33,1,0,0,0,3,20,4.0,0.25,0.7519,0.55,0.0,20.3008,0.0,0.0,6.7669,0.0,0.5,0.2,0.2,0.4,1,1,5,0.67,2,2,2,1,0,13,2.6,1.0,4.4776,0.3077,26.8657,0.0,13.4328,26.8657,26.8657,0.0,0.0,0.6,2.0,2.6,1,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3225,0,0,0,0,0,0,0,0,3464.8,2950,0,0,375,1675,4725,56350,0.0,1.3349,0.198,0.3188
362ecba8def0b49f92307e8f0927ec43,https://cards.theshow.com/mlb25/362ecba8def0b49f92307e8f0927ec43-baked.webp,Chris Sale,Diamond,Braves,ATL,85,SP,35,L,L,180 lbs,"6'6""",False,85,75,76,74,79,69,94,81,99,0,0,0,0,0,2,0,72,25,0,68,85,75,68,74,0,22,0,0,85,2025,519242,2025,2025_1,05/02/2025,87,Diamond,Diamond,-2,0,0,0,0,0,2,0,73,80,62,70,81,7,7,157,34.67,41,19,5,9,46,499,3.1783,0.3942,1.4422,0.5711,4.9322,11.9412,2.3363,1.298,10.6432,5.1111,0.3396,0.3376,0.469,0.8066,7,44,7.33,16,9,0,4,11,127,2.8864,0.7273,2.7285,0.5512,11.0505,13.5061,4.9113,0.0,19.6453,2.75,0.4848,0.5,0.7368,1.2368,4,4,91,20.0,22,9,3,8,29,313,3.4396,0.3667,1.5,0.5591,4.05,13.05,3.6,1.35,9.9,3.625,0.322,0.3407,0.4634,0.8041,4,25,4.33,8,4,0,3,9,81,3.24,0.6154,2.5404,0.5679,8.3141,18.7067,6.2356,0.0,16.6282,3.0,0.5,0.48,0.7143,1.1943,2,2,47,11.67,10,3,1,2,14,156,3.3191,0.2857,1.0283,0.5833,2.3136,10.7969,1.5424,0.7712,7.7121,7.0,0.2812,0.2553,0.3778,0.6331,2,11,1.67,5,2,0,1,4,34,3.0909,1.0,3.5928,0.6176,10.7784,21.5569,5.3892,0.0,26.9461,4.0,0.7143,0.5455,0.9,1.4455,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7900,0,0,0,0,0,0,0,0,9480.3,7600,0,0,900,2550,12450,147750,0.0,1.0706,0.1997,0.2838
