uuid,type,img,baked_img,sc_baked_img,name,rarity,team,team_short_name,ovr,series,series_texture_name,series_year,display_position,display_secondary_positions,jersey_number,age,bat_hand,throw_hand,weight,height,born,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,hit_rank_image,fielding_rank_image,pitches,quirks,is_sellable,has_augment,augment_text,augment_end_date,has_matchup,stars,trend,new_rank,has_rank_change,event,set_name,is_live_set,ui_anim_index
aa49911b58898fa45ce3a21e64ef32b4,mlb_card,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTHZKRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--2ea488965151191de86f758f4c485242dcc1c691/default-mlb-card.webp,https://cards.theshow.com/mlb24/aa49911b58898fa45ce3a21e64ef32b4-baked.webp,,Aaron Schunk,Common,Rockies,COL,64,Live,,2017,3B,"1B, 2B",30,26,R,R,205 lbs,"6'1""",Georgia,True,0,0,0,0,0,0,0,10,10,43,64,40,56,49,39,27,24,21,69,0,54,56,53,58,0,59,26,24,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ25MRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--874809577e77c4925cd144d3c235bd55a80ea3fa/shield-common.webp,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ25MRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--874809577e77c4925cd144d3c235bd55a80ea3fa/shield-common.webp,[],[],True,False,,,False,,,64,False,True,CORE,True,0
93d619ab0e279d1771788dea7d354306,mlb_card,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCT0VMSFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f360ce101893a43fe4a918f211d35d9c70a06ec2/833dcc64597c333a934e23481b950e0b.jpg,https://cards.theshow.com/mlb24/93d619ab0e279d1771788dea7d354306-baked.webp,,Abner Uribe,Bronze,Brewers,MIL,65,Live,,2017,RP,,45,23,R,R,225 lbs,"6'3""",At Sea,False,24,96,71,69,20,79,99,74,86,6,4,5,2,11,13,9,38,5,0,75,44,94,43,38,0,37,6,5,,,"[{'name': 'Sinker', 'speed': 95, 'control': 77, 'movement': 81}, {'name': 'Slider', 'speed': 88, 'control': 74, 'movement': 86}, {'name': '4-Seam Fastball', 'speed': 99, 'control': 71, 'movement': 54}]","[{'name': 'Stopper', 'description': 'Performs better when team is behind', 'img': 'https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSFBJRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--906a21c220cb7acbe5bc56e8d68acec60a7147a7/GPerk_Stopper.webp'}, {'name': 'Outlier I', 'description': 'Primary pitch exceeds max velocity limit', 'img': 'https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCR0RJRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8b1335f0dd70bfdada6e74e9892080ce014f7243/GPerk_OutlierI.webp'}]",True,False,,,False,,,65,False,False,CORE,True,0
7b6773fbfeaa7c221421645cb1efacf6,mlb_card,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTmJySEJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a1bf8f2614759428e28c1970f1f984bce0b7df54/168823b675ac3d8c95c4b04c92101890.jpg,https://cards.theshow.com/mlb24/7b6773fbfeaa7c221421645cb1efacf6-baked.webp,,Adael Amador,Common,Rockies,COL,63,Live,,2017,2B,"3B, SS",2,20,S,R,200 lbs,"6'0""",At Sea,True,0,0,0,0,0,0,0,10,10,44,50,40,44,39,38,45,35,30,70,0,62,64,61,64,0,65,40,41,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ25MRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--874809577e77c4925cd144d3c235bd55a80ea3fa/shield-common.webp,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ2pMRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--6affd93c7690ad13521a57692a2c212a22ae2a30/shield-bronze.webp,[],[],True,False,,,False,,,63,False,True,CORE,True,0
c2ceafe55feb2a3458657d8dd2e1965e,mlb_card,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCR205dWhVPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--2c13a58e56ac91871ff41b919f96d3fb633ff053/47e9b122eff92541e595684286759f0c.jpg,https://cards.theshow.com/mlb24/c2ceafe55feb2a3458657d8dd2e1965e-baked.webp,,Adam Duvall,Bronze,Braves,ATL,69,Live,,2017,CF,"1B, 3B, LF, RF",14,35,R,R,233 lbs,"6'1""",Kentucky,True,0,0,0,0,0,0,0,10,10,66,25,97,46,43,48,37,35,25,89,0,68,76,70,62,0,59,10,29,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ2pMRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--6affd93c7690ad13521a57692a2c212a22ae2a30/shield-bronze.webp,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ2pMRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--6affd93c7690ad13521a57692a2c212a22ae2a30/shield-bronze.webp,[],"[{'name': 'Homebody', 'description': 'Performs better when playing at home', 'img': 'https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRnJJRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--dab0fbc95e04dafa1058f62164d6794f198cfb02/GPerk_Homebody.webp'}, {'name': 'Rally Monkey', 'description': 'Performs better when team is behind', 'img': 'https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCR3JJRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--2be5ee052e8ae81fff6731387e32c0c73f7ddfb7/GPerk_RallyMonkey.webp'}, {'name': 'Day Player', 'description': 'Performs better when playing day games', 'img': 'https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRlBJRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--093a0de99d964090171bb5d5b3cb1732d4a4ca49/GPerk_DayPlayer.webp'}]",True,False,,,False,,,69,False,True,CORE,True,0
0e4a42f8247922a780893015e0680fb1,mlb_card,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCR3Z0SEJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--08b0e470468179b1d63b354443d492b9c332ac73/4a7c834a85ee35b83014ee4706a78321.jpg,https://cards.theshow.com/mlb24/0e4a42f8247922a780893015e0680fb1-baked.webp,,Adam Frazier,Bronze,Royals,KC,66,Live,,2017,2B,"3B, SS, LF, CF, RF",26,32,L,R,180 lbs,"5'10""",Georgia,True,0,0,0,0,0,0,0,10,10,42,43,32,42,69,57,69,45,34,95,0,58,36,94,67,0,41,23,40,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ25MRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--874809577e77c4925cd144d3c235bd55a80ea3fa/shield-common.webp,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ2pMRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--6affd93c7690ad13521a57692a2c212a22ae2a30/shield-bronze.webp,[],"[{'name': 'Unfazed', 'description': 'Excels at hitting with 2 strikes', 'img': 'https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSGZJRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c0fb3899be93d62dc1ab06693111af04678c2157/GPerk_Unfazed.webp'}, {'name': 'Situational Hitter', 'description': 'Excels at driving in a runner from third with less than 2 outs', 'img': 'https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRzdJRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--5b732f06279d15e1142ef4bc9c64ec94710def76/GPerk_SituationalHitter.webp'}]",True,False,,,False,,,66,False,True,CORE,True,0
f9a25a1478f875ff3c2f9a57b7d39a52,mlb_card,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ010V1JNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d942236ca4552f90b2f5e69455fcac9521e919e7/8447b78ac1067235a554dd89149294e5.jpg,https://cards.theshow.com/mlb24/f9a25a1478f875ff3c2f9a57b7d39a52-baked.webp,,Adam Kloffenstein,Common,Cardinals,STL,53,Live,,2017,RP,,66,23,R,R,245 lbs,"6'5""",Texas,False,66,50,56,36,41,54,71,49,55,15,12,11,7,11,16,13,36,8,0,80,53,54,54,50,0,29,18,6,,,"[{'name': '4-Seam Fastball', 'speed': 93, 'control': 53, 'movement': 54}, {'name': 'Slider', 'speed': 84, 'control': 54, 'movement': 55}, {'name': 'Cutter', 'speed': 86, 'control': 48, 'movement': 44}, {'name': 'Changeup', 'speed': 80, 'control': 45, 'movement': 42}, {'name': '2-Seam Fastball', 'speed': 91, 'control': 48, 'movement': 44}]",[],True,False,,,False,,,53,False,True,CORE,True,0
e89ea63b59c223fe6da9df710efa4b87,mlb_card,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTmVSRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e9b65702fc0b3c09e68f257f5c43a466118afae9/de830ab8d132a7c6d48a54dc9a5020a9.webp,https://cards.theshow.com/mlb24/e89ea63b59c223fe6da9df710efa4b87-baked.webp,,A.J. Minter,Silver,Braves,ATL,78,Live,,2017,RP,,33,30,L,L,215 lbs,"6'0""",Texas,False,23,79,81,72,81,51,78,71,97,0,0,0,0,0,0,0,63,0,0,93,44,59,57,34,0,25,0,4,,,"[{'name': '4-Seam Fastball', 'speed': 95, 'control': 88, 'movement': 79}, {'name': 'Cutter', 'speed': 90, 'control': 58, 'movement': 97}, {'name': 'Circle Change', 'speed': 87, 'control': 68, 'movement': 72}]","[{'name': 'Road Warrior', 'description': 'Performs better when playing on the road', 'img': 'https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCR3ZJRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8cf1bad69bfbf6ac533982a47253a0852f9d3459/GPerk_RoadWarrior.webp'}, {'name': 'Night Player', 'description': 'Performs better when playing night games', 'img': 'https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRi9JRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--29e752d10f36683b186431288a1fa4447054de70/GPerk_NightPlayer.webp'}]",True,False,,,False,,,78,False,False,CORE,True,0
fd79007ee013b28e2fb902d4ae4575ff,mlb_card,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQW9WUGhzPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c0fbfff7670cb6af44a72a9049b4e1b1c7409779/63987bfc2def351de9911720e226748a.jpg,https://cards.theshow.com/mlb24/fd79007ee013b28e2fb902d4ae4575ff-baked.webp,,A.J. Puk,Bronze,Diamondbacks,ARI,72,Live,,2017,RP,,33,28,L,L,248 lbs,"6'7""",Minnesota,False,29,56,82,68,53,70,92,64,96,0,0,0,0,2,0,0,37,10,0,77,45,79,50,33,0,42,0,12,,,"[{'name': '4-Seam Fastball', 'speed': 94, 'control': 65, 'movement': 96}, {'name': 'Slurve', 'speed': 81, 'control': 65, 'movement': 52}, {'name': 'Sinker', 'speed': 94, 'control': 68, 'movement': 95}, {'name': 'Splitter', 'speed': 84, 'control': 65, 'movement': 71}, {'name': 'Slider', 'speed': 85, 'control': 57, 'movement': 42}]","[{'name': 'Stopper', 'description': 'Performs better when team is behind', 'img': 'https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSFBJRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--906a21c220cb7acbe5bc56e8d68acec60a7147a7/GPerk_Stopper.webp'}]",True,False,,,False,,,72,False,False,CORE,True,0
2084ffc53b63cad1ad7737bd42edd393,mlb_card,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSU5DRFJNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e724ced84e11518f8c280fa88abe4d6094e0945e/ec5da1f2bc78bb54dc6f1fa6f597fd38.webp,https://cards.theshow.com/mlb24/2084ffc53b63cad1ad7737bd42edd393-baked.webp,,Aaron Ashby,Silver,Brewers,MIL,75,Live,,2017,RP,,26,25,R,L,188 lbs,"6'1""",Missouri,False,30,90,82,65,62,62,94,83,99,0,0,0,0,0,17,0,38,8,0,77,43,55,38,40,0,28,0,8,,,"[{'name': 'Sinker', 'speed': 94, 'control': 82, 'movement': 70}, {'name': 'Circle Change', 'speed': 88, 'control': 82, 'movement': 86}, {'name': 'Slider', 'speed': 82, 'control': 89, 'movement': 91}, {'name': 'Curveball', 'speed': 80, 'control': 80, 'movement': 99}]",[],True,False,,,False,,,75,False,False,CORE,True,0
9e08c2c3e81ecdef462606235c792c2c,mlb_card,https://mlb24.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSzlxK1JNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--5a8042bc94ac30b704332258504e6db5e43de548/ff05e474d5c6a9694c16e722d5f3bfb8.jpg,https://cards.theshow.com/mlb24/9e08c2c3e81ecdef462606235c792c2c-baked.webp,,Aaron Bummer,Bronze,Braves,ATL,68,Live,,2017,RP,,49,30,L,L,215 lbs,"6'3""",California,False,24,59,61,67,63,82,88,67,99,0,0,0,0,2,0,0,64,0,0,77,48,77,50,53,0,20,0,7,,,"[{'name': 'Sinker', 'speed': 93, 'control': 58, 'movement': 96}, {'name': 'Slurve', 'speed': 82, 'control': 88, 'movement': 99}, {'name': 'Cutter', 'speed': 88, 'control': 65, 'movement': 71}, {'name': '4-Seam Fastball', 'speed': 94, 'control': 62, 'movement': 76}, {'name': 'Circle Change', 'speed': 86, 'control': 65, 'movement': 65}]",[],True,False,,,False,,,68,False,False,CORE,True,0
