uuid,type,img,baked_img,sc_baked_img,name,short_description,rarity,team,team_short_name,ovr,series,series_texture_name,series_year,display_position,display_secondary_positions,jersey_number,age,bat_hand,throw_hand,weight,height,born,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,hit_rank_image,fielding_rank_image,pitches,quirks,is_sellable,has_augment,augment_text,augment_end_date,has_matchup,stars,trend,new_rank,has_rank_change,event,set_name,is_live_set,ui_anim_index,locations
ee3df05c4b1857006e0025bcf646398c,mlb_card,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRENHdWlrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1e9377d2716811bbff9d31b2b8edb99a3c8e3975/de830ab8d132a7c6d48a54dc9a5020a9.png,https://cards.theshow.com/mlb25/ee3df05c4b1857006e0025bcf646398c-baked.webp,,A.J. Minter,,Silver,Mets,NYM,75,Live,,2017,RP,,33,31,L,L,215 lbs,"6'0""",Texas,False,23,76,86,77,58,77,76,69,95,0,0,0,0,0,0,0,63,0,0,93,44,59,57,34,0,25,0,4,,,"[{'name': '4-Seam Fastball', 'speed': 95, 'control': 77, 'movement': 79}, {'name': 'Cutter', 'speed': 89, 'control': 64, 'movement': 95}, {'name': 'Circle Change', 'speed': 87, 'control': 68, 'movement': 72}]",[],True,False,,,False,,,75,False,True,CORE,True,0,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']"
652901ebfb11a3676763839aa0a4c33f,mlb_card,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRldMdWlrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0ef148ea7be9399ed72314c904b02aa5e15f5450/63987bfc2def351de9911720e226748a.png,https://cards.theshow.com/mlb25/652901ebfb11a3676763839aa0a4c33f-baked.webp,,A.J. Puk,,Bronze,Diamondbacks,ARI,73,Live,,2017,RP,,33,29,L,L,248 lbs,"6'7""",Minnesota,False,29,92,64,72,63,63,97,68,88,0,0,0,0,2,0,0,37,10,0,77,45,79,50,33,0,42,0,12,,,"[{'name': '4-Seam Fastball', 'speed': 96, 'control': 90, 'movement': 84}, {'name': 'Slider', 'speed': 85, 'control': 78, 'movement': 74}, {'name': 'Fastball Running', 'speed': 89, 'control': 55, 'movement': 60}, {'name': 'Sinker', 'speed': 95, 'control': 62, 'movement': 88}, {'name': 'Splitter', 'speed': 84, 'control': 57, 'movement': 60}]","[{'name': 'Road Warrior', 'description': 'Performs better when playing on the road', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCS1RsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--b21bd4b8ffcedd2b730e67faf3032bcaef880bf9/GPerk_RoadWarrior.webp'}, {'name': 'Day Player', 'description': 'Performs better when playing day games', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSXJsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--3dab371006b6bf547335965ac68bfab8cf404c7f/GPerk_DayPlayer.webp'}]",True,False,,,False,,,73,False,True,CORE,True,0,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']"
e3a9682e949423ecdcbe7e0a0b2ff990,mlb_card,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTFJCdUNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--4c5d7d2ae32cb212ea43b6fec41f86337873d13c/ec5da1f2bc78bb54dc6f1fa6f597fd38.webp,https://cards.theshow.com/mlb25/e3a9682e949423ecdcbe7e0a0b2ff990-baked.webp,,Aaron Ashby,,Bronze,Brewers,MIL,72,Live,,2017,RP,,26,26,R,L,188 lbs,"6'1""",Missouri,False,30,81,77,61,57,62,99,68,95,0,0,0,0,0,17,0,38,8,0,77,43,55,38,40,0,28,0,8,,,"[{'name': 'Sinker', 'speed': 95, 'control': 70, 'movement': 70}, {'name': 'Circle Change', 'speed': 88, 'control': 60, 'movement': 82}, {'name': '12-6 Curve', 'speed': 82, 'control': 74, 'movement': 95}, {'name': 'Slider', 'speed': 83, 'control': 70, 'movement': 80}]",[],True,False,,,False,,,72,False,True,CORE,True,0,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']"
e12c9aadb7207afe9615fd2feb6344d7,mlb_card,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRGRvdWlrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8f4050dd1adb53d576c14b1bea65da394054b763/ff05e474d5c6a9694c16e722d5f3bfb8.png,https://cards.theshow.com/mlb25/e12c9aadb7207afe9615fd2feb6344d7-baked.webp,,Aaron Bummer,,Bronze,Braves,ATL,68,Live,,2017,RP,,49,31,L,L,215 lbs,"6'3""",California,False,25,61,63,76,50,84,86,66,99,0,0,0,0,2,0,0,64,0,0,77,48,77,50,53,0,20,0,7,,,"[{'name': 'Fastball Running', 'speed': 90, 'control': 74, 'movement': 82}, {'name': 'Sinker', 'speed': 93, 'control': 60, 'movement': 99}, {'name': '4-Seam Fastball', 'speed': 94, 'control': 72, 'movement': 74}, {'name': 'Cutter', 'speed': 87, 'control': 63, 'movement': 72}, {'name': 'Curveball', 'speed': 82, 'control': 65, 'movement': 65}]","[{'name': 'Road Warrior', 'description': 'Performs better when playing on the road', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCS1RsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--b21bd4b8ffcedd2b730e67faf3032bcaef880bf9/GPerk_RoadWarrior.webp'}, {'name': 'Pick Off Artist', 'description': 'Has an extremely effective pickoff move', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSnZsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--cc184e29d8389f2a3baec6086022d0b33cc9674c/GPerk_PickoffArtist.webp'}, {'name': 'Day Player', 'description': 'Performs better when playing day games', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSXJsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--3dab371006b6bf547335965ac68bfab8cf404c7f/GPerk_DayPlayer.webp'}]",True,False,,,True,2.0,3,68,False,True,CORE,True,0,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']"
24e09e2b5d0453f3f3fdb17c8ec14a7a,mlb_card,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCS2hvdWlrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e5c4b04d4a668d669d8807ef14c6f1b762dc0af9/f78c21ff7b0a49484f19510bf36a5dcb.png,https://cards.theshow.com/mlb25/24e09e2b5d0453f3f3fdb17c8ec14a7a-baked.webp,,Aaron Civale,,Bronze,Brewers,MIL,74,Live,,2017,SP,,32,29,R,R,215 lbs,"6'2""",Connecticut,False,75,80,63,51,69,49,83,65,95,0,0,0,0,0,17,0,63,1,0,78,45,68,49,40,0,40,0,12,,,"[{'name': 'Cutter', 'speed': 88, 'control': 99, 'movement': 80}, {'name': 'Sinker', 'speed': 93, 'control': 60, 'movement': 62}, {'name': 'Curveball', 'speed': 77, 'control': 57, 'movement': 95}, {'name': 'Fastball Running', 'speed': 88, 'control': 65, 'movement': 90}, {'name': '4-Seam Fastball', 'speed': 92, 'control': 48, 'movement': 76}]",[],True,False,,,False,,,74,False,True,CORE,True,0,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']"
3e67d1f24ebdbbbe125e7040442f6e84,mlb_card,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTW9odUNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--fc0f2e63d93797283aa40c9199e7bda835d99284/1d60dc48f955ffb1b4534cb2c16a3b25.webp,https://cards.theshow.com/mlb25/3e67d1f24ebdbbbe125e7040442f6e84-baked.webp,,Aaron Judge,,Diamond,Yankees,NYY,92,Live,,2017,RF,"LF, CF",99,32,R,R,282 lbs,"6'7""",California,True,0,0,0,0,0,0,0,10,10,97,99,117,101,50,103,100,35,25,96,0,63,84,85,44,0,46,45,46,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRW5XdUNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--550382628b9a33d51b766925c33a05f87bf06a70/shield-diamond.webp,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRWZXdUNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--bac2cd0baa8ed3fe0a755d6415f4b8175b174364/shield-bronze.webp,[],"[{'name': 'Homebody', 'description': 'Performs better when playing at home', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSkhsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a5e6beac901e9b4891ceb7d9d53f25ac11157bd2/GPerk_Homebody.webp'}, {'name': 'First-Pitch Hitter', 'description': 'Excels at hitting the first pitch of an at-bat', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSTdsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--4e514674044995dd4854ad640eb2ae32829aff0e/GPerk_FirstPitchHitter.webp'}, {'name': 'Dead Red', 'description': 'Excels at hitting fastballs', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSXZsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0fd14d42323bcc0f1521a96cfcf6cb775ee88ab2/GPerk_DeadRed.webp'}, {'name': 'Breaking Ball Hitter', 'description': 'Excels at hitting breaking balls', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSVRsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--4bfe3897e48f9f7efdbff390b252d8137d49a377/GPerk_BreakingBallHitter.webp'}, {'name': 'Unfazed', 'description': 'Excels at hitting with 2 strikes', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTERsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--08026825813f99b741a9a5cd8d623126ecfb7c75/GPerk_Unfazed.webp'}, {'name': 'Rally Monkey', 'description': 'Performs better when team is behind', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCS1BsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--7cf3bdab5fb36de0ce1438e01649a9b52b89d22d/GPerk_RallyMonkey.webp'}, {'name': 'Bad Ball Hitter', 'description': 'Excels at hitting balls out of the strike zone', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSUhsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0e61a3944bb0e602d7c4c18f2290a92da9b36190/GPerk_BadballHitter.webp'}, {'name': 'Situational Hitter', 'description': 'Excels at driving in a runner from third with less than 2 outs', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCS2ZsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--286bf140f5e55d0081ef26153895bc68f0dacdec/GPerk_SituationalHitter.webp'}, {'name': 'Night Player', 'description': 'Performs better when playing night games', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSmJsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--7f9bdfe4398663d5983c5ed896970ad86ade5539/GPerk_NightPlayer.webp'}, {'name': 'Table Setter', 'description': 'Performs better when no runners are on', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSzNsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--30564cc2bc5456f9414e7b836477c7aa1ecc875b/GPerk_TableSetter.webp'}]",True,False,,,True,5.0,1,94,True,False,CORE,True,1,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']"
69054b3dade80ebd345ca0de53a796fd,mlb_card,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRk4rdUNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0510f0df59d4b31ddd1a4e035c7e553bb2eb1e48/69692a67cda7f8c2b8ede4d910c60120.webp,https://cards.theshow.com/mlb25/69054b3dade80ebd345ca0de53a796fd-baked.webp,,Aaron Nola,,Silver,Phillies,PHI,77,Live,,2017,SP,,27,31,R,R,200 lbs,"6'2""",Louisiana,False,86,59,65,61,74,55,74,71,84,0,6,0,0,0,55,0,70,25,0,77,66,62,68,38,0,25,0,0,,,"[{'name': 'Knuckle-curve', 'speed': 79, 'control': 95, 'movement': 73}, {'name': '4-Seam Fastball', 'speed': 92, 'control': 90, 'movement': 84}, {'name': 'Sinker', 'speed': 91, 'control': 63, 'movement': 83}, {'name': 'Circle Change', 'speed': 86, 'control': 57, 'movement': 71}, {'name': 'Cutter', 'speed': 87, 'control': 51, 'movement': 65}]","[{'name': 'Break Outlier', 'description': 'Pitchers lose less break when tired', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSVBsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a1af2ad3b69798da2e779e0617295f9248d69f62/GPerk_BreakOutlier.webp'}]",True,False,,,False,,,77,False,True,CORE,True,0,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']"
9e3b631d801e19a9e92a405ea759e09f,mlb_card,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQ1h0MFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--2e8f57487a647d74b194d90bf14e25ff894d8278/default-mlb-card.webp,https://cards.theshow.com/mlb25/9e3b631d801e19a9e92a405ea759e09f-baked.webp,,Aaron Schunk,,Bronze,Rockies,COL,66,Live,,2017,3B,"1B, 2B",30,27,R,R,205 lbs,"6'1""",Georgia,True,0,0,0,0,0,0,0,10,10,40,58,36,50,40,34,27,35,25,69,0,81,71,60,78,0,68,26,24,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRWpXdUNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d3db1dc8d116c4468b341d830c16e4999699f291/shield-common.webp,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRXZXdUNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f2b079b7c700ec13af7acdcb05f57e87ce15ac20/shield-silver.webp,[],[],True,False,,,False,,,66,False,True,CORE,True,0,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']"
0ce3c706b8e866cbae77f745e39bad87,mlb_card,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSVdNdWlrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ffea001dd6d822eb34eeb10573699861efc33b2e/833dcc64597c333a934e23481b950e0b.png,https://cards.theshow.com/mlb25/0ce3c706b8e866cbae77f745e39bad87-baked.webp,,Abner Uribe,,Bronze,Brewers,MIL,69,Live,,2017,RP,,45,24,R,R,215 lbs,"6'3""",Dominican Republic,False,24,87,83,75,24,79,99,74,86,6,4,5,2,11,13,9,38,5,0,75,44,94,43,38,0,37,6,5,,,"[{'name': 'Sinker', 'speed': 95, 'control': 77, 'movement': 81}, {'name': 'Slider', 'speed': 88, 'control': 74, 'movement': 86}, {'name': '4-Seam Fastball', 'speed': 99, 'control': 71, 'movement': 54}]","[{'name': 'Outlier I', 'description': 'Primary pitch exceeds max velocity limit', 'img': 'https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSmpsMFNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--387702e6f07ce25d7ef48517ed20bda2e2693d01/GPerk_OutlierI.webp'}]",True,False,,,True,2.0,3,69,False,True,CORE,True,0,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']"
819ce02be3100fadf79b7f5aea4c6b4d,mlb_card,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTlpqdWlrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--77a66e94aef37a1861499ceb749a149502552486/168823b675ac3d8c95c4b04c92101890.png,https://cards.theshow.com/mlb25/819ce02be3100fadf79b7f5aea4c6b4d-baked.webp,,Adael Amador,,Common,Rockies,COL,63,Live,,2017,2B,"3B, SS",1,21,S,R,200 lbs,"6'0""",Dominican Republic,True,0,0,0,0,0,0,0,10,10,44,50,40,44,39,38,45,35,30,70,0,62,64,61,64,0,65,40,41,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRWpXdUNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d3db1dc8d116c4468b341d830c16e4999699f291/shield-common.webp,https://mlb25.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRWZXdUNrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--bac2cd0baa8ed3fe0a755d6415f4b8175b174364/shield-bronze.webp,[],[],True,False,,,True,3.0,1,66,True,True,CORE,True,0,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']"
