uuid,type,img,name,rarity,team,team_short_name,ovr,series,series_texture_name,series_year,display_position,display_secondary_positions,jersey_number,age,bat_hand,throw_hand,weight,height,born,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,hit_rank_image,fielding_rank_image,pitches,quirks,is_sellable
77487ac14aa5a4e7e5521642407eea5c,mlb_card,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdTlxIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--61da26921fc163ca7505bb2da810c7ab2e3fc8eb/49bd1fc864af1c5915d8360b7af53001.jpg,A.J. Alexy,Common,Rangers,TEX,57,Live,,2017,RP,,62,22,R,R,195 lbs,"6'4""",Pennsylvania,False,60,47,50,66,31,49,73,38,65,0,0,0,0,0,0,0,30,10,0,70,20,45,30,25,0,25,9,4,,,"[{'name': '4-Seam Fastball', 'speed': 94, 'control': 45, 'movement': 50}, {'name': '12-6 Curve', 'speed': 76, 'control': 45, 'movement': 65}, {'name': 'Changeup', 'speed': 84, 'control': 25, 'movement': 15}]",[],True
0ff73ca20cd787c5b817aff62e7890da,mlb_card,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBalpXIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4100400b8f0e681d3002a3a54c91dc8a494460a0/de830ab8d132a7c6d48a54dc9a5020a9..png,A.J. Minter,Silver,Braves,ATL,76,Live,,2017,RP,,33,27,L,L,215 lbs,"6'0""",Texas,False,24,63,90,80,54,83,81,74,91,0,0,0,0,2,0,0,63,0,0,80,44,59,57,34,0,25,0,4,,,"[{'name': '4-Seam Fastball', 'speed': 96, 'control': 50, 'movement': 81}, {'name': 'Cutter', 'speed': 88, 'control': 91, 'movement': 91}, {'name': 'Changeup', 'speed': 85, 'control': 81, 'movement': 79}]","[{'name': 'Stingy', 'description': 'Excels at limiting base hits', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa1ZkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--eb6af75570318901220b6712f87b39697dd00733/GPerk_Stingy.jpg'}, {'name': 'Grounded', 'description': 'Excels at limiting home runs', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBak5kIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b7a2c5c1dc06e4afd99f4b098fa9471814490c0b/GPerk_Grounded.jpg'}, {'name': 'Illusionist', 'description': 'Throws an extremely effective changeup', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaTFkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1a84405b10416dc58a8d66380b1de16b67f1b573/GPerk_Illusionist.jpg'}, {'name': 'Road Warrior', 'description': 'Performs better when playing on the road', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaVpkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e89770a28bc84416b285cac043dc1009747bf6cc/GPerk_RoadWarrior.jpg'}]",True
99d4eaef9991695d7ad94b83ad5c5223,mlb_card,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdXRIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5b5fd74075780952b4f8ed2e8abaef08f9eafa59/5bca4827b4c535929aa57c58e1c7b5a3..png,A.J. Pollock,Gold,Dodgers,LAD,84,Live,,2017,LF,"CF, RF",11,33,R,R,210 lbs,"6'1""",Connecticut,True,0,0,0,0,0,0,0,10,10,84,94,77,72,70,51,92,35,26,69,0,65,65,34,70,0,70,48,71,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWhkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a01322789652b43c56600bda21e09dd580d65311/shield-diamond.png,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVJkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--feb62b9dfef9d1700365592f6402b85f55096084/shield-common.png,[],"[{'name': 'Hitting Machine', 'description': 'Excels at getting base hits', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaVJkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fd919f38de577fbd4932fdaf88c4a77f7be6d253/GPerk_HittingMachine.jpg'}, {'name': 'Pressure Cooker', 'description': 'Performs better when there are runners on base', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUZkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--028c11d89cfc42ec145e27e353c7b97f6a42d042/GPerk_PressureCooker.jpg'}, {'name': 'Homebody', 'description': 'Performs better when playing at home', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXhkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2c68365b171a3ce00f9f3946319267ce54f32ed5/GPerk_Homebody.jpg'}, {'name': 'First-Pitch Hitter', 'description': 'Excels at hitting the first pitch of an at-bat', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBajFkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6330ce8d4f8c1885a61f55503012e860584d8783/GPerk_FirstPitchHitter.jpg'}, {'name': 'Dead Red', 'description': 'Excels at hitting fastballs', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaVZkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--72497c0bf1deba9c0d4c80015f07009d9b66c4cd/GPerk_DeadRed.jpg'}, {'name': 'Fighter', 'description': 'Performs better in the 9th inning or later', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa0pkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--20066d819feab8ea18b633cbe0719e9c055ba007/GPerk_Fighter.jpg'}, {'name': 'Rally Monkey', 'description': 'Performs better when team is behind', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBakJkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2828e2a92267de6959c733be48ea24fa88f6a932/GPerk_RallyMonkey.jpg'}, {'name': 'Pinch Hitter', 'description': 'Excels at pinch hitting', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGRvIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7efc3648e46050ff4e3f982146f3891f605d1d4c/GPerk_PinchHitter.jpeg'}, {'name': 'Day Player', 'description': 'Performs better when playing day games', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaWhkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--95f1421345113af1280c8ad91e0bdeab51d53aba/GPerk_DayPlayer.jpg'}]",True
5db1317ed8f7ef0ea3e1398608b608f2,mlb_card,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdXRyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--acb366ed8cfa7fef1af9e911085ce7f314243fd8/63987bfc2def351de9911720e226748a.jpg,A.J. Puk,Common,Athletics,OAK,59,Live,,2017,RP,,59,25,L,L,248 lbs,"6'7""",Minnesota,False,66,45,53,61,38,56,85,51,65,12,16,12,4,11,13,8,37,10,0,52,45,79,50,43,0,42,16,12,,,"[{'name': '4-Seam Fastball', 'speed': 96, 'control': 52, 'movement': 65}, {'name': 'Slider', 'speed': 85, 'control': 59, 'movement': 61}, {'name': 'Changeup', 'speed': 88, 'control': 53, 'movement': 56}, {'name': '2-Seam Fastball', 'speed': 94, 'control': 57, 'movement': 56}, {'name': 'Curveball', 'speed': 81, 'control': 37, 'movement': 38}]",[],True
e3408b14ade248d885082d48e13af8c9,mlb_card,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaU5PIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--03f2a21023e7cbb7b36bf542b8d1ea1651ee745e/f839067170302bec169ebb61a11938f0..png,A.J. Ramos,Common,Angels,LAA,57,Live,,2017,RP,,44,34,R,R,200 lbs,"5'10""",Texas,False,24,70,55,57,38,76,66,55,85,9,4,12,10,9,4,10,38,15,0,76,43,54,42,38,0,34,9,12,,,"[{'name': '4-Seam Fastball', 'speed': 92, 'control': 63, 'movement': 85}, {'name': 'Slider', 'speed': 80, 'control': 63, 'movement': 80}, {'name': 'Changeup', 'speed': 83, 'control': 63, 'movement': 54}, {'name': '2-Seam Fastball', 'speed': 90, 'control': 48, 'movement': 44}, {'name': 'Cutter', 'speed': 86, 'control': 42, 'movement': 46}]",[],True
a73e4449f58424e309862baa32667f88,mlb_card,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdlJxIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--87beed93131009b5daa76ccc2923e675e8678445/ec5da1f2bc78bb54dc6f1fa6f597fd38.jpg,Aaron Ashby,Common,Brewers,MIL,58,Live,,2017,RP,,26,21,R,L,181 lbs,"6'2""",Missouri,False,55,48,50,62,40,52,73,53,57,17,15,8,3,14,11,10,38,8,0,77,43,55,38,50,0,28,19,8,,,"[{'name': '4-Seam Fastball', 'speed': 93, 'control': 55, 'movement': 53}, {'name': 'Changeup', 'speed': 81, 'control': 54, 'movement': 52}, {'name': 'Curveball', 'speed': 81, 'control': 57, 'movement': 57}, {'name': '2-Seam Fastball', 'speed': 92, 'control': 46, 'movement': 42}]",[],True
6fcabe9f9c8a95980923530e7d7353a7,mlb_card,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbjlRIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--309c9551367ef8de3956e9e2e66987d2885d7d91/ff05e474d5c6a9694c16e722d5f3bfb8..png,Aaron Bummer,Bronze,White Sox,CWS,73,Live,,2017,RP,,39,27,L,L,215 lbs,"6'3""",California,False,24,66,83,80,44,75,99,66,99,0,0,0,0,0,0,0,64,0,0,72,48,77,50,60,0,20,0,7,,,"[{'name': 'Sinker', 'speed': 95, 'control': 69, 'movement': 99}, {'name': 'Cutter', 'speed': 89, 'control': 62, 'movement': 59}, {'name': '4-Seam Fastball', 'speed': 95, 'control': 75, 'movement': 59}, {'name': 'Slider', 'speed': 84, 'control': 58, 'movement': 99}]",[],True
80b34c84a6e5ed25df112c11de676adc,mlb_card,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXhIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a3af73578881d4b7381ea76b926328b80cca825f/f78c21ff7b0a49484f19510bf36a5dcb..png,Aaron Civale,Silver,Indians,CLE,78,Live,,2017,SP,,43,25,R,R,215 lbs,"6'2""",Connecticut,False,86,65,78,49,75,69,79,60,89,0,0,0,0,0,0,0,63,1,0,78,45,68,49,50,0,40,0,12,,,"[{'name': 'Sinker', 'speed': 92, 'control': 58, 'movement': 56}, {'name': 'Cutter', 'speed': 87, 'control': 54, 'movement': 89}, {'name': 'Curveball', 'speed': 76, 'control': 68, 'movement': 85}, {'name': 'Slider', 'speed': 82, 'control': 55, 'movement': 76}, {'name': 'Changeup', 'speed': 85, 'control': 65, 'movement': 82}]","[{'name': 'Road Warrior', 'description': 'Performs better when playing on the road', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaVpkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e89770a28bc84416b285cac043dc1009747bf6cc/GPerk_RoadWarrior.jpg'}]",True
0a4c5b96474f0584519d1abc4364d5a2,mlb_card,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcWxMIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a6a615caff1247d51a72e387d4473cd544799059/a3a0032fd8fc59fb88c22df62b54560f..png,Aaron Hicks,Silver,Yankees,NYY,76,Live,,2017,CF,"LF, RF",31,31,S,R,205 lbs,"6'1""",California,True,0,0,0,0,0,0,0,10,10,64,46,80,65,58,87,61,45,42,84,0,55,88,67,56,0,58,45,47,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWRkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f0cddd7566f462a95018a10a9173945fd8300839/shield-bronze.png,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWRkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f0cddd7566f462a95018a10a9173945fd8300839/shield-bronze.png,[],"[{'name': 'Walker', 'description': 'Excels at drawing walks and check swinging', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3RkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a773bb229eba58e073edc7715e57f7a4a5fe20fd/GPerk_Walker.jpg'}, {'name': 'First-Pitch Hitter', 'description': 'Excels at hitting the first pitch of an at-bat', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBajFkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6330ce8d4f8c1885a61f55503012e860584d8783/GPerk_FirstPitchHitter.jpg'}]",True
9ed1f55ac4f3b402b1d08b26870c34a6,mlb_card,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVZqIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--45183360feb1526ca0f64f5f7ac91b683f3f8bfe/8c5b9ca405aebaf21d61a8a9f950ae57.jpg,Aaron Judge,Diamond,Yankees,NYY,91,Live,,2017,RF,"LF, CF",99,28,R,R,282 lbs,"6'7""",California,True,0,0,0,0,0,0,0,10,10,80,77,102,86,52,83,92,35,25,62,0,99,85,99,99,0,60,12,36,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWhkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a01322789652b43c56600bda21e09dd580d65311/shield-diamond.png,https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWhkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a01322789652b43c56600bda21e09dd580d65311/shield-diamond.png,[],"[{'name': 'Hitting Machine', 'description': 'Excels at getting base hits', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaVJkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fd919f38de577fbd4932fdaf88c4a77f7be6d253/GPerk_HittingMachine.jpg'}, {'name': 'Bomber', 'description': 'Excels at hitting home runs', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa2hkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--85485ab056d57a1729d0f59cbc9faf02bada5a82/GPerk_Bomber.jpg'}, {'name': 'Pressure Cooker', 'description': 'Performs better when there are runners on base', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUZkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--028c11d89cfc42ec145e27e353c7b97f6a42d042/GPerk_PressureCooker.jpg'}, {'name': 'Softhands', 'description': 'Excels at fielding the ball cleanly', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBazVkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b49b6dbe1a0afe0dc56092b1dc8a8793de251e08/GPerk_Softhands.jpg'}, {'name': 'Quick Reflexes', 'description': 'Reacts quickly to the ball when fielding', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBakpkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--54298dd77603267aa3a7724022ebd41cd99031cb/GPerk_QuickReflexes.jpg'}, {'name': 'Sniper', 'description': 'Has an extremely accurate throwing arm', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBanBkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3f78b972eaa6881a721b2e244fa04ccfcc2c0854/GPerk_Sniper.jpg'}, {'name': 'Breaking Ball Hitter', 'description': 'Excels at hitting breaking balls', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUpkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b9a1dd3669459f0bd20075fc1fa5c95cbe0b85f5/GPerk_BreakingBallHitter.jpg'}, {'name': 'Night Player', 'description': 'Performs better when playing night games', 'img': 'https://mlb21.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXBkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--88f11fa7805448bf3c62f037d12336dedd38f54d/GPerk_NightPlayer.jpg'}]",True
