uuid,type,img,name,rarity,team,team_short_name,ovr,series,series_texture_name,series_year,display_position,display_secondary_positions,jersey_number,age,bat_hand,throw_hand,weight,height,born,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,hit_rank_image,fielding_rank_image,pitches,quirks,is_sellable,has_augment,augment_text,augment_end_date,has_matchup,stars,trend,new_rank,has_rank_change,event
5e9ef26db445c2c9dcfb1dd64fda9917,mlb_card,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcFNjIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3bcc00d5707286d80f62cc7150a3a887d456640e/49bd1fc864af1c5915d8360b7af53001.jpg,A.J. Alexy,Common,Rangers,TEX,56,Live,,2017,RP,,62,23,R,R,195 lbs,"6'4""",Pennsylvania,False,60,47,50,66,31,49,69,56,92,0,0,0,0,0,0,0,30,10,0,70,20,45,30,25,0,25,9,4,,,"[{'name': '4-Seam Fastball', 'speed': 93, 'control': 71, 'movement': 89}, {'name': 'Slider', 'speed': 81, 'control': 55, 'movement': 75}, {'name': 'Changeup', 'speed': 86, 'control': 60, 'movement': 45}, {'name': 'Curveball', 'speed': 76, 'control': 40, 'movement': 92}]",[],True,False,,,False,,,56,False,True
e87d28839847222fa84c481967eeab6a,mlb_card,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdFovIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--103061e95c048b3e97b8f1943dacec52555fe32c/de830ab8d132a7c6d48a54dc9a5020a9.webp,A.J. Minter,Gold,Braves,ATL,84,Live,,2017,RP,,33,28,L,L,215 lbs,"6'0""",Texas,False,24,75,94,85,86,79,84,86,95,0,0,0,0,0,0,0,63,0,0,76,44,59,57,34,0,25,0,4,,,"[{'name': 'Cutter', 'speed': 89, 'control': 70, 'movement': 95}, {'name': '4-Seam Fastball', 'speed': 96, 'control': 95, 'movement': 79}, {'name': 'Circle Change', 'speed': 87, 'control': 93, 'movement': 82}]","[{'name': 'Stingy', 'description': 'Excels at limiting base hits', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBazZIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fd93e100234a5fed9d25f520a2750218fdc760e4/GPerk_Stingy.jpg'}, {'name': 'Control Artist', 'description': 'Excels at limiting walks', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBamFIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--048fb56c444d3061c74f93919b2c49c2f5f77010/GPerk_ControlArtist.jpg'}, {'name': 'Illusionist', 'description': 'Throws an extremely effective changeup', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaldIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--dbdf18ebd7228875e7644c14ff9a142d8b4b2a74/GPerk_Illusionist.jpg'}, {'name': 'Pickoff Artist', 'description': 'Has an extremely effective pickoff move', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa1dIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2c9732107c8ed8e7728471d2469f4547ebaae951/GPerk_PickoffArtist.jpg'}, {'name': 'Night Player', 'description': 'Performs better when playing night games', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaktIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--789ed5585edfbee36cd4db636f29ce484f724204/GPerk_NightPlayer.jpg'}]",True,False,,,False,,,84,False,False
d39e8a0d81c2a146f879631550fb065b,mlb_card,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbGVVIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--46a022ec073e36d7632d7ab7fc17d421f308c4a2/5bca4827b4c535929aa57c58e1c7b5a3.jpg,A.J. Pollock,Silver,White Sox,CWS,76,Live,,2017,RF,"LF, CF",18,34,R,R,210 lbs,"6'1""",Connecticut,True,0,0,0,0,0,0,0,10,10,81,50,91,48,67,41,64,35,26,72,0,55,71,51,55,0,64,48,71,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbnFIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--07de21aa37a135dd15ec10f92fd7b4f009b92a72/shield-silver.png,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmlIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e07d2d8a13612242350c6325cc638fa381288737/shield-common.png,[],"[{'name': 'Platoon', 'description': 'Excels at batting versus one handedness only', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa2lIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fe963a609b4335227a0183b4d6275e64cf43ed2a/GPerk_Platoon.jpg'}, {'name': 'Homebody', 'description': 'Performs better when playing at home', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBalNIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--eb7dc8eb024415319c04fec5dad9a72368a12701/GPerk_Homebody.jpg'}, {'name': 'Dead Red', 'description': 'Excels at hitting fastballs', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaTJIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8ea90f84053adc0da96b40fea151d2d801542474/GPerk_DeadRed.jpg'}, {'name': 'Unfazed', 'description': 'Excels when hitting with 2 strikes', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa0dIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--aa37154bdb1fe1dd36ab923263294c6507565169/GPerk_Unfazed.jpg'}, {'name': 'Day Player', 'description': 'Performs better when playing day games', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBakNIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--accdf1140b9034a1e8601f1de3444ace79424ce3/GPerk_DayPlayer.jpg'}]",True,False,,,False,,,76,False,True
3b63f4d276ecb77d958a079849c2b333,mlb_card,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc1NjIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3ebbaf1e5cb6998507143d33a9dd3b38cdf39524/63987bfc2def351de9911720e226748a.jpg,A.J. Puk,Silver,Athletics,OAK,75,Live,,2017,CP,,33,26,L,L,248 lbs,"6'7""",Minnesota,False,28,50,82,70,65,68,99,72,95,12,16,12,4,11,13,8,37,10,0,52,45,79,50,43,0,42,16,12,,,"[{'name': '4-Seam Fastball', 'speed': 97, 'control': 79, 'movement': 90}, {'name': 'Slider', 'speed': 87, 'control': 74, 'movement': 74}, {'name': 'Sinker', 'speed': 95, 'control': 80, 'movement': 95}, {'name': 'Circle Change', 'speed': 88, 'control': 57, 'movement': 66}]","[{'name': 'Cheesy', 'description': 'Throws an extremely effective fastball', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaitIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--20ce426f8d44c3dc3926e8245a88dab0bbf8cbbb/GPerk_Cheesy.jpg'}, {'name': 'Sinkerballer', 'description': 'Throws an extremely effective sinking fastball', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFdIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c45ff64eef24b04e1e349f3eac985f50740e209f/GPerk_Sinkerballer.jpg'}]",True,False,,,False,,,75,False,False
d8f16897e8528297710d4f26259bfef8,mlb_card,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaHVUIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--554bc8e15ca7b8f355cbb956733f933b386942db/ec5da1f2bc78bb54dc6f1fa6f597fd38.jpg,Aaron Ashby,Bronze,Brewers,MIL,74,Live,,2017,SP,,26,23,R,L,181 lbs,"6'2""",Missouri,False,64,70,66,68,50,60,99,79,97,17,15,8,3,14,11,10,38,8,0,77,43,55,38,50,0,28,19,8,,,"[{'name': 'Sinker', 'speed': 95, 'control': 82, 'movement': 70}, {'name': 'Slider', 'speed': 83, 'control': 89, 'movement': 91}, {'name': 'Circle Change', 'speed': 88, 'control': 82, 'movement': 79}, {'name': '12-6 Curve', 'speed': 80, 'control': 80, 'movement': 97}, {'name': '4-Seam Fastball', 'speed': 95, 'control': 62, 'movement': 74}]","[{'name': 'Sinkerballer', 'description': 'Throws an extremely effective sinking fastball', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFdIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c45ff64eef24b04e1e349f3eac985f50740e209f/GPerk_Sinkerballer.jpg'}, {'name': 'Knee Buckler', 'description': 'Throws an extremely effective breaking pitch', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBazJIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1cdc78ebebd96fa8124718247a3ecb20f3c95ded/GPerk_KneeBuckler.jpg'}, {'name': 'Illusionist', 'description': 'Throws an extremely effective changeup', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaldIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--dbdf18ebd7228875e7644c14ff9a142d8b4b2a74/GPerk_Illusionist.jpg'}]",True,False,,,False,,,74,False,False
e2e102b4cdb5e9f688eb7833e0a3c322,mlb_card,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ0I2IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f24bed9187ede0403033261c3f41a94f5893d3ac/ff05e474d5c6a9694c16e722d5f3bfb8.webp,Aaron Bummer,Bronze,White Sox,CWS,70,Live,,2017,RP,,39,28,L,L,215 lbs,"6'3""",California,False,24,82,59,70,58,72,99,76,99,0,0,0,0,2,0,0,64,0,0,77,48,77,50,60,0,20,0,7,,,"[{'name': 'Sinker', 'speed': 95, 'control': 68, 'movement': 99}, {'name': 'Slider', 'speed': 83, 'control': 94, 'movement': 99}, {'name': 'Cutter', 'speed': 88, 'control': 67, 'movement': 62}]","[{'name': 'Knee Buckler', 'description': 'Throws an extremely effective breaking pitch', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBazJIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1cdc78ebebd96fa8124718247a3ecb20f3c95ded/GPerk_KneeBuckler.jpg'}, {'name': 'Stopper', 'description': 'Performs better when team is behind', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa2VIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ee0184900d973bd789d71e22bef48d5ea9a8c3eb/GPerk_Stopper.jpg'}, {'name': 'Day Player', 'description': 'Performs better when playing day games', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBakNIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--accdf1140b9034a1e8601f1de3444ace79424ce3/GPerk_DayPlayer.jpg'}]",True,False,,,False,,,70,False,False
383df222b83e1c6dd536dd72ff48ce09,mlb_card,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbzl3IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1ecf983d64a1bb4673a327fbcac9caedfcd4aacd/f78c21ff7b0a49484f19510bf36a5dcb.webp,Aaron Civale,Silver,Guardians,CLE,77,Live,,2017,SP,,43,26,R,R,215 lbs,"6'2""",Connecticut,False,78,73,65,58,80,62,59,73,92,0,0,0,0,0,17,0,63,1,0,78,45,68,49,50,0,40,0,12,,,"[{'name': 'Cutter', 'speed': 88, 'control': 94, 'movement': 85}, {'name': '4-Seam Fastball', 'speed': 91, 'control': 60, 'movement': 72}, {'name': 'Curveball', 'speed': 77, 'control': 85, 'movement': 92}, {'name': 'Splitter', 'speed': 86, 'control': 68, 'movement': 48}, {'name': 'Slider', 'speed': 83, 'control': 62, 'movement': 80}]","[{'name': 'Control Artist', 'description': 'Excels at limiting walks', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBamFIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--048fb56c444d3061c74f93919b2c49c2f5f77010/GPerk_ControlArtist.jpg'}, {'name': 'Knee Buckler', 'description': 'Throws an extremely effective breaking pitch', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBazJIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1cdc78ebebd96fa8124718247a3ecb20f3c95ded/GPerk_KneeBuckler.jpg'}]",True,False,,,False,,,77,False,False
7276c0c3f88b2a852674bd7e1cda0cf6,mlb_card,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUYxIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a57fcaed72b584ee8f151eef468d49783a3fa213/a3a0032fd8fc59fb88c22df62b54560f.webp,Aaron Hicks,Bronze,Yankees,NYY,69,Live,,2017,LF,"CF, RF",31,32,S,R,205 lbs,"6'1""",California,True,0,0,0,0,0,0,0,10,10,52,43,42,47,55,96,32,45,42,84,0,67,87,66,69,0,60,45,47,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmlIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e07d2d8a13612242350c6325cc638fa381288737/shield-common.png,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbnFIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--07de21aa37a135dd15ec10f92fd7b4f009b92a72/shield-silver.png,[],"[{'name': 'Walker', 'description': 'Excels at drawing walks and check swinging', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFNIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--95f3e753daf9665b5693a899b1ce9d49c81b6fdc/GPerk_Walker.jpg'}]",True,False,,,False,,,69,False,True
bacd19322bb8542d67d13c121efc3fea,mlb_card,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3VVIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--cb193e4ce2d6487b20dea575060e9c9908138c6c/8c5b9ca405aebaf21d61a8a9f950ae57.jpg,Aaron Judge,Diamond,Yankees,NYY,98,Live,,2017,RF,"LF, CF",99,29,R,R,282 lbs,"6'7""",California,True,0,0,0,0,0,0,0,10,10,70,96,125,125,48,110,107,35,25,90,0,89,76,99,94,0,60,52,47,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbnlIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b5c1bb7694dc6416e06097004e59f1611f94b120/shield-diamond.png,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbnlIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b5c1bb7694dc6416e06097004e59f1611f94b120/shield-diamond.png,[],"[{'name': 'Bomber', 'description': 'Excels at hitting home runs', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbEdIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b491e2bad3e14e97118d303d0ffc3008634c2e2e/GPerk_Bomber.jpg'}, {'name': 'Walker', 'description': 'Excels at drawing walks and check swinging', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFNIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--95f3e753daf9665b5693a899b1ce9d49c81b6fdc/GPerk_Walker.jpg'}, {'name': 'Pressure Cooker', 'description': 'Performs better when there are runners on base', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaW1IIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--924b1d4d4c0fa65a862bcd6be0a9294f48c9a993/GPerk_PressureCooker.jpg'}, {'name': 'Quick Reflexes', 'description': 'Reacts quickly to the ball when fielding', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBanFIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b980ddb4e80fd2c2d602b99a1d3efeb0e6cab14b/GPerk_QuickReflexes.jpg'}, {'name': 'Sniper', 'description': 'Has an extremely accurate throwing arm', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa0tIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e5021a95f6999714a7eca420627f84af1790dacc/GPerk_Sniper.jpg'}, {'name': 'Road Warrior', 'description': 'Performs better when playing on the road', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaTZIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2867dc69059edc116c6abfcfa14abb72eab49f6a/GPerk_RoadWarrior.jpg'}, {'name': 'Dead Red', 'description': 'Excels at hitting fastballs', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaTJIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8ea90f84053adc0da96b40fea151d2d801542474/GPerk_DeadRed.jpg'}, {'name': 'Breaking Ball Hitter', 'description': 'Excels at hitting breaking balls', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXFIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--433d53a5965c0e83a4273ac118db4c5ed6f06c4d/GPerk_BreakingBallHitter.jpg'}, {'name': 'Rally Monkey', 'description': 'Performs better when team is behind', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBamlIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--79d7e9e85af6e463c1987ff6fef2874c181c0676/GPerk_RallyMonkey.jpg'}, {'name': 'Night Player', 'description': 'Performs better when playing night games', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaktIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--789ed5585edfbee36cd4db636f29ce484f724204/GPerk_NightPlayer.jpg'}]",True,False,,,False,,,98,False,True
6ba32142b6b23ecd32a4c0aff11c2c41,mlb_card,https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczJYIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--469ab3774ea5627236c5283802ba64780d9390dd/222ad4a5e31de898e57906901c91e46f.jpg,Aaron Loup,Bronze,Angels,LAA,67,Live,,2017,RP,,28,34,L,L,210 lbs,"5'11""",Louisiana,False,24,57,72,55,61,80,81,71,95,0,0,0,0,2,0,0,64,0,0,80,51,53,46,16,0,13,0,0,,,"[{'name': 'Sinker', 'speed': 92, 'control': 80, 'movement': 88}, {'name': 'Cutter', 'speed': 85, 'control': 80, 'movement': 66}, {'name': 'Circle Change', 'speed': 80, 'control': 75, 'movement': 95}, {'name': 'Slurve', 'speed': 76, 'control': 50, 'movement': 70}]","[{'name': 'Grounded', 'description': 'Excels at limiting home runs', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBanVIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ef33c155fc986d98bb01e767785225f019df8d2c/GPerk_Grounded.jpg'}, {'name': 'Sinkerballer', 'description': 'Throws an extremely effective sinking fastball', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFdIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c45ff64eef24b04e1e349f3eac985f50740e209f/GPerk_Sinkerballer.jpg'}, {'name': 'Illusionist', 'description': 'Throws an extremely effective changeup', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaldIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--dbdf18ebd7228875e7644c14ff9a142d8b4b2a74/GPerk_Illusionist.jpg'}, {'name': 'Homebody', 'description': 'Performs better when playing at home', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBalNIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--eb7dc8eb024415319c04fec5dad9a72368a12701/GPerk_Homebody.jpg'}, {'name': 'Stopper', 'description': 'Performs better when team is behind', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa2VIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ee0184900d973bd789d71e22bef48d5ea9a8c3eb/GPerk_Stopper.jpg'}, {'name': 'Night Player', 'description': 'Performs better when playing night games', 'img': 'https://mlb22.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaktIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--789ed5585edfbee36cd4db636f29ce484f724204/GPerk_NightPlayer.jpg'}]",True,False,,,False,,,67,False,False
