,uuid,baked_img,name,rarity,team,team_short_name,ovr,display_position,display_secondary_positions,jersey_number,age,bat_hand,throw_hand,weight,height,born,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,pitches,new_rank,has_rank_change,season,mlb_id
0,aa49911b58898fa45ce3a21e64ef32b4,https://cards.theshow.com/mlb24/aa49911b58898fa45ce3a21e64ef32b4-baked.webp,Aaron Schunk,Common,Rockies,COL,64,3B,"1B, 2B",30,26,R,R,205 lbs,"6'1""",Georgia,True,0,0,0,0,0,0,0,10,10,43,64,40,56,49,39,27,24,21,69,0,54,56,53,58,0,59,26,24,[],64,False,2024,668845
1,93d619ab0e279d1771788dea7d354306,https://cards.theshow.com/mlb24/93d619ab0e279d1771788dea7d354306-baked.webp,Abner Uribe,Bronze,Brewers,MIL,65,RP,,45,23,R,R,225 lbs,"6'3""",At Sea,False,24,96,71,69,20,79,99,74,86,6,4,5,2,11,13,9,38,5,0,75,44,94,43,38,0,37,6,5,"[{'name': 'Sinker', 'speed': 95, 'control': 77, 'movement': 81}, {'name': 'Slider', 'speed': 88, 'control': 74, 'movement': 86}, {'name': '4-Seam Fastball', 'speed': 99, 'control': 71, 'movement': 54}]",65,False,2024,682842
2,7b6773fbfeaa7c221421645cb1efacf6,https://cards.theshow.com/mlb24/7b6773fbfeaa7c221421645cb1efacf6-baked.webp,Adael Amador,Common,Rockies,COL,63,2B,"3B, SS",2,20,S,R,200 lbs,"6'0""",At Sea,True,0,0,0,0,0,0,0,10,10,44,50,40,44,39,38,45,35,30,70,0,62,64,61,64,0,65,40,41,[],63,False,2024,691182
3,c2ceafe55feb2a3458657d8dd2e1965e,https://cards.theshow.com/mlb24/c2ceafe55feb2a3458657d8dd2e1965e-baked.webp,Adam Duvall,Bronze,Braves,ATL,69,CF,"1B, 3B, LF, RF",14,35,R,R,233 lbs,"6'1""",Kentucky,True,0,0,0,0,0,0,0,10,10,66,25,97,46,43,48,37,35,25,89,0,68,76,70,62,0,59,10,29,[],69,False,2024,594807
4,0e4a42f8247922a780893015e0680fb1,https://cards.theshow.com/mlb24/0e4a42f8247922a780893015e0680fb1-baked.webp,Adam Frazier,Bronze,Royals,KC,66,2B,"3B, SS, LF, CF, RF",26,32,L,R,180 lbs,"5'10""",Georgia,True,0,0,0,0,0,0,0,10,10,42,43,32,42,69,57,69,45,34,95,0,58,36,94,67,0,41,23,40,[],66,False,2024,624428
5,f9a25a1478f875ff3c2f9a57b7d39a52,https://cards.theshow.com/mlb24/f9a25a1478f875ff3c2f9a57b7d39a52-baked.webp,Adam Kloffenstein,Common,Cardinals,STL,53,RP,,66,23,R,R,245 lbs,"6'5""",Texas,False,66,50,56,36,41,54,71,49,55,15,12,11,7,11,16,13,36,8,0,80,53,54,54,50,0,29,18,6,"[{'name': '4-Seam Fastball', 'speed': 93, 'control': 53, 'movement': 54}, {'name': 'Slider', 'speed': 84, 'control': 54, 'movement': 55}, {'name': 'Cutter', 'speed': 86, 'control': 48, 'movement': 44}, {'name': 'Changeup', 'speed': 80, 'control': 45, 'movement': 42}, {'name': '2-Seam Fastball', 'speed': 91, 'control': 48, 'movement': 44}]",53,False,2024,680572
6,e89ea63b59c223fe6da9df710efa4b87,https://cards.theshow.com/mlb24/e89ea63b59c223fe6da9df710efa4b87-baked.webp,A.J. Minter,Silver,Braves,ATL,78,RP,,33,30,L,L,215 lbs,"6'0""",Texas,False,23,79,81,72,81,51,78,71,97,0,0,0,0,0,0,0,63,0,0,93,44,59,57,34,0,25,0,4,"[{'name': '4-Seam Fastball', 'speed': 95, 'control': 88, 'movement': 79}, {'name': 'Cutter', 'speed': 90, 'control': 58, 'movement': 97}, {'name': 'Circle Change', 'speed': 87, 'control': 68, 'movement': 72}]",78,False,2024,621345
7,fd79007ee013b28e2fb902d4ae4575ff,https://cards.theshow.com/mlb24/fd79007ee013b28e2fb902d4ae4575ff-baked.webp,A.J. Puk,Bronze,Diamondbacks,ARI,72,RP,,33,28,L,L,248 lbs,"6'7""",Minnesota,False,29,56,82,68,53,70,92,64,96,0,0,0,0,2,0,0,37,10,0,77,45,79,50,33,0,42,0,12,"[{'name': '4-Seam Fastball', 'speed': 94, 'control': 65, 'movement': 96}, {'name': 'Slurve', 'speed': 81, 'control': 65, 'movement': 52}, {'name': 'Sinker', 'speed': 94, 'control': 68, 'movement': 95}, {'name': 'Splitter', 'speed': 84, 'control': 65, 'movement': 71}, {'name': 'Slider', 'speed': 85, 'control': 57, 'movement': 42}]",72,False,2024,640462
8,2084ffc53b63cad1ad7737bd42edd393,https://cards.theshow.com/mlb24/2084ffc53b63cad1ad7737bd42edd393-baked.webp,Aaron Ashby,Silver,Brewers,MIL,75,RP,,26,25,R,L,188 lbs,"6'1""",Missouri,False,30,90,82,65,62,62,94,83,99,0,0,0,0,0,17,0,38,8,0,77,43,55,38,40,0,28,0,8,"[{'name': 'Sinker', 'speed': 94, 'control': 82, 'movement': 70}, {'name': 'Circle Change', 'speed': 88, 'control': 82, 'movement': 86}, {'name': 'Slider', 'speed': 82, 'control': 89, 'movement': 91}, {'name': 'Curveball', 'speed': 80, 'control': 80, 'movement': 99}]",75,False,2024,676879
9,9e08c2c3e81ecdef462606235c792c2c,https://cards.theshow.com/mlb24/9e08c2c3e81ecdef462606235c792c2c-baked.webp,Aaron Bummer,Bronze,Braves,ATL,68,RP,,49,30,L,L,215 lbs,"6'3""",California,False,24,59,61,67,63,82,88,67,99,0,0,0,0,2,0,0,64,0,0,77,48,77,50,53,0,20,0,7,"[{'name': 'Sinker', 'speed': 93, 'control': 58, 'movement': 96}, {'name': 'Slurve', 'speed': 82, 'control': 88, 'movement': 99}, {'name': 'Cutter', 'speed': 88, 'control': 65, 'movement': 71}, {'name': '4-Seam Fastball', 'speed': 94, 'control': 62, 'movement': 76}, {'name': 'Circle Change', 'speed': 86, 'control': 65, 'movement': 65}]",68,False,2024,607481
