,uuid,baked_img,name,rarity,team,team_short_name,ovr,display_position,display_secondary_positions,jersey_number,age,bat_hand,throw_hand,weight,height,born,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,pitches,new_rank,has_rank_change,season,mlb_id
0,610ed4481667e4e4bc31f7c55757a052,https://cards.theshow.com/mlb23/610ed4481667e4e4bc31f7c55757a052-baked.webp,A.J. Minter,Silver,Braves,ATL,76,RP,,33,29,L,L,215 lbs,"6'0""",Texas,False,23,75,72,77,75,75,86,82,97,0,0,0,0,0,0,0,63,0,0,93,44,59,57,34,0,25,0,4,"[{'name': '4-Seam Fastball', 'speed': 97, 'control': 95, 'movement': 79}, {'name': 'Cutter', 'speed': 90, 'control': 70, 'movement': 97}, {'name': 'Circle Change', 'speed': 88, 'control': 83, 'movement': 77}]",76,False,2023,621345
1,dfc0027bffc6697be1d13654b1b9ef38,https://cards.theshow.com/mlb23/dfc0027bffc6697be1d13654b1b9ef38-baked.webp,A.J. Puk,Silver,Marlins,MIA,78,RP,,35,27,L,L,248 lbs,"6'7""",Minnesota,False,24,55,73,72,88,65,99,72,99,0,0,0,0,2,0,0,37,10,0,77,45,79,50,33,0,42,0,12,"[{'name': '4-Seam Fastball', 'speed': 97, 'control': 79, 'movement': 99}, {'name': 'Slider', 'speed': 87, 'control': 74, 'movement': 76}, {'name': 'Sinker', 'speed': 95, 'control': 80, 'movement': 95}, {'name': 'Circle Change', 'speed': 88, 'control': 57, 'movement': 66}]",78,False,2023,640462
2,8b8369fc782a66a1118bd9eda89ebc07,https://cards.theshow.com/mlb23/8b8369fc782a66a1118bd9eda89ebc07-baked.webp,Aaron Bummer,Bronze,White Sox,CWS,68,RP,,39,29,L,L,215 lbs,"6'3""",California,False,24,63,64,74,45,82,96,76,99,0,0,0,0,2,0,0,64,0,0,77,48,77,50,53,0,20,0,7,"[{'name': 'Sinker', 'speed': 95, 'control': 68, 'movement': 99}, {'name': 'Slider', 'speed': 82, 'control': 94, 'movement': 99}, {'name': 'Cutter', 'speed': 86, 'control': 67, 'movement': 80}]",68,False,2023,607481
3,1b34752d7d09fd5c529274c90bfe5f8e,https://cards.theshow.com/mlb23/1b34752d7d09fd5c529274c90bfe5f8e-baked.webp,Aaron Civale,Silver,Rays,TB,78,SP,,34,27,R,R,215 lbs,"6'2""",Connecticut,False,78,88,73,57,75,75,75,78,98,0,0,0,0,0,17,0,63,1,0,78,45,68,49,40,0,40,0,12,"[{'name': 'Cutter', 'speed': 86, 'control': 94, 'movement': 90}, {'name': 'Curveball', 'speed': 76, 'control': 85, 'movement': 98}, {'name': 'Sinker', 'speed': 91, 'control': 85, 'movement': 53}, {'name': '4-Seam Fastball', 'speed': 91, 'control': 68, 'movement': 65}, {'name': 'Slider', 'speed': 80, 'control': 62, 'movement': 85}]",78,False,2023,650644
4,4d78ebf86f5ae4db24143c8a2af603b2,https://cards.theshow.com/mlb23/4d78ebf86f5ae4db24143c8a2af603b2-baked.webp,Aaron Hicks,Silver,Orioles,BAL,79,LF,"CF, RF",34,33,S,R,205 lbs,"6'1""",California,True,0,0,0,0,0,0,0,10,10,90,55,71,58,65,90,70,45,42,79,0,64,88,81,56,0,64,25,47,[],79,False,2023,543305
5,0fbc90ea428a06eae66e4e7807decf8b,https://cards.theshow.com/mlb23/0fbc90ea428a06eae66e4e7807decf8b-baked.webp,Aaron Judge,Diamond,Yankees,NYY,95,RF,"LF, CF",99,30,R,R,282 lbs,"6'7""",California,True,0,0,0,0,0,0,0,10,10,77,92,120,125,38,109,99,35,25,96,0,76,88,96,51,0,54,52,47,[],95,False,2023,592450
6,866ed6474ae197052573169977a3e66f,https://cards.theshow.com/mlb23/866ed6474ae197052573169977a3e66f-baked.webp,Aaron Loup,Bronze,Angels,LAA,66,RP,,28,35,L,L,210 lbs,"5'11""",Louisiana,False,24,68,63,55,66,81,74,71,92,0,0,0,0,2,0,0,64,0,0,80,51,53,46,16,0,13,0,0,"[{'name': 'Sinker', 'speed': 91, 'control': 80, 'movement': 92}, {'name': 'Cutter', 'speed': 85, 'control': 80, 'movement': 60}, {'name': 'Circle Change', 'speed': 80, 'control': 75, 'movement': 85}, {'name': 'Slurve', 'speed': 76, 'control': 50, 'movement': 76}]",66,False,2023,571901
7,e2e495edc31bdc4fe9517af2ddcb3202,https://cards.theshow.com/mlb23/e2e495edc31bdc4fe9517af2ddcb3202-baked.webp,Aaron Nola,Gold,Phillies,PHI,84,SP,,27,29,R,R,200 lbs,"6'2""",Louisiana,False,87,71,76,67,84,52,81,67,96,0,6,0,0,0,55,0,70,25,0,77,66,62,68,38,0,25,0,0,"[{'name': '4-Seam Fastball', 'speed': 93, 'control': 75, 'movement': 96}, {'name': 'Knuckle-curve', 'speed': 79, 'control': 75, 'movement': 89}, {'name': 'Sinker', 'speed': 92, 'control': 64, 'movement': 83}, {'name': 'Circle Change', 'speed': 86, 'control': 62, 'movement': 72}, {'name': 'Cutter', 'speed': 87, 'control': 62, 'movement': 65}]",84,False,2023,605400
8,0379b86902c34a9281d793eafea993bb,https://cards.theshow.com/mlb23/0379b86902c34a9281d793eafea993bb-baked.webp,Abner Uribe,Common,Brewers,MIL,61,RP,,45,22,R,R,225 lbs,"6'3""",Dominican Republic,False,34,54,60,64,33,53,91,52,56,6,4,5,2,11,13,9,38,5,0,75,44,94,43,38,0,37,6,5,"[{'name': '4-Seam Fastball', 'speed': 97, 'control': 59, 'movement': 54}, {'name': 'Slider', 'speed': 88, 'control': 54, 'movement': 56}, {'name': 'Changeup', 'speed': 85, 'control': 38, 'movement': 46}, {'name': '2-Seam Fastball', 'speed': 95, 'control': 58, 'movement': 54}]",61,False,2023,682842
9,e5b9f5bf64efb0aac1c0530df7b26150,https://cards.theshow.com/mlb23/e5b9f5bf64efb0aac1c0530df7b26150-baked.webp,Abraham Toro,Bronze,Brewers,MIL,71,2B,"1B, 3B",13,26,S,R,223 lbs,"6'0""",Canada,True,0,0,0,0,0,0,0,10,10,45,36,33,66,74,51,68,35,25,67,0,67,58,73,65,0,66,18,18,[],71,False,2023,647351
10,ca204098dc72720c0ea61931238833a0,https://cards.theshow.com/mlb23/ca204098dc72720c0ea61931238833a0-baked.webp,Adam Cimber,Common,Blue Jays,TOR,63,RP,,90,32,R,R,195 lbs,"6'3""",Oregon,False,26,50,60,49,78,50,43,71,79,0,0,0,0,0,0,0,62,2,0,95,50,55,50,38,0,39,0,8,"[{'name': 'Slider', 'speed': 78, 'control': 70, 'movement': 79}, {'name': '4-Seam Fastball', 'speed': 87, 'control': 77, 'movement': 65}, {'name': 'Sinker', 'speed': 87, 'control': 67, 'movement': 73}]",63,False,2023,643256
11,5f2e2f400030f3f4a4d5d36e2aa6c003,https://cards.theshow.com/mlb23/5f2e2f400030f3f4a4d5d36e2aa6c003-baked.webp,Adam Duvall,Gold,Red Sox,BOS,81,CF,"1B, 3B, LF, RF",18,34,R,R,233 lbs,"6'1""",Kentucky,True,0,0,0,0,0,0,0,10,10,71,69,82,94,44,53,68,35,25,89,0,78,76,60,75,0,63,10,29,[],81,False,2023,594807
12,2a56714006ae605b97a769d6fb7ddcb1,https://cards.theshow.com/mlb23/2a56714006ae605b97a769d6fb7ddcb1-baked.webp,Adam Frazier,Silver,Orioles,BAL,78,2B,"3B, SS, LF, CF, RF",12,31,L,R,180 lbs,"5'10""",Georgia,True,0,0,0,0,0,0,0,10,10,44,67,48,60,89,52,67,45,34,95,0,73,70,90,69,0,46,23,40,[],78,False,2023,624428
13,7163061685c8c02ab691306525f18cbc,https://cards.theshow.com/mlb23/7163061685c8c02ab691306525f18cbc-baked.webp,Adam Haseley,Common,White Sox,CWS,63,CF,"LF, RF",51,26,L,L,190 lbs,"6'1""",Florida,True,0,0,0,0,0,0,0,10,10,52,47,34,42,56,49,52,48,25,78,0,67,56,68,71,0,46,7,38,[],63,False,2023,656514
14,08913a2e8cbcc8bf302a8554782add46,https://cards.theshow.com/mlb23/08913a2e8cbcc8bf302a8554782add46-baked.webp,Adam Ottavino,Bronze,Mets,NYM,73,RP,,0,37,S,R,246 lbs,"6'5""",New York,False,24,112,86,63,45,64,94,80,99,0,0,0,0,1,6,0,64,0,0,82,50,49,31,46,0,4,0,0,"[{'name': 'Slider', 'speed': 81, 'control': 97, 'movement': 99}, {'name': 'Sinker', 'speed': 94, 'control': 87, 'movement': 82}, {'name': '4-Seam Fastball', 'speed': 95, 'control': 98, 'movement': 67}, {'name': 'Cutter', 'speed': 88, 'control': 35, 'movement': 73}, {'name': 'Circle Change', 'speed': 88, 'control': 85, 'movement': 90}]",73,False,2023,493603
15,c95e2f00e2a515199b48ffb23342d898,https://cards.theshow.com/mlb23/c95e2f00e2a515199b48ffb23342d898-baked.webp,Adam Wainwright,Bronze,Cardinals,STL,72,SP,,50,41,R,R,230 lbs,"6'7""",Georgia,False,71,75,60,50,73,70,57,73,99,33,26,33,27,32,31,35,96,25,0,59,77,74,78,34,0,20,0,0,"[{'name': 'Sweeping Curve', 'speed': 73, 'control': 79, 'movement': 99}, {'name': 'Sinker', 'speed': 89, 'control': 85, 'movement': 60}, {'name': 'Cutter', 'speed': 84, 'control': 75, 'movement': 83}, {'name': '4-Seam Fastball', 'speed': 88, 'control': 52, 'movement': 43}, {'name': 'Circle Change', 'speed': 82, 'control': 76, 'movement': 73}]",72,False,2023,425794
16,bd6bab43fcb7038144947ad73c1b5527,https://cards.theshow.com/mlb23/bd6bab43fcb7038144947ad73c1b5527-baked.webp,Adbert Alzolay,Silver,Cubs,CHC,78,RP,,73,28,R,R,208 lbs,"6'1""",Venezuela,False,26,90,78,65,83,76,96,70,77,0,0,0,0,9,11,0,39,8,0,78,44,65,38,37,0,38,9,8,"[{'name': 'Slider', 'speed': 85, 'control': 80, 'movement': 77}, {'name': 'Sinker', 'speed': 95, 'control': 64, 'movement': 70}, {'name': '4-Seam Fastball', 'speed': 95, 'control': 64, 'movement': 70}, {'name': 'Circle Change', 'speed': 86, 'control': 83, 'movement': 68}, {'name': 'Cutter', 'speed': 90, 'control': 63, 'movement': 74}]",78,False,2023,640470
17,62ff479880ad9a16a568691f85f90ba4,https://cards.theshow.com/mlb23/62ff479880ad9a16a568691f85f90ba4-baked.webp,Addison Barger,Bronze,Blue Jays,TOR,67,SS,"1B, 2B, 3B",19,23,L,R,210 lbs,"6'0""",Washington,True,0,0,0,0,0,0,0,10,10,51,56,42,49,31,26,38,29,24,74,0,74,75,76,70,0,64,36,27,[],67,False,2023,680718
18,c7051dbf9f079a789189c4e6cfe490a5,https://cards.theshow.com/mlb23/c7051dbf9f079a789189c4e6cfe490a5-baked.webp,Adley Rutschman,Diamond,Orioles,BAL,87,C,1B,35,25,S,R,230 lbs,"6'2""",Oregon,True,0,0,0,0,0,0,0,10,10,92,69,59,58,81,90,70,35,25,69,0,93,90,74,94,73,53,8,21,[],87,False,2023,668939
19,9f99fedf5b80eea24d146ea995ca4983,https://cards.theshow.com/mlb23/9f99fedf5b80eea24d146ea995ca4983-baked.webp,Adolis Garcia,Diamond,Rangers,TEX,95,RF,"LF, CF",53,30,R,R,205 lbs,"6'1""",Cuba,True,0,0,0,0,0,0,0,10,10,68,88,90,115,55,75,104,35,25,95,0,74,94,99,85,0,64,77,80,[],95,False,2023,666969
20,3e84ac6504b459f9f974d6d3096336b3,https://cards.theshow.com/mlb23/3e84ac6504b459f9f974d6d3096336b3-baked.webp,Adrian Houser,Bronze,Brewers,MIL,70,SP,,37,30,R,R,242 lbs,"6'3""",Oklahoma,False,72,50,60,50,60,68,91,68,87,2,0,26,10,0,25,0,72,10,0,67,42,66,43,38,0,30,0,7,"[{'name': 'Sinker', 'speed': 94, 'control': 86, 'movement': 77}, {'name': '4-Seam Fastball', 'speed': 94, 'control': 76, 'movement': 84}, {'name': 'Slider', 'speed': 85, 'control': 68, 'movement': 66}, {'name': '12-6 Curve', 'speed': 81, 'control': 59, 'movement': 87}, {'name': 'Circle Change', 'speed': 85, 'control': 52, 'movement': 72}]",70,False,2023,605288
21,98265d270342ac37d9b2e6f90f648601,https://cards.theshow.com/mlb23/98265d270342ac37d9b2e6f90f648601-baked.webp,Adrian Martinez,Bronze,Athletics,OAK,65,RP,,55,26,R,R,215 lbs,"6'2""",Mexico,False,76,46,52,53,67,42,91,49,99,9,7,8,2,10,9,11,34,7,0,68,46,44,50,35,0,38,6,5,"[{'name': 'Sinker', 'speed': 94, 'control': 56, 'movement': 80}, {'name': 'Circle Change', 'speed': 84, 'control': 46, 'movement': 99}, {'name': 'Slider', 'speed': 82, 'control': 46, 'movement': 67}]",65,False,2023,661309
22,41777ab654258ff71d2ed4e51a13d3f4,https://cards.theshow.com/mlb23/41777ab654258ff71d2ed4e51a13d3f4-baked.webp,Adrian Morejon,Bronze,Padres,SD,66,RP,,50,24,L,L,224 lbs,"5'11""",Cuba,False,30,52,53,59,71,38,88,52,90,0,0,0,0,3,0,0,37,10,0,78,38,56,45,40,0,37,0,11,"[{'name': '4-Seam Fastball', 'speed': 97, 'control': 59, 'movement': 74}, {'name': 'Slider', 'speed': 88, 'control': 57, 'movement': 90}, {'name': 'Curveball', 'speed': 80, 'control': 50, 'movement': 76}, {'name': 'Circle Change', 'speed': 84, 'control': 45, 'movement': 66}]",66,False,2023,670970
23,fe8dbddb1a56f3080173875c1c5901af,https://cards.theshow.com/mlb23/fe8dbddb1a56f3080173875c1c5901af-baked.webp,AJ Smith-Shawver,Bronze,Braves,ATL,65,SP,,62,20,R,R,205 lbs,"6'3""",Texas,False,77,53,55,57,42,53,72,50,59,9,7,8,4,13,10,10,38,8,0,70,46,54,46,50,0,38,9,7,"[{'name': '4-Seam Fastball', 'speed': 93, 'control': 54, 'movement': 56}, {'name': 'Curveball', 'speed': 76, 'control': 56, 'movement': 59}, {'name': 'Changeup', 'speed': 80, 'control': 40, 'movement': 44}, {'name': '2-Seam Fastball', 'speed': 92, 'control': 53, 'movement': 49}]",65,False,2023,700363
24,c7e91f546978868cbc9f8b77475b1332,https://cards.theshow.com/mlb23/c7e91f546978868cbc9f8b77475b1332-baked.webp,Akil Baddoo,Bronze,Tigers,DET,69,LF,"CF, RF",60,24,L,L,214 lbs,"6'1""",Maryland,True,0,0,0,0,0,0,0,10,10,50,63,27,55,49,71,81,44,40,76,0,62,64,52,47,0,82,53,72,[],69,False,2023,668731
25,bb5c3a7f993b7cb25b2410e212e0386a,https://cards.theshow.com/mlb23/bb5c3a7f993b7cb25b2410e212e0386a-baked.webp,Alan Trejo,Bronze,Rockies,COL,71,2B,"3B, SS",13,26,R,R,205 lbs,"6'2""",California,True,0,0,0,0,0,0,0,10,10,54,68,34,48,59,32,82,35,25,70,0,78,65,69,76,0,44,24,10,[],71,False,2023,676701
26,27a9a0db6ab0da9b4f98c0681956baff,https://cards.theshow.com/mlb23/27a9a0db6ab0da9b4f98c0681956baff-baked.webp,Albert Abreu,Bronze,Yankees,NYY,68,RP,,84,27,R,R,190 lbs,"6'2""",Dominican Republic,False,32,53,80,62,42,38,99,71,83,0,0,0,0,2,0,0,23,19,0,33,34,57,35,48,0,21,0,0,"[{'name': 'Sinker', 'speed': 95, 'control': 76, 'movement': 61}, {'name': 'Slider', 'speed': 89, 'control': 83, 'movement': 56}, {'name': '4-Seam Fastball', 'speed': 98, 'control': 82, 'movement': 83}, {'name': 'Circle Change', 'speed': 88, 'control': 43, 'movement': 80}]",68,False,2023,656061
27,484cfa4d6ac6f2f95c26d70434ff5e88,https://cards.theshow.com/mlb23/484cfa4d6ac6f2f95c26d70434ff5e88-baked.webp,Alec Bohm,Silver,Phillies,PHI,78,3B,1B,28,26,R,R,218 lbs,"6'5""",Nebraska,True,0,0,0,0,0,0,0,10,10,94,73,98,44,82,51,100,30,20,93,0,48,55,50,56,0,50,9,30,[],78,False,2023,664761
28,7574e37143ee6a7a28998977d0ce4c3f,https://cards.theshow.com/mlb23/7574e37143ee6a7a28998977d0ce4c3f-baked.webp,Alec Burleson,Common,Cardinals,STL,63,RF,"1B, LF, CF",41,24,L,L,212 lbs,"6'2""",North Carolina,True,0,0,0,0,0,0,51,49,45,50,58,48,56,52,59,42,35,25,76,0,35,59,52,36,0,44,6,7,[],63,False,2023,676475
29,59b1d1f250383b5374f465d5a7d7485a,https://cards.theshow.com/mlb23/59b1d1f250383b5374f465d5a7d7485a-baked.webp,Alec Marsh,Bronze,Royals,KC,67,SP,,67,24,R,R,220 lbs,"6'2""",Wisconsin,False,67,49,51,66,43,40,86,45,56,5,5,5,5,5,5,5,25,0,0,73,40,60,50,40,0,45,35,0,"[{'name': '4-Seam Fastball', 'speed': 93, 'control': 52, 'movement': 56}, {'name': 'Curveball', 'speed': 82, 'control': 43, 'movement': 55}, {'name': 'Slider', 'speed': 86, 'control': 44, 'movement': 55}, {'name': 'Changeup', 'speed': 81, 'control': 40, 'movement': 45}, {'name': 'Sinker', 'speed': 93, 'control': 47, 'movement': 53}]",67,False,2023,679525
30,7e8adc52ed56f7c1779f287d7968d363,https://cards.theshow.com/mlb23/7e8adc52ed56f7c1779f287d7968d363-baked.webp,Aledmys Diaz,Silver,Athletics,OAK,77,SS,"2B, 3B, LF, RF",12,32,R,R,195 lbs,"6'1""",Cuba,True,0,0,0,0,0,0,0,10,10,69,56,61,58,76,40,85,37,37,79,0,72,75,70,76,0,51,2,36,[],77,False,2023,649557
31,2d67f2dbd5f03601f8d66d7b4d6e7227,https://cards.theshow.com/mlb23/2d67f2dbd5f03601f8d66d7b4d6e7227-baked.webp,Alejandro Kirk,Gold,Blue Jays,TOR,80,C,,30,24,R,R,245 lbs,"5'8""",Mexico,True,0,0,0,0,0,0,0,10,10,76,63,47,43,93,69,62,24,22,85,0,92,64,61,91,80,6,0,12,[],80,False,2023,672386
32,110623bcd586fd570536803d7413fc13,https://cards.theshow.com/mlb23/110623bcd586fd570536803d7413fc13-baked.webp,Alek Manoah,Bronze,Blue Jays,TOR,67,SP,,6,25,R,R,285 lbs,"6'6""",Florida,False,80,74,63,53,35,72,88,76,85,0,0,0,0,0,0,0,39,8,0,88,55,48,53,35,0,26,0,9,"[{'name': '4-Seam Fastball', 'speed': 94, 'control': 79, 'movement': 66}, {'name': 'Slider', 'speed': 82, 'control': 75, 'movement': 85}, {'name': 'Sinker', 'speed': 93, 'control': 79, 'movement': 65}, {'name': 'Circle Change', 'speed': 87, 'control': 72, 'movement': 69}]",67,False,2023,666201
33,2d9de9b16939a32d828b6ed11b24ffdc,https://cards.theshow.com/mlb23/2d9de9b16939a32d828b6ed11b24ffdc-baked.webp,Alek Thomas,Silver,Diamondbacks,ARI,79,CF,"1B, LF, RF",5,22,L,L,175 lbs,"5'11""",Illinois,True,0,0,0,0,0,0,0,10,10,34,69,42,70,67,40,75,40,40,70,0,81,73,62,70,0,89,65,60,[],79,False,2023,677950
34,19befc599c62e4ca3fe396e8f7b2082c,https://cards.theshow.com/mlb23/19befc599c62e4ca3fe396e8f7b2082c-baked.webp,Alex Bregman,Diamond,Astros,HOU,85,3B,"1B, SS, LF",2,29,R,R,192 lbs,"6'0""",New Mexico,True,0,0,0,0,0,0,0,10,10,56,84,65,80,87,95,100,35,27,95,0,75,58,78,72,0,42,2,38,[],85,False,2023,608324
35,1238ce902c7b3e1628b8245892d60e5e,https://cards.theshow.com/mlb23/1238ce902c7b3e1628b8245892d60e5e-baked.webp,Alex Call,Bronze,Nationals,WAS,74,LF,"CF, RF",17,28,R,R,189 lbs,"5'11""",Minnesota,True,0,0,0,0,0,0,0,10,10,73,46,54,50,65,76,73,34,35,66,0,81,70,59,71,0,71,6,31,[],74,False,2023,669743
36,af756aac925876d8d15666b62e6fdb32,https://cards.theshow.com/mlb23/af756aac925876d8d15666b62e6fdb32-baked.webp,Alex Cobb,Silver,Giants,SF,76,SP,,38,35,R,R,205 lbs,"6'3""",Massachusetts,False,79,80,53,52,80,65,98,75,95,0,0,0,0,10,2,0,65,5,0,49,40,48,32,37,0,4,0,0,"[{'name': 'Sinker', 'speed': 95, 'control': 70, 'movement': 70}, {'name': 'Splitter', 'speed': 90, 'control': 69, 'movement': 82}, {'name': 'Knuckle-curve', 'speed': 84, 'control': 77, 'movement': 95}, {'name': '4-Seam Fastball', 'speed': 96, 'control': 85, 'movement': 69}]",76,False,2023,502171
37,5753173375a87557dbfdcf86173a1c34,https://cards.theshow.com/mlb23/5753173375a87557dbfdcf86173a1c34-baked.webp,Alex Faedo,Bronze,Tigers,DET,65,RP,,49,27,R,R,225 lbs,"6'5""",Florida,False,75,38,67,58,61,43,66,53,92,4,3,0,0,0,0,0,27,18,0,70,27,74,37,25,0,21,0,0,"[{'name': '4-Seam Fastball', 'speed': 93, 'control': 59, 'movement': 92}, {'name': 'Slider', 'speed': 85, 'control': 52, 'movement': 54}, {'name': 'Circle Change', 'speed': 86, 'control': 50, 'movement': 82}]",65,False,2023,656412
