Unnamed: 0,uuid,baked_img,name,short_description,rarity,team,team_short_name,ovr,display_position,display_secondary_positions,jersey_number,age,bat_hand,throw_hand,weight,height,born,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,pitches,new_rank,has_rank_change,locations,season,mlb_id,update,gamesPlayed,gamesStarted,flyOuts,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,sacBunts,sacFlies,season_gamesPlayed,season_gamesStarted,season_flyOuts,season_groundOuts,season_airOuts,season_runs,season_doubles,season_triples,season_homeRuns,season_strikeOuts,season_baseOnBalls,season_intentionalWalks,season_hits,season_hitByPitch,season_avg,season_atBats,season_obp,season_slg,season_ops,season_caughtStealing,season_stolenBases,season_stolenBasePercentage,season_numberOfPitches,season_era,season_inningsPitched,season_wins,season_losses,season_saves,season_saveOpportunities,season_holds,season_blownSaves,season_earnedRuns,season_whip,season_battersFaced,season_outs,season_gamesPitched,season_completeGames,season_shutouts,season_strikes,season_strikePercentage,season_hitBatsmen,season_balks,season_wildPitches,season_pickoffs,season_totalBases,season_winPercentage,season_pitchesPerInning,season_gamesFinished,season_strikeoutWalkRatio,season_strikeoutsPer9Inn,season_walksPer9Inn,season_hitsPer9Inn,season_runsScoredPer9,season_homeRunsPer9,season_inheritedRunners,season_inheritedRunnersScored,season_sacBunts,season_sacFlies,since_prev_gamesPlayed,since_prev_gamesStarted,since_prev_flyOuts,since_prev_groundOuts,since_prev_airOuts,since_prev_runs,since_prev_doubles,since_prev_triples,since_prev_homeRuns,since_prev_strikeOuts,since_prev_baseOnBalls,since_prev_intentionalWalks,since_prev_hits,since_prev_hitByPitch,since_prev_avg,since_prev_atBats,since_prev_obp,since_prev_slg,since_prev_ops,since_prev_caughtStealing,since_prev_stolenBases,since_prev_stolenBasePercentage,since_prev_numberOfPitches,since_prev_era,since_prev_inningsPitched,since_prev_wins,since_prev_losses,since_prev_saves,since_prev_saveOpportunities,since_prev_holds,since_prev_blownSaves,since_prev_earnedRuns,since_prev_whip,since_prev_battersFaced,since_prev_outs,since_prev_gamesPitched,since_prev_completeGames,since_prev_shutouts,since_prev_strikes,since_prev_strikePercentage,since_prev_hitBatsmen,since_prev_balks,since_prev_wildPitches,since_prev_pickoffs,since_prev_totalBases,since_prev_winPercentage,since_prev_pitchesPerInning,since_prev_gamesFinished,since_prev_strikeoutWalkRatio,since_prev_strikeoutsPer9Inn,since_prev_walksPer9Inn,since_prev_hitsPer9Inn,since_prev_runsScoredPer9,since_prev_homeRunsPer9,since_prev_inheritedRunners,since_prev_inheritedRunnersScored,since_prev_sacBunts,since_prev_sacFlies,3wk_gamesPlayed,3wk_gamesStarted,3wk_flyOuts,3wk_groundOuts,3wk_airOuts,3wk_runs,3wk_doubles,3wk_triples,3wk_homeRuns,3wk_strikeOuts,3wk_baseOnBalls,3wk_intentionalWalks,3wk_hits,3wk_hitByPitch,3wk_avg,3wk_atBats,3wk_obp,3wk_slg,3wk_ops,3wk_caughtStealing,3wk_stolenBases,3wk_stolenBasePercentage,3wk_numberOfPitches,3wk_era,3wk_inningsPitched,3wk_wins,3wk_losses,3wk_saves,3wk_saveOpportunities,3wk_holds,3wk_blownSaves,3wk_earnedRuns,3wk_whip,3wk_battersFaced,3wk_outs,3wk_gamesPitched,3wk_completeGames,3wk_shutouts,3wk_strikes,3wk_strikePercentage,3wk_hitBatsmen,3wk_balks,3wk_wildPitches,3wk_pickoffs,3wk_totalBases,3wk_winPercentage,3wk_pitchesPerInning,3wk_gamesFinished,3wk_strikeoutWalkRatio,3wk_strikeoutsPer9Inn,3wk_walksPer9Inn,3wk_hitsPer9Inn,3wk_runsScoredPer9,3wk_homeRunsPer9,3wk_inheritedRunners,3wk_inheritedRunnersScored,3wk_sacBunts,3wk_sacFlies,groundIntoTriplePlay,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun,season_groundIntoTriplePlay,season_plateAppearances,season_rbi,season_leftOnBase,season_babip,season_atBatsPerHomeRun,3wk_groundIntoTriplePlay,3wk_plateAppearances,3wk_rbi,3wk_leftOnBase,3wk_babip,3wk_atBatsPerHomeRun,since_prev_groundIntoTriplePlay,since_prev_plateAppearances,since_prev_rbi,since_prev_leftOnBase,since_prev_babip,since_prev_atBatsPerHomeRun
4,24e09e2b5d0453f3f3fdb17c8ec14a7a,https://cards.theshow.com/mlb25/24e09e2b5d0453f3f3fdb17c8ec14a7a-baked.webp,Aaron Civale,,Bronze,Brewers,MIL,74,SP,,32,29,R,R,215 lbs,"6'2""",Connecticut,False,75,80,63,51,69,49,83,65,95,0,0,0,0,0,17,0,63,1,0,78,45,68,49,40,0,40,0,12,"[{'name': 'Cutter', 'speed': 88, 'control': 99, 'movement': 80}, {'name': 'Sinker', 'speed': 93, 'control': 60, 'movement': 62}, {'name': 'Curveball', 'speed': 77, 'control': 57, 'movement': 95}, {'name': 'Fastball Running', 'speed': 88, 'control': 65, 'movement': 90}, {'name': '4-Seam Fastball', 'speed': 92, 'control': 48, 'movement': 76}]",74,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,650644,2025_1,27.0,27.0,76.0,101.0,144.0,78.0,23.0,1.0,23.0,142.0,38.0,0.0,144.0,7.0,.273,528.0,.329,.451,.780,1.0,4.0,.800,2286.0,5.17,132.1,4.0,9.0,0.0,0.0,0.0,0.0,76.0,1.38,576.0,397.0,27.0,0.0,0.0,1476.0,.650,7.0,0.0,2.0,0.0,238.0,.308,17.27,0.0,3.74,9.66,2.58,9.79,5.30,1.56,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,.308,13.0,.357,1.000,1.357,0.0,0.0,.---,68.0,15.00,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.67,14.0,9.0,1.0,0.0,0.0,44.0,.650,0.0,0.0,0.0,0.0,13.0,.000,22.67,0.0,2.00,6.00,3.00,12.00,15.00,9.00,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,.308,13.0,.357,1.000,1.357,0.0,0.0,.---,68.0,15.00,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.67,14.0,9.0,1.0,0.0,0.0,44.0,.650,0.0,0.0,0.0,0.0,13.0,.000,22.67,0.0,2.00,6.00,3.00,12.00,15.00,9.00,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,652901ebfb11a3676763839aa0a4c33f,https://cards.theshow.com/mlb25/652901ebfb11a3676763839aa0a4c33f-baked.webp,A.J. Puk,,Bronze,Diamondbacks,ARI,73,RP,,33,29,L,L,248 lbs,"6'7""",Minnesota,False,29,92,64,72,63,63,97,68,88,0,0,0,0,2,0,0,37,10,0,77,45,79,50,33,0,42,0,12,"[{'name': '4-Seam Fastball', 'speed': 96, 'control': 90, 'movement': 84}, {'name': 'Slider', 'speed': 85, 'control': 78, 'movement': 74}, {'name': 'Fastball Running', 'speed': 89, 'control': 55, 'movement': 60}, {'name': 'Sinker', 'speed': 95, 'control': 62, 'movement': 88}, {'name': 'Splitter', 'speed': 84, 'control': 57, 'movement': 60}]",73,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,640462,2025_1,90.0,4.0,57.0,86.0,95.0,56.0,21.0,1.0,13.0,123.0,36.0,2.0,90.0,3.0,.231,389.0,.299,.391,.690,2.0,11.0,.846,1706.0,4.11,100.2,11.0,13.0,16.0,26.0,9.0,10.0,46.0,1.25,433.0,302.0,90.0,0.0,0.0,1136.0,.670,3.0,1.0,3.0,1.0,152.0,.458,16.95,35.0,3.42,11.00,3.22,8.05,5.01,1.16,32.0,9.0,2.0,3.0,8.0,0.0,4.0,5.0,7.0,3.0,3.0,0.0,2.0,12.0,2.0,0.0,8.0,1.0,.250,32.0,.314,.531,.845,0.0,3.0,1.000,156.0,3.38,8.0,0.0,0.0,4.0,4.0,2.0,0.0,3.0,1.25,35.0,24.0,8.0,0.0,0.0,106.0,.680,1.0,0.0,1.0,0.0,17.0,.---,19.50,5.0,6.00,13.50,2.25,9.00,3.38,2.25,2.0,2.0,0.0,0.0,8.0,0.0,4.0,5.0,7.0,3.0,3.0,0.0,2.0,12.0,2.0,0.0,8.0,1.0,.250,32.0,.314,.531,.845,0.0,3.0,1.000,156.0,3.38,8.0,0.0,0.0,4.0,4.0,2.0,0.0,3.0,1.25,35.0,24.0,8.0,0.0,0.0,106.0,.680,1.0,0.0,1.0,0.0,17.0,.---,19.50,5.0,6.00,13.50,2.25,9.00,3.38,2.25,2.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,3.0,1.0,.250,12.0,.357,.417,.774,0.0,1.0,1.000,60.0,3.00,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.33,14.0,9.0,3.0,0.0,0.0,43.0,.720,1.0,0.0,1.0,0.0,5.0,.---,20.00,2.0,5.00,15.00,3.00,9.00,3.00,0.00,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,e3a9682e949423ecdcbe7e0a0b2ff990,https://cards.theshow.com/mlb25/e3a9682e949423ecdcbe7e0a0b2ff990-baked.webp,Aaron Ashby,,Bronze,Brewers,MIL,72,RP,,26,26,R,L,188 lbs,"6'1""",Missouri,False,30,81,77,61,57,62,99,68,95,0,0,0,0,0,17,0,38,8,0,77,43,55,38,40,0,28,0,8,"[{'name': 'Sinker', 'speed': 95, 'control': 70, 'movement': 70}, {'name': 'Circle Change', 'speed': 88, 'control': 60, 'movement': 82}, {'name': '12-6 Curve', 'speed': 82, 'control': 74, 'movement': 95}, {'name': 'Slider', 'speed': 83, 'control': 70, 'movement': 80}]",72,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,676879,2025_1,54.0,25.0,62.0,197.0,105.0,95.0,27.0,2.0,21.0,198.0,69.0,0.0,151.0,7.0,.234,644.0,.313,.380,.693,0.0,15.0,1.000,2894.0,4.20,167.1,6.0,14.0,2.0,3.0,5.0,1.0,78.0,1.31,727.0,502.0,54.0,0.0,0.0,1874.0,.650,7.0,1.0,9.0,0.0,245.0,.300,17.29,8.0,2.87,10.65,3.71,8.12,5.11,1.13,8.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,e12c9aadb7207afe9615fd2feb6344d7,https://cards.theshow.com/mlb25/e12c9aadb7207afe9615fd2feb6344d7-baked.webp,Aaron Bummer,,Bronze,Braves,ATL,68,RP,,49,31,L,L,215 lbs,"6'3""",California,False,25,61,63,76,50,84,86,66,99,0,0,0,0,2,0,0,64,0,0,77,48,77,50,53,0,20,0,7,"[{'name': 'Fastball Running', 'speed': 90, 'control': 74, 'movement': 82}, {'name': 'Sinker', 'speed': 93, 'control': 60, 'movement': 99}, {'name': '4-Seam Fastball', 'speed': 94, 'control': 72, 'movement': 74}, {'name': 'Cutter', 'speed': 87, 'control': 63, 'movement': 72}, {'name': 'Curveball', 'speed': 82, 'control': 65, 'movement': 65}]",68,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,607481,2025_1,289.0,0.0,67.0,354.0,127.0,132.0,28.0,1.0,18.0,309.0,129.0,9.0,226.0,16.0,.224,1010.0,.320,.307,.627,6.0,31.0,.838,4695.0,3.84,272.0,14.0,15.0,5.0,22.0,85.0,17.0,116.0,1.31,1161.0,816.0,289.0,0.0,0.0,2885.0,.610,16.0,1.0,23.0,3.0,310.0,.483,17.26,35.0,2.40,10.22,4.27,7.48,4.37,0.60,168.0,56.0,2.0,4.0,10.0,0.0,5.0,13.0,6.0,6.0,5.0,1.0,0.0,14.0,5.0,2.0,10.0,1.0,.244,41.0,.327,.415,.742,0.0,4.0,1.000,209.0,4.76,11.1,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.32,49.0,34.0,10.0,0.0,0.0,139.0,.670,1.0,0.0,1.0,0.0,17.0,.000,18.44,3.0,2.80,11.12,3.97,7.94,4.76,0.00,6.0,4.0,0.0,2.0,10.0,0.0,5.0,13.0,6.0,6.0,5.0,1.0,0.0,14.0,5.0,2.0,10.0,1.0,.244,41.0,.327,.415,.742,0.0,4.0,1.000,209.0,4.76,11.1,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.32,49.0,34.0,10.0,0.0,0.0,139.0,.670,1.0,0.0,1.0,0.0,17.0,.000,18.44,3.0,2.80,11.12,3.97,7.94,4.76,0.00,6.0,4.0,0.0,2.0,5.0,0.0,3.0,8.0,4.0,3.0,3.0,1.0,0.0,7.0,1.0,0.0,5.0,1.0,.208,24.0,.269,.417,.686,0.0,2.0,1.000,118.0,4.26,6.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.95,26.0,19.0,5.0,0.0,0.0,81.0,.690,1.0,0.0,0.0,0.0,10.0,.---,18.63,2.0,7.00,9.95,1.42,7.11,4.26,0.00,3.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,69054b3dade80ebd345ca0de53a796fd,https://cards.theshow.com/mlb25/69054b3dade80ebd345ca0de53a796fd-baked.webp,Aaron Nola,,Silver,Phillies,PHI,77,SP,,27,31,R,R,200 lbs,"6'2""",Louisiana,False,86,59,65,61,74,55,74,71,84,0,6,0,0,0,55,0,70,25,0,77,66,62,68,38,0,25,0,0,"[{'name': 'Knuckle-curve', 'speed': 79, 'control': 95, 'movement': 73}, {'name': '4-Seam Fastball', 'speed': 92, 'control': 90, 'movement': 84}, {'name': 'Sinker', 'speed': 91, 'control': 63, 'movement': 83}, {'name': 'Circle Change', 'speed': 86, 'control': 57, 'movement': 71}, {'name': 'Cutter', 'speed': 87, 'control': 51, 'movement': 65}]",77,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,605400,2025_1,274.0,274.0,710.0,1647.0,1376.0,726.0,283.0,26.0,205.0,1816.0,433.0,16.0,1460.0,53.0,.234,6251.0,.288,.386,.674,43.0,115.0,.728,26140.0,3.74,1656.1,104.0,84.0,0.0,0.0,0.0,0.0,688.0,1.14,6785.0,4969.0,274.0,6.0,4.0,17426.0,.670,53.0,2.0,18.0,11.0,2410.0,.553,15.78,0.0,4.19,9.87,2.35,7.93,3.94,1.11,0.0,0.0,27.0,21.0,6.0,6.0,18.0,31.0,32.0,22.0,7.0,0.0,6.0,37.0,12.0,0.0,37.0,1.0,.272,136.0,.336,.456,.792,1.0,2.0,.667,584.0,5.40,35.0,0.0,5.0,0.0,0.0,0.0,0.0,21.0,1.40,150.0,105.0,6.0,0.0,0.0,383.0,.660,1.0,0.0,1.0,0.0,62.0,.000,16.69,0.0,3.08,9.51,3.09,9.51,5.66,1.54,0.0,0.0,1.0,0.0,6.0,6.0,18.0,31.0,32.0,22.0,7.0,0.0,6.0,37.0,12.0,0.0,37.0,1.0,.272,136.0,.336,.456,.792,1.0,2.0,.667,584.0,5.40,35.0,0.0,5.0,0.0,0.0,0.0,0.0,21.0,1.40,150.0,105.0,6.0,0.0,0.0,383.0,.660,1.0,0.0,1.0,0.0,62.0,.000,16.69,0.0,3.08,9.51,3.09,9.51,5.66,1.54,0.0,0.0,1.0,0.0,4.0,4.0,10.0,18.0,22.0,14.0,5.0,0.0,2.0,27.0,11.0,0.0,24.0,0.0,.264,91.0,.343,.385,.728,1.0,2.0,.667,392.0,4.94,23.2,0.0,3.0,0.0,0.0,0.0,0.0,13.0,1.48,102.0,71.0,4.0,0.0,0.0,261.0,.670,0.0,0.0,1.0,0.0,35.0,.000,16.56,0.0,2.45,10.27,4.18,9.13,5.32,0.76,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,ee3df05c4b1857006e0025bcf646398c,https://cards.theshow.com/mlb25/ee3df05c4b1857006e0025bcf646398c-baked.webp,A.J. Minter,,Silver,Mets,NYM,75,RP,,33,31,L,L,215 lbs,"6'0""",Texas,False,23,76,86,77,58,77,76,69,95,0,0,0,0,0,0,0,63,0,0,93,44,59,57,34,0,25,0,4,"[{'name': '4-Seam Fastball', 'speed': 95, 'control': 77, 'movement': 79}, {'name': 'Cutter', 'speed': 89, 'control': 64, 'movement': 95}, {'name': 'Circle Change', 'speed': 87, 'control': 68, 'movement': 72}]",75,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,621345,2025_1,384.0,0.0,167.0,265.0,325.0,140.0,62.0,5.0,27.0,422.0,123.0,11.0,294.0,8.0,.228,1289.0,.297,.347,.644,14.0,38.0,.731,5849.0,3.28,348.2,24.0,29.0,36.0,56.0,114.0,20.0,127.0,1.20,1438.0,1046.0,384.0,0.0,0.0,3840.0,.660,8.0,3.0,15.0,5.0,447.0,.453,16.78,98.0,3.43,10.89,3.17,7.59,3.61,0.70,119.0,30.0,6.0,11.0,13.0,0.0,5.0,10.0,9.0,2.0,1.0,0.0,0.0,14.0,5.0,0.0,6.0,0.0,.154,39.0,.250,.179,.429,0.0,1.0,1.000,185.0,1.64,11.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.00,44.0,33.0,13.0,0.0,0.0,110.0,.590,0.0,1.0,0.0,0.0,7.0,.---,16.82,1.0,2.80,11.45,4.09,4.91,1.64,0.00,2.0,1.0,0.0,0.0,13.0,0.0,5.0,10.0,9.0,2.0,1.0,0.0,0.0,14.0,5.0,0.0,6.0,0.0,.154,39.0,.250,.179,.429,0.0,1.0,1.000,185.0,1.64,11.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.00,44.0,33.0,13.0,0.0,0.0,110.0,.590,0.0,1.0,0.0,0.0,7.0,.---,16.82,1.0,2.80,11.45,4.09,4.91,1.64,0.00,2.0,1.0,0.0,0.0,8.0,0.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,.091,22.0,.231,.091,.322,0.0,0.0,.---,103.0,0.00,6.2,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.90,26.0,20.0,8.0,0.0,0.0,61.0,.590,0.0,0.0,0.0,0.0,2.0,.---,15.45,1.0,1.50,8.10,5.40,2.70,0.00,0.00,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,9e3b631d801e19a9e92a405ea759e09f,https://cards.theshow.com/mlb25/9e3b631d801e19a9e92a405ea759e09f-baked.webp,Aaron Schunk,,Bronze,Rockies,COL,66,3B,"1B, 2B",30,27,R,R,205 lbs,"6'1""",Georgia,True,0,0,0,0,0,0,0,10,10,40,58,36,50,40,34,27,35,25,69,0,81,71,60,78,0,68,26,24,[],66,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,668845,2025_1,46.0,,18.0,19.0,33.0,15.0,4.0,0.0,2.0,36.0,4.0,1.0,27.0,0.0,.237,114.0,.263,.325,.588,1.0,0.0,.000,441.0,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,1.0,0.0,7.0,,4.0,2.0,9.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,.250,20.0,.250,.300,.550,0.0,0.0,.---,70.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,0.0,7.0,,4.0,2.0,9.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,.250,20.0,.250,.300,.550,0.0,0.0,.---,70.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,0.0,7.0,,4.0,2.0,9.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,.250,20.0,.250,.300,.550,0.0,0.0,.---,70.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,0.0,0.0,119.0,7.0,50.0,.329,57.00,0.0,21.0,0.0,11.0,.333,-.--,0.0,21.0,0.0,11.0,.333,-.--,0.0,21.0,0.0,11.0,.333,-.--
5,3e67d1f24ebdbbbe125e7040442f6e84,https://cards.theshow.com/mlb25/3e67d1f24ebdbbbe125e7040442f6e84-baked.webp,Aaron Judge,,Diamond,Yankees,NYY,92,RF,"LF, CF",99,32,R,R,282 lbs,"6'7""",California,True,0,0,0,0,0,0,0,10,10,97,99,117,101,50,103,100,35,25,96,0,63,84,85,44,0,46,45,46,[],94,True,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,592450,2025_1,1025.0,,466.0,659.0,736.0,766.0,181.0,7.0,325.0,1238.0,714.0,72.0,1078.0,35.0,.293,3685.0,.410,.610,1.020,18.0,56.0,.757,18826.0,,,,,,,,,,,,,,,,,,,,,,2248.0,,,,,,,,,,,,0.0,26.0,32.0,,13.0,19.0,21.0,30.0,8.0,2.0,10.0,29.0,21.0,4.0,52.0,2.0,.430,121.0,.521,.777,1.298,2.0,3.0,.600,558.0,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,0.0,0.0,32.0,,13.0,19.0,21.0,30.0,8.0,2.0,10.0,29.0,21.0,4.0,52.0,2.0,.430,121.0,.521,.777,1.298,2.0,3.0,.600,558.0,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,0.0,0.0,20.0,,8.0,12.0,11.0,16.0,5.0,2.0,4.0,15.0,14.0,2.0,35.0,1.0,.479,73.0,.568,.767,1.335,2.0,1.0,.333,345.0,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,0.0,0.0,0.0,4467.0,748.0,1457.0,.351,11.34,0.0,144.0,32.0,35.0,.512,12.10,0.0,88.0,12.0,18.0,.574,18.25,0.0,144.0,32.0,35.0,.512,12.10
8,0ce3c706b8e866cbae77f745e39bad87,https://cards.theshow.com/mlb25/0ce3c706b8e866cbae77f745e39bad87-baked.webp,Abner Uribe,,Bronze,Brewers,MIL,69,RP,,45,24,R,R,215 lbs,"6'3""",Dominican Republic,False,24,87,83,75,24,79,99,74,86,6,4,5,2,11,13,9,38,5,0,75,44,94,43,38,0,37,6,5,"[{'name': 'Sinker', 'speed': 95, 'control': 77, 'movement': 81}, {'name': 'Slider', 'speed': 88, 'control': 74, 'movement': 86}, {'name': '4-Seam Fastball', 'speed': 99, 'control': 71, 'movement': 54}]",69,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,682842,2025_1,60.0,0.0,18.0,61.0,37.0,23.0,3.0,2.0,2.0,70.0,38.0,2.0,44.0,1.0,.211,209.0,.332,.273,.605,1.0,4.0,.800,990.0,3.07,58.2,4.0,2.0,4.0,7.0,16.0,3.0,20.0,1.40,251.0,176.0,60.0,0.0,0.0,591.0,.600,1.0,1.0,11.0,0.0,57.0,.667,16.88,13.0,1.84,10.74,5.83,6.75,3.53,0.31,13.0,6.0,1.0,2.0,14.0,0.0,4.0,15.0,7.0,4.0,0.0,0.0,1.0,17.0,6.0,0.0,13.0,0.0,.255,51.0,.333,.314,.647,1.0,0.0,.000,214.0,1.98,13.2,1.0,0.0,0.0,0.0,8.0,0.0,3.0,1.39,58.0,41.0,14.0,0.0,0.0,136.0,.640,0.0,0.0,2.0,0.0,16.0,1.000,15.66,0.0,2.83,11.20,3.95,8.56,2.63,0.66,4.0,1.0,1.0,0.0,14.0,0.0,4.0,15.0,7.0,4.0,0.0,0.0,1.0,17.0,6.0,0.0,13.0,0.0,.255,51.0,.333,.314,.647,1.0,0.0,.000,214.0,1.98,13.2,1.0,0.0,0.0,0.0,8.0,0.0,3.0,1.39,58.0,41.0,14.0,0.0,0.0,136.0,.640,0.0,0.0,2.0,0.0,16.0,1.000,15.66,0.0,2.83,11.20,3.95,8.56,2.63,0.66,4.0,1.0,1.0,0.0,8.0,0.0,3.0,5.0,5.0,2.0,0.0,0.0,1.0,10.0,4.0,0.0,8.0,0.0,.286,28.0,.375,.393,.768,0.0,0.0,.---,127.0,2.57,7.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.71,32.0,21.0,8.0,0.0,0.0,81.0,.640,0.0,0.0,1.0,0.0,11.0,.---,18.14,0.0,2.50,12.86,5.14,10.29,2.57,1.29,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
12,15114b232670d53c100a833d5b55946f,https://cards.theshow.com/mlb25/15114b232670d53c100a833d5b55946f-baked.webp,Adam Mazur,,Common,Marlins,MIA,55,RP,,60,23,R,R,180 lbs,"6'2""",Minnesota,False,72,37,47,50,36,56,92,55,60,5,2,6,3,3,2,5,34,7,0,76,56,57,58,50,0,40,6,4,"[{'name': '4-Seam Fastball', 'speed': 95, 'control': 56, 'movement': 56}, {'name': 'Circle Change', 'speed': 88, 'control': 59, 'movement': 45}, {'name': '12-6 Curve', 'speed': 80, 'control': 57, 'movement': 54}, {'name': 'Fastball Running', 'speed': 93, 'control': 56, 'movement': 60}, {'name': 'Sinker', 'speed': 94, 'control': 48, 'movement': 45}]",55,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,800049,2025_1,8.0,8.0,26.0,25.0,48.0,28.0,11.0,1.0,6.0,22.0,21.0,0.0,40.0,2.0,.301,133.0,.399,.534,.933,0.0,2.0,1.000,584.0,7.49,33.2,1.0,3.0,0.0,0.0,0.0,0.0,28.0,1.81,158.0,101.0,8.0,0.0,0.0,351.0,.600,2.0,0.0,0.0,1.0,71.0,.250,17.35,0.0,1.05,5.88,5.61,10.69,7.49,1.60,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
