Unnamed: 0,uuid,baked_img,name,short_description,rarity,team,team_short_name,ovr,display_position,display_secondary_positions,jersey_number,age,bat_hand,throw_hand,weight,height,born,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,pitches,new_rank,has_rank_change,locations,season,mlb_id,update,gamesPlayed,gamesStarted,flyOuts,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,sacBunts,sacFlies,season_gamesPlayed,season_gamesStarted,season_flyOuts,season_groundOuts,season_airOuts,season_runs,season_doubles,season_triples,season_homeRuns,season_strikeOuts,season_baseOnBalls,season_intentionalWalks,season_hits,season_hitByPitch,season_avg,season_atBats,season_obp,season_slg,season_ops,season_caughtStealing,season_stolenBases,season_stolenBasePercentage,season_numberOfPitches,season_era,season_inningsPitched,season_wins,season_losses,season_saves,season_saveOpportunities,season_holds,season_blownSaves,season_earnedRuns,season_whip,season_battersFaced,season_outs,season_gamesPitched,season_completeGames,season_shutouts,season_strikes,season_strikePercentage,season_hitBatsmen,season_balks,season_wildPitches,season_pickoffs,season_totalBases,season_winPercentage,season_pitchesPerInning,season_gamesFinished,season_strikeoutWalkRatio,season_strikeoutsPer9Inn,season_walksPer9Inn,season_hitsPer9Inn,season_runsScoredPer9,season_homeRunsPer9,season_inheritedRunners,season_inheritedRunnersScored,season_sacBunts,season_sacFlies,since_prev_gamesPlayed,since_prev_gamesStarted,since_prev_flyOuts,since_prev_groundOuts,since_prev_airOuts,since_prev_runs,since_prev_doubles,since_prev_triples,since_prev_homeRuns,since_prev_strikeOuts,since_prev_baseOnBalls,since_prev_intentionalWalks,since_prev_hits,since_prev_hitByPitch,since_prev_avg,since_prev_atBats,since_prev_obp,since_prev_slg,since_prev_ops,since_prev_caughtStealing,since_prev_stolenBases,since_prev_stolenBasePercentage,since_prev_numberOfPitches,since_prev_era,since_prev_inningsPitched,since_prev_wins,since_prev_losses,since_prev_saves,since_prev_saveOpportunities,since_prev_holds,since_prev_blownSaves,since_prev_earnedRuns,since_prev_whip,since_prev_battersFaced,since_prev_outs,since_prev_gamesPitched,since_prev_completeGames,since_prev_shutouts,since_prev_strikes,since_prev_strikePercentage,since_prev_hitBatsmen,since_prev_balks,since_prev_wildPitches,since_prev_pickoffs,since_prev_totalBases,since_prev_winPercentage,since_prev_pitchesPerInning,since_prev_gamesFinished,since_prev_strikeoutWalkRatio,since_prev_strikeoutsPer9Inn,since_prev_walksPer9Inn,since_prev_hitsPer9Inn,since_prev_runsScoredPer9,since_prev_homeRunsPer9,since_prev_inheritedRunners,since_prev_inheritedRunnersScored,since_prev_sacBunts,since_prev_sacFlies,3wk_gamesPlayed,3wk_gamesStarted,3wk_flyOuts,3wk_groundOuts,3wk_airOuts,3wk_runs,3wk_doubles,3wk_triples,3wk_homeRuns,3wk_strikeOuts,3wk_baseOnBalls,3wk_intentionalWalks,3wk_hits,3wk_hitByPitch,3wk_avg,3wk_atBats,3wk_obp,3wk_slg,3wk_ops,3wk_caughtStealing,3wk_stolenBases,3wk_stolenBasePercentage,3wk_numberOfPitches,3wk_era,3wk_inningsPitched,3wk_wins,3wk_losses,3wk_saves,3wk_saveOpportunities,3wk_holds,3wk_blownSaves,3wk_earnedRuns,3wk_whip,3wk_battersFaced,3wk_outs,3wk_gamesPitched,3wk_completeGames,3wk_shutouts,3wk_strikes,3wk_strikePercentage,3wk_hitBatsmen,3wk_balks,3wk_wildPitches,3wk_pickoffs,3wk_totalBases,3wk_winPercentage,3wk_pitchesPerInning,3wk_gamesFinished,3wk_strikeoutWalkRatio,3wk_strikeoutsPer9Inn,3wk_walksPer9Inn,3wk_hitsPer9Inn,3wk_runsScoredPer9,3wk_homeRunsPer9,3wk_inheritedRunners,3wk_inheritedRunnersScored,3wk_sacBunts,3wk_sacFlies,groundIntoTriplePlay,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun,season_groundIntoTriplePlay,season_plateAppearances,season_rbi,season_leftOnBase,season_babip,season_atBatsPerHomeRun,3wk_groundIntoTriplePlay,3wk_plateAppearances,3wk_rbi,3wk_leftOnBase,3wk_babip,3wk_atBatsPerHomeRun,since_prev_groundIntoTriplePlay,since_prev_plateAppearances,since_prev_rbi,since_prev_leftOnBase,since_prev_babip,since_prev_atBatsPerHomeRun
1,652901ebfb11a3676763839aa0a4c33f,https://cards.theshow.com/mlb25/652901ebfb11a3676763839aa0a4c33f-baked.webp,A.J. Puk,,Bronze,Diamondbacks,ARI,73,RP,,33,29,L,L,248 lbs,"6'7""",Minnesota,False,29,92,64,72,63,63,97,68,88,0,0,0,0,2,0,0,37,10,0,77,45,79,50,33,0,42,0,12,"[{'name': '4-Seam Fastball', 'speed': 96, 'control': 90, 'movement': 84}, {'name': 'Slider', 'speed': 85, 'control': 78, 'movement': 74}, {'name': 'Fastball Running', 'speed': 89, 'control': 55, 'movement': 60}, {'name': 'Sinker', 'speed': 95, 'control': 62, 'movement': 88}, {'name': 'Splitter', 'speed': 84, 'control': 57, 'movement': 60}]",73,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,640462,2025_2,90.0,4.0,57.0,86.0,95.0,56.0,21.0,1.0,13.0,123.0,36.0,2.0,90.0,3.0,.231,389.0,.299,.391,.690,2.0,11.0,.846,1706.0,4.11,100.2,11.0,13.0,16.0,26.0,9.0,10.0,46.0,1.25,433.0,302.0,90.0,0.0,0.0,1136.0,.670,3.0,1.0,3.0,1.0,152.0,.458,16.95,35.0,3.42,11.00,3.22,8.05,5.01,1.16,32.0,9.0,2.0,3.0,8.0,0.0,4.0,5.0,7.0,3.0,3.0,0.0,2.0,12.0,2.0,0.0,8.0,1.0,.250,32.0,.314,.531,.845,0.0,3.0,1.000,156.0,3.38,8.0,0.0,0.0,4.0,4.0,2.0,0.0,3.0,1.25,35.0,24.0,8.0,0.0,0.0,106.0,.680,1.0,0.0,1.0,0.0,17.0,.---,19.50,5.0,6.00,13.50,2.25,9.00,3.38,2.25,2.0,2.0,0.0,0.0,8.0,0.0,4.0,5.0,7.0,3.0,3.0,0.0,2.0,12.0,2.0,0.0,8.0,1.0,.250,32.0,.314,.531,.845,0.0,3.0,1.000,156.0,3.38,8.0,0.0,0.0,4.0,4.0,2.0,0.0,3.0,1.25,35.0,24.0,8.0,0.0,0.0,106.0,.680,1.0,0.0,1.0,0.0,17.0,.---,19.50,5.0,6.00,13.50,2.25,9.00,3.38,2.25,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,69054b3dade80ebd345ca0de53a796fd,https://cards.theshow.com/mlb25/69054b3dade80ebd345ca0de53a796fd-baked.webp,Aaron Nola,,Silver,Phillies,PHI,77,SP,,27,31,R,R,200 lbs,"6'2""",Louisiana,False,86,59,65,61,74,55,74,71,84,0,6,0,0,0,55,0,70,25,0,77,66,62,68,38,0,25,0,0,"[{'name': 'Knuckle-curve', 'speed': 79, 'control': 95, 'movement': 73}, {'name': '4-Seam Fastball', 'speed': 92, 'control': 90, 'movement': 84}, {'name': 'Sinker', 'speed': 91, 'control': 63, 'movement': 83}, {'name': 'Circle Change', 'speed': 86, 'control': 57, 'movement': 71}, {'name': 'Cutter', 'speed': 87, 'control': 51, 'movement': 65}]",77,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,605400,2025_2,276.0,276.0,714.0,1658.0,1383.0,730.0,284.0,26.0,207.0,1829.0,436.0,16.0,1470.0,55.0,.234,6292.0,.288,.386,.674,43.0,115.0,.728,26336.0,3.74,1667.1,105.0,85.0,0.0,0.0,0.0,0.0,692.0,1.14,6831.0,5002.0,276.0,6.0,4.0,17551.0,.670,55.0,2.0,18.0,11.0,2427.0,.553,15.80,0.0,4.19,9.87,2.35,7.93,3.94,1.12,0.0,0.0,27.0,21.0,8.0,8.0,22.0,42.0,39.0,26.0,8.0,0.0,8.0,50.0,15.0,0.0,47.0,3.0,.266,177.0,.333,.446,.779,1.0,2.0,.667,780.0,4.89,46.0,1.0,6.0,0.0,0.0,0.0,0.0,25.0,1.35,196.0,138.0,8.0,0.0,0.0,508.0,.650,3.0,0.0,1.0,0.0,79.0,.143,16.96,0.0,3.33,9.78,2.93,9.20,5.09,1.57,0.0,0.0,1.0,0.0,8.0,8.0,22.0,42.0,39.0,26.0,8.0,0.0,8.0,50.0,15.0,0.0,47.0,3.0,.266,177.0,.333,.446,.779,1.0,2.0,.667,780.0,4.89,46.0,1.0,6.0,0.0,0.0,0.0,0.0,25.0,1.35,196.0,138.0,8.0,0.0,0.0,508.0,.650,3.0,0.0,1.0,0.0,79.0,.143,16.96,0.0,3.33,9.78,2.93,9.20,5.09,1.57,0.0,0.0,1.0,0.0,4.0,4.0,11.0,21.0,22.0,9.0,3.0,0.0,4.0,25.0,6.0,0.0,20.0,2.0,.227,88.0,.292,.398,.690,0.0,0.0,.---,396.0,3.33,24.1,1.0,2.0,0.0,0.0,0.0,0.0,9.0,1.07,96.0,73.0,4.0,0.0,0.0,262.0,.660,2.0,0.0,0.0,0.0,35.0,.333,16.27,0.0,4.17,9.25,2.22,7.40,3.33,1.48,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,e3a9682e949423ecdcbe7e0a0b2ff990,https://cards.theshow.com/mlb25/e3a9682e949423ecdcbe7e0a0b2ff990-baked.webp,Aaron Ashby,,Bronze,Brewers,MIL,72,RP,,26,26,R,L,188 lbs,"6'1""",Missouri,False,30,81,77,61,57,62,99,68,95,0,0,0,0,0,17,0,38,8,0,77,43,55,38,40,0,28,0,8,"[{'name': 'Sinker', 'speed': 95, 'control': 70, 'movement': 70}, {'name': 'Circle Change', 'speed': 88, 'control': 60, 'movement': 82}, {'name': '12-6 Curve', 'speed': 82, 'control': 74, 'movement': 95}, {'name': 'Slider', 'speed': 83, 'control': 70, 'movement': 80}]",72,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,676879,2025_2,54.0,25.0,62.0,197.0,105.0,95.0,27.0,2.0,21.0,198.0,69.0,0.0,151.0,7.0,.234,644.0,.313,.380,.693,0.0,15.0,1.000,2894.0,4.20,167.1,6.0,14.0,2.0,3.0,5.0,1.0,78.0,1.31,727.0,502.0,54.0,0.0,0.0,1874.0,.650,7.0,1.0,9.0,0.0,245.0,.300,17.29,8.0,2.87,10.65,3.71,8.12,5.11,1.13,8.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24e09e2b5d0453f3f3fdb17c8ec14a7a,https://cards.theshow.com/mlb25/24e09e2b5d0453f3f3fdb17c8ec14a7a-baked.webp,Aaron Civale,,Bronze,Brewers,MIL,74,SP,,32,29,R,R,215 lbs,"6'2""",Connecticut,False,75,80,63,51,69,49,83,65,95,0,0,0,0,0,17,0,63,1,0,78,45,68,49,40,0,40,0,12,"[{'name': 'Cutter', 'speed': 88, 'control': 99, 'movement': 80}, {'name': 'Sinker', 'speed': 93, 'control': 60, 'movement': 62}, {'name': 'Curveball', 'speed': 77, 'control': 57, 'movement': 95}, {'name': 'Fastball Running', 'speed': 88, 'control': 65, 'movement': 90}, {'name': '4-Seam Fastball', 'speed': 92, 'control': 48, 'movement': 76}]",74,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,650644,2025_2,27.0,27.0,76.0,101.0,144.0,78.0,23.0,1.0,23.0,142.0,38.0,0.0,144.0,7.0,.273,528.0,.329,.451,.780,1.0,4.0,.800,2286.0,5.17,132.1,4.0,9.0,0.0,0.0,0.0,0.0,76.0,1.38,576.0,397.0,27.0,0.0,0.0,1476.0,.650,7.0,0.0,2.0,0.0,238.0,.308,17.27,0.0,3.74,9.66,2.58,9.79,5.30,1.56,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,.308,13.0,.357,1.000,1.357,0.0,0.0,.---,68.0,15.00,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.67,14.0,9.0,1.0,0.0,0.0,44.0,.650,0.0,0.0,0.0,0.0,13.0,.000,22.67,0.0,2.00,6.00,3.00,12.00,15.00,9.00,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,.308,13.0,.357,1.000,1.357,0.0,0.0,.---,68.0,15.00,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.67,14.0,9.0,1.0,0.0,0.0,44.0,.650,0.0,0.0,0.0,0.0,13.0,.000,22.67,0.0,2.00,6.00,3.00,12.00,15.00,9.00,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,e12c9aadb7207afe9615fd2feb6344d7,https://cards.theshow.com/mlb25/e12c9aadb7207afe9615fd2feb6344d7-baked.webp,Aaron Bummer,,Bronze,Braves,ATL,68,RP,,49,31,L,L,215 lbs,"6'3""",California,False,25,61,63,76,50,84,86,66,99,0,0,0,0,2,0,0,64,0,0,77,48,77,50,53,0,20,0,7,"[{'name': 'Fastball Running', 'speed': 90, 'control': 74, 'movement': 82}, {'name': 'Sinker', 'speed': 93, 'control': 60, 'movement': 99}, {'name': '4-Seam Fastball', 'speed': 94, 'control': 72, 'movement': 74}, {'name': 'Cutter', 'speed': 87, 'control': 63, 'movement': 72}, {'name': 'Curveball', 'speed': 82, 'control': 65, 'movement': 65}]",68,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,607481,2025_2,289.0,0.0,67.0,354.0,127.0,132.0,28.0,1.0,18.0,309.0,129.0,9.0,226.0,16.0,.224,1010.0,.320,.307,.627,6.0,31.0,.838,4695.0,3.84,272.0,14.0,15.0,5.0,22.0,85.0,17.0,116.0,1.31,1161.0,816.0,289.0,0.0,0.0,2885.0,.610,16.0,1.0,23.0,3.0,310.0,.483,17.26,35.0,2.40,10.22,4.27,7.48,4.37,0.60,168.0,56.0,2.0,4.0,12.0,0.0,5.0,17.0,7.0,6.0,4.0,1.0,0.0,20.0,5.0,2.0,12.0,1.0,.214,56.0,.290,.321,.611,0.0,2.0,1.000,257.0,3.00,15.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.13,62.0,45.0,12.0,0.0,0.0,172.0,.670,1.0,0.0,0.0,0.0,18.0,.000,17.13,4.0,4.00,12.00,3.00,7.20,3.60,0.00,6.0,3.0,0.0,0.0,12.0,0.0,5.0,17.0,7.0,6.0,4.0,1.0,0.0,20.0,5.0,2.0,12.0,1.0,.214,56.0,.290,.321,.611,0.0,2.0,1.000,257.0,3.00,15.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.13,62.0,45.0,12.0,0.0,0.0,172.0,.670,1.0,0.0,0.0,0.0,18.0,.000,17.13,4.0,4.00,12.00,3.00,7.20,3.60,0.00,6.0,3.0,0.0,0.0,7.0,0.0,4.0,12.0,6.0,3.0,1.0,1.0,0.0,11.0,2.0,1.0,5.0,1.0,.147,34.0,.216,.235,.451,0.0,2.0,1.000,159.0,1.86,9.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.72,37.0,29.0,7.0,0.0,0.0,104.0,.650,1.0,0.0,0.0,0.0,8.0,.---,16.45,2.0,5.50,10.24,1.86,4.66,2.79,0.00,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,ee3df05c4b1857006e0025bcf646398c,https://cards.theshow.com/mlb25/ee3df05c4b1857006e0025bcf646398c-baked.webp,A.J. Minter,,Silver,Mets,NYM,75,RP,,33,31,L,L,215 lbs,"6'0""",Texas,False,23,76,86,77,58,77,76,69,95,0,0,0,0,0,0,0,63,0,0,93,44,59,57,34,0,25,0,4,"[{'name': '4-Seam Fastball', 'speed': 95, 'control': 77, 'movement': 79}, {'name': 'Cutter', 'speed': 89, 'control': 64, 'movement': 95}, {'name': 'Circle Change', 'speed': 87, 'control': 68, 'movement': 72}]",75,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,621345,2025_2,384.0,0.0,167.0,265.0,325.0,140.0,62.0,5.0,27.0,422.0,123.0,11.0,294.0,8.0,.228,1289.0,.297,.347,.644,14.0,38.0,.731,5849.0,3.28,348.2,24.0,29.0,36.0,56.0,114.0,20.0,127.0,1.20,1438.0,1046.0,384.0,0.0,0.0,3840.0,.660,8.0,3.0,15.0,5.0,447.0,.453,16.78,98.0,3.43,10.89,3.17,7.59,3.61,0.70,119.0,30.0,6.0,11.0,13.0,0.0,5.0,10.0,9.0,2.0,1.0,0.0,0.0,14.0,5.0,0.0,6.0,0.0,.154,39.0,.250,.179,.429,0.0,1.0,1.000,185.0,1.64,11.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.00,44.0,33.0,13.0,0.0,0.0,110.0,.590,0.0,1.0,0.0,0.0,7.0,.---,16.82,1.0,2.80,11.45,4.09,4.91,1.64,0.00,2.0,1.0,0.0,0.0,13.0,0.0,5.0,10.0,9.0,2.0,1.0,0.0,0.0,14.0,5.0,0.0,6.0,0.0,.154,39.0,.250,.179,.429,0.0,1.0,1.000,185.0,1.64,11.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.00,44.0,33.0,13.0,0.0,0.0,110.0,.590,0.0,1.0,0.0,0.0,7.0,.---,16.82,1.0,2.80,11.45,4.09,4.91,1.64,0.00,2.0,1.0,0.0,0.0,4.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,.111,9.0,.385,.111,.496,0.0,0.0,.---,54.0,0.00,2.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.88,13.0,8.0,4.0,0.0,0.0,26.0,.480,0.0,0.0,0.0,0.0,1.0,.---,20.25,1.0,0.50,6.75,13.50,3.38,0.00,0.00,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11,cb167d3f1631bae63eec17586c67c02e,https://cards.theshow.com/mlb25/cb167d3f1631bae63eec17586c67c02e-baked.webp,Adam Macko,,Common,Blue Jays,TOR,63,SP,,64,24,L,L,170 lbs,"6'0""",Slovakia,False,75,54,48,56,48,54,43,50,64,9,12,7,13,12,11,8,33,7,0,68,48,48,45,43,0,36,9,8,"[{'name': '4-Seam Fastball', 'speed': 88, 'control': 58, 'movement': 56}, {'name': 'Curveball', 'speed': 74, 'control': 48, 'movement': 64}, {'name': 'Changeup', 'speed': 77, 'control': 48, 'movement': 58}, {'name': 'Fastball Running', 'speed': 92, 'control': 49, 'movement': 59}]",63,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,671936,2025_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0ce3c706b8e866cbae77f745e39bad87,https://cards.theshow.com/mlb25/0ce3c706b8e866cbae77f745e39bad87-baked.webp,Abner Uribe,,Bronze,Brewers,MIL,69,RP,,45,24,R,R,215 lbs,"6'3""",Dominican Republic,False,24,87,83,75,24,79,99,74,86,6,4,5,2,11,13,9,38,5,0,75,44,94,43,38,0,37,6,5,"[{'name': 'Sinker', 'speed': 95, 'control': 77, 'movement': 81}, {'name': 'Slider', 'speed': 88, 'control': 74, 'movement': 86}, {'name': '4-Seam Fastball', 'speed': 99, 'control': 71, 'movement': 54}]",69,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,682842,2025_2,63.0,0.0,18.0,65.0,38.0,23.0,3.0,2.0,2.0,73.0,40.0,2.0,45.0,1.0,.206,218.0,.330,.266,.596,1.0,4.0,.800,1038.0,2.92,61.2,4.0,2.0,4.0,7.0,17.0,3.0,20.0,1.38,262.0,185.0,63.0,0.0,0.0,619.0,.600,1.0,1.0,11.0,0.0,58.0,.667,16.83,13.0,1.83,10.65,5.84,6.57,3.36,0.29,13.0,6.0,1.0,2.0,17.0,0.0,4.0,19.0,8.0,4.0,0.0,0.0,1.0,20.0,8.0,0.0,14.0,0.0,.233,60.0,.324,.283,.607,1.0,0.0,.000,262.0,1.62,16.2,1.0,0.0,0.0,0.0,9.0,0.0,3.0,1.32,69.0,50.0,17.0,0.0,0.0,164.0,.630,0.0,0.0,2.0,0.0,17.0,1.000,15.72,0.0,2.50,10.80,4.32,7.56,2.16,0.54,4.0,1.0,1.0,0.0,17.0,0.0,4.0,19.0,8.0,4.0,0.0,0.0,1.0,20.0,8.0,0.0,14.0,0.0,.233,60.0,.324,.283,.607,1.0,0.0,.000,262.0,1.62,16.2,1.0,0.0,0.0,0.0,9.0,0.0,3.0,1.32,69.0,50.0,17.0,0.0,0.0,164.0,.630,0.0,0.0,2.0,0.0,17.0,1.000,15.72,0.0,2.50,10.80,4.32,7.56,2.16,0.54,4.0,1.0,1.0,0.0,8.0,0.0,3.0,7.0,6.0,2.0,0.0,0.0,1.0,10.0,5.0,0.0,8.0,0.0,.258,31.0,.361,.355,.716,0.0,0.0,.---,149.0,2.25,8.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.63,36.0,24.0,8.0,0.0,0.0,94.0,.630,0.0,0.0,1.0,0.0,11.0,.---,18.63,0.0,2.00,11.25,5.63,9.00,2.25,1.13,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
12,15114b232670d53c100a833d5b55946f,https://cards.theshow.com/mlb25/15114b232670d53c100a833d5b55946f-baked.webp,Adam Mazur,,Common,Marlins,MIA,55,RP,,60,23,R,R,180 lbs,"6'2""",Minnesota,False,72,37,47,50,36,56,92,55,60,5,2,6,3,3,2,5,34,7,0,76,56,57,58,50,0,40,6,4,"[{'name': '4-Seam Fastball', 'speed': 95, 'control': 56, 'movement': 56}, {'name': 'Circle Change', 'speed': 88, 'control': 59, 'movement': 45}, {'name': '12-6 Curve', 'speed': 80, 'control': 57, 'movement': 54}, {'name': 'Fastball Running', 'speed': 93, 'control': 56, 'movement': 60}, {'name': 'Sinker', 'speed': 94, 'control': 48, 'movement': 45}]",55,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,800049,2025_2,8.0,8.0,26.0,25.0,48.0,28.0,11.0,1.0,6.0,22.0,21.0,0.0,40.0,2.0,.301,133.0,.399,.534,.933,0.0,2.0,1.000,584.0,7.49,33.2,1.0,3.0,0.0,0.0,0.0,0.0,28.0,1.81,158.0,101.0,8.0,0.0,0.0,351.0,.600,2.0,0.0,0.0,1.0,71.0,.250,17.35,0.0,1.05,5.88,5.61,10.69,7.49,1.60,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ce02365e7cbf81007cbd278abf8ac48b,https://cards.theshow.com/mlb25/ce02365e7cbf81007cbd278abf8ac48b-baked.webp,Addison Barger,,Bronze,Blue Jays,TOR,69,3B,"LF, RF",47,25,L,R,210 lbs,"5'11""",Washington,True,0,0,0,0,0,0,0,10,10,35,42,33,61,56,44,84,29,24,74,0,54,99,67,62,0,66,12,14,[],68,True,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,680718,2025_2,86.0,,39.0,60.0,75.0,23.0,17.0,0.0,7.0,68.0,17.0,0.0,51.0,2.0,.202,253.0,.256,.352,.608,0.0,2.0,1.000,1037.0,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,0.0,1.0,17.0,,7.0,10.0,17.0,3.0,6.0,0.0,0.0,8.0,3.0,0.0,10.0,1.0,.222,45.0,.286,.356,.642,0.0,0.0,.---,178.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,0.0,0.0,17.0,,7.0,10.0,17.0,3.0,6.0,0.0,0.0,8.0,3.0,0.0,10.0,1.0,.222,45.0,.286,.356,.642,0.0,0.0,.---,178.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,0.0,0.0,15.0,,5.0,8.0,14.0,3.0,6.0,0.0,0.0,6.0,3.0,0.0,10.0,1.0,.263,38.0,.333,.421,.754,0.0,0.0,.---,145.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,0.0,0.0,0.0,274.0,33.0,121.0,.246,36.14,0.0,49.0,5.0,24.0,.270,-.--,0.0,42.0,5.0,21.0,.313,-.--,0.0,49.0,5.0,24.0,.270,-.--
