Unnamed: 0,uuid,baked_img,name,short_description,rarity,team,team_short_name,ovr,display_position,display_secondary_positions,jersey_number,age,bat_hand,throw_hand,weight,height,born,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,pitches,new_rank,has_rank_change,locations,season,mlb_id,update,gamesPlayed,gamesStarted,flyOuts,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,sacBunts,sacFlies,season_gamesPlayed,season_gamesStarted,season_flyOuts,season_groundOuts,season_airOuts,season_runs,season_doubles,season_triples,season_homeRuns,season_strikeOuts,season_baseOnBalls,season_intentionalWalks,season_hits,season_hitByPitch,season_avg,season_atBats,season_obp,season_slg,season_ops,season_caughtStealing,season_stolenBases,season_stolenBasePercentage,season_numberOfPitches,season_era,season_inningsPitched,season_wins,season_losses,season_saves,season_saveOpportunities,season_holds,season_blownSaves,season_earnedRuns,season_whip,season_battersFaced,season_outs,season_gamesPitched,season_completeGames,season_shutouts,season_strikes,season_strikePercentage,season_hitBatsmen,season_balks,season_wildPitches,season_pickoffs,season_totalBases,season_winPercentage,season_pitchesPerInning,season_gamesFinished,season_strikeoutWalkRatio,season_strikeoutsPer9Inn,season_walksPer9Inn,season_hitsPer9Inn,season_runsScoredPer9,season_homeRunsPer9,season_inheritedRunners,season_inheritedRunnersScored,season_sacBunts,season_sacFlies,since_prev_gamesPlayed,since_prev_gamesStarted,since_prev_flyOuts,since_prev_groundOuts,since_prev_airOuts,since_prev_runs,since_prev_doubles,since_prev_triples,since_prev_homeRuns,since_prev_strikeOuts,since_prev_baseOnBalls,since_prev_intentionalWalks,since_prev_hits,since_prev_hitByPitch,since_prev_avg,since_prev_atBats,since_prev_obp,since_prev_slg,since_prev_ops,since_prev_caughtStealing,since_prev_stolenBases,since_prev_stolenBasePercentage,since_prev_numberOfPitches,since_prev_era,since_prev_inningsPitched,since_prev_wins,since_prev_losses,since_prev_saves,since_prev_saveOpportunities,since_prev_holds,since_prev_blownSaves,since_prev_earnedRuns,since_prev_whip,since_prev_battersFaced,since_prev_outs,since_prev_gamesPitched,since_prev_completeGames,since_prev_shutouts,since_prev_strikes,since_prev_strikePercentage,since_prev_hitBatsmen,since_prev_balks,since_prev_wildPitches,since_prev_pickoffs,since_prev_totalBases,since_prev_winPercentage,since_prev_pitchesPerInning,since_prev_gamesFinished,since_prev_strikeoutWalkRatio,since_prev_strikeoutsPer9Inn,since_prev_walksPer9Inn,since_prev_hitsPer9Inn,since_prev_runsScoredPer9,since_prev_homeRunsPer9,since_prev_inheritedRunners,since_prev_inheritedRunnersScored,since_prev_sacBunts,since_prev_sacFlies,3wk_gamesPlayed,3wk_gamesStarted,3wk_flyOuts,3wk_groundOuts,3wk_airOuts,3wk_runs,3wk_doubles,3wk_triples,3wk_homeRuns,3wk_strikeOuts,3wk_baseOnBalls,3wk_intentionalWalks,3wk_hits,3wk_hitByPitch,3wk_avg,3wk_atBats,3wk_obp,3wk_slg,3wk_ops,3wk_caughtStealing,3wk_stolenBases,3wk_stolenBasePercentage,3wk_numberOfPitches,3wk_era,3wk_inningsPitched,3wk_wins,3wk_losses,3wk_saves,3wk_saveOpportunities,3wk_holds,3wk_blownSaves,3wk_earnedRuns,3wk_whip,3wk_battersFaced,3wk_outs,3wk_gamesPitched,3wk_completeGames,3wk_shutouts,3wk_strikes,3wk_strikePercentage,3wk_hitBatsmen,3wk_balks,3wk_wildPitches,3wk_pickoffs,3wk_totalBases,3wk_winPercentage,3wk_pitchesPerInning,3wk_gamesFinished,3wk_strikeoutWalkRatio,3wk_strikeoutsPer9Inn,3wk_walksPer9Inn,3wk_hitsPer9Inn,3wk_runsScoredPer9,3wk_homeRunsPer9,3wk_inheritedRunners,3wk_inheritedRunnersScored,3wk_sacBunts,3wk_sacFlies,groundIntoTriplePlay,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun,season_groundIntoTriplePlay,season_plateAppearances,season_rbi,season_leftOnBase,season_babip,season_atBatsPerHomeRun,3wk_groundIntoTriplePlay,3wk_plateAppearances,3wk_rbi,3wk_leftOnBase,3wk_babip,3wk_atBatsPerHomeRun,since_prev_groundIntoTriplePlay,since_prev_plateAppearances,since_prev_rbi,since_prev_leftOnBase,since_prev_babip,since_prev_atBatsPerHomeRun,old_rank,new_rarity,old_rarity,delta_rank
4,24e09e2b5d0453f3f3fdb17c8ec14a7a,https://cards.theshow.com/mlb25/24e09e2b5d0453f3f3fdb17c8ec14a7a-baked.webp,Aaron Civale,,Bronze,Brewers,MIL,74,SP,,32,29,R,R,215 lbs,"6'2""",Connecticut,False,75,80,63,51,69,49,83,65,95,0,0,0,0,0,17,0,63,1,0,78,45,68,49,40,0,40,0,12,"[{'name': 'Cutter', 'speed': 88, 'control': 99, 'movement': 80}, {'name': 'Sinker', 'speed': 93, 'control': 60, 'movement': 62}, {'name': 'Curveball', 'speed': 77, 'control': 57, 'movement': 95}, {'name': 'Fastball Running', 'speed': 88, 'control': 65, 'movement': 90}, {'name': '4-Seam Fastball', 'speed': 92, 'control': 48, 'movement': 76}]",74,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,650644,2025_2,27.0,27.0,76.0,101.0,144.0,78.0,23.0,1.0,23.0,142.0,38.0,0.0,144.0,7.0,0.273,528.0,0.329,0.451,0.78,1.0,4.0,.800,2286.0,5.17,132.1,4.0,9.0,0.0,0.0,0.0,0.0,76.0,1.38,576.0,397.0,27.0,0.0,0.0,1476.0,0.65,7.0,0.0,2.0,0.0,238.0,.308,17.27,0.0,3.74,9.66,2.58,9.79,5.3,1.56,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,0.308,13.0,0.357,1.0,1.357,0.0,0.0,.---,68.0,15.00,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.67,14.0,9.0,1.0,0.0,0.0,44.0,0.65,0.0,0.0,0.0,0.0,13.0,.000,22.67,0.0,2.00,6.00,3.00,12.00,15.00,9.00,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,6.0,5.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,0.308,13.0,0.357,1.0,1.357,0.0,0.0,.---,68.0,15.00,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.67,14.0,9.0,1.0,0.0,0.0,44.0,0.65,0.0,0.0,0.0,0.0,13.0,.000,22.67,0.0,2.00,6.00,3.00,12.00,15.00,9.00,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,Bronze,Bronze,0
2,e3a9682e949423ecdcbe7e0a0b2ff990,https://cards.theshow.com/mlb25/e3a9682e949423ecdcbe7e0a0b2ff990-baked.webp,Aaron Ashby,,Bronze,Brewers,MIL,72,RP,,26,26,R,L,188 lbs,"6'1""",Missouri,False,30,81,77,61,57,62,99,68,95,0,0,0,0,0,17,0,38,8,0,77,43,55,38,40,0,28,0,8,"[{'name': 'Sinker', 'speed': 95, 'control': 70, 'movement': 70}, {'name': 'Circle Change', 'speed': 88, 'control': 60, 'movement': 82}, {'name': '12-6 Curve', 'speed': 82, 'control': 74, 'movement': 95}, {'name': 'Slider', 'speed': 83, 'control': 70, 'movement': 80}]",72,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,676879,2025_2,54.0,25.0,62.0,197.0,105.0,95.0,27.0,2.0,21.0,198.0,69.0,0.0,151.0,7.0,0.234,644.0,0.313,0.38,0.693,0.0,15.0,1.000,2894.0,4.2,167.1,6.0,14.0,2.0,3.0,5.0,1.0,78.0,1.31,727.0,502.0,54.0,0.0,0.0,1874.0,0.65,7.0,1.0,9.0,0.0,245.0,.300,17.29,8.0,2.87,10.65,3.71,8.12,5.11,1.13,8.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,Bronze,Bronze,0
0,ee3df05c4b1857006e0025bcf646398c,https://cards.theshow.com/mlb25/ee3df05c4b1857006e0025bcf646398c-baked.webp,A.J. Minter,,Silver,Mets,NYM,75,RP,,33,31,L,L,215 lbs,"6'0""",Texas,False,23,76,86,77,58,77,76,69,95,0,0,0,0,0,0,0,63,0,0,93,44,59,57,34,0,25,0,4,"[{'name': '4-Seam Fastball', 'speed': 95, 'control': 77, 'movement': 79}, {'name': 'Cutter', 'speed': 89, 'control': 64, 'movement': 95}, {'name': 'Circle Change', 'speed': 87, 'control': 68, 'movement': 72}]",75,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,621345,2025_2,384.0,0.0,167.0,265.0,325.0,140.0,62.0,5.0,27.0,422.0,123.0,11.0,294.0,8.0,0.228,1289.0,0.297,0.347,0.644,14.0,38.0,.731,5849.0,3.28,348.2,24.0,29.0,36.0,56.0,114.0,20.0,127.0,1.2,1438.0,1046.0,384.0,0.0,0.0,3840.0,0.66,8.0,3.0,15.0,5.0,447.0,.453,16.78,98.0,3.43,10.89,3.17,7.59,3.61,0.7,119.0,30.0,6.0,11.0,13.0,0.0,5.0,10.0,9.0,2.0,1.0,0.0,0.0,14.0,5.0,0.0,6.0,0.0,0.154,39.0,0.25,0.179,0.429,0.0,1.0,1.000,185.0,1.64,11.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.00,44.0,33.0,13.0,0.0,0.0,110.0,0.59,0.0,1.0,0.0,0.0,7.0,.---,16.82,1.0,2.80,11.45,4.09,4.91,1.64,0.00,2.0,1.0,0.0,0.0,13.0,0.0,5.0,10.0,9.0,2.0,1.0,0.0,0.0,14.0,5.0,0.0,6.0,0.0,0.154,39.0,0.25,0.179,0.429,0.0,1.0,1.000,185.0,1.64,11.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.00,44.0,33.0,13.0,0.0,0.0,110.0,0.59,0.0,1.0,0.0,0.0,7.0,.---,16.82,1.0,2.80,11.45,4.09,4.91,1.64,0.00,2.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.083,12.0,0.313,0.083,0.396,0.0,0.0,.---,63.0,0.00,3.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.36,16.0,11.0,5.0,0.0,0.0,32.0,0.51,0.0,0.0,0.0,0.0,1.0,.---,17.18,1.0,0.50,4.91,9.82,2.45,0.00,0.00,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,75,Silver,Silver,0
6,69054b3dade80ebd345ca0de53a796fd,https://cards.theshow.com/mlb25/69054b3dade80ebd345ca0de53a796fd-baked.webp,Aaron Nola,,Silver,Phillies,PHI,77,SP,,27,31,R,R,200 lbs,"6'2""",Louisiana,False,86,59,65,61,74,55,74,71,84,0,6,0,0,0,55,0,70,25,0,77,66,62,68,38,0,25,0,0,"[{'name': 'Knuckle-curve', 'speed': 79, 'control': 95, 'movement': 73}, {'name': '4-Seam Fastball', 'speed': 92, 'control': 90, 'movement': 84}, {'name': 'Sinker', 'speed': 91, 'control': 63, 'movement': 83}, {'name': 'Circle Change', 'speed': 86, 'control': 57, 'movement': 71}, {'name': 'Cutter', 'speed': 87, 'control': 51, 'movement': 65}]",77,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,605400,2025_2,275.0,275.0,710.0,1655.0,1377.0,726.0,284.0,26.0,205.0,1824.0,434.0,16.0,1464.0,54.0,0.233,6272.0,0.288,0.385,0.673,43.0,115.0,.728,26249.0,3.72,1662.1,105.0,84.0,0.0,0.0,0.0,0.0,688.0,1.14,6808.0,4987.0,275.0,6.0,4.0,17495.0,0.67,54.0,2.0,18.0,11.0,2415.0,.556,15.79,0.0,4.20,9.88,2.35,7.93,3.93,1.11,0.0,0.0,27.0,21.0,7.0,7.0,18.0,39.0,33.0,22.0,8.0,0.0,6.0,45.0,13.0,0.0,41.0,2.0,0.261,157.0,0.326,0.427,0.753,1.0,2.0,.667,693.0,4.61,41.0,1.0,5.0,0.0,0.0,0.0,0.0,21.0,1.32,173.0,123.0,7.0,0.0,0.0,452.0,0.65,2.0,0.0,1.0,0.0,67.0,.167,16.90,0.0,3.46,9.88,2.85,9.00,4.83,1.32,0.0,0.0,1.0,0.0,7.0,7.0,18.0,39.0,33.0,22.0,8.0,0.0,6.0,45.0,13.0,0.0,41.0,2.0,0.261,157.0,0.326,0.427,0.753,1.0,2.0,.667,693.0,4.61,41.0,1.0,5.0,0.0,0.0,0.0,0.0,21.0,1.32,173.0,123.0,7.0,0.0,0.0,452.0,0.65,2.0,0.0,1.0,0.0,67.0,.167,16.90,0.0,3.46,9.88,2.85,9.00,4.83,1.32,0.0,0.0,1.0,0.0,3.0,3.0,7.0,18.0,16.0,5.0,3.0,0.0,2.0,20.0,4.0,0.0,14.0,1.0,0.206,68.0,0.26,0.338,0.598,0.0,0.0,.---,309.0,2.33,19.1,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.93,73.0,58.0,3.0,0.0,0.0,206.0,0.67,1.0,0.0,0.0,0.0,23.0,.500,15.98,0.0,5.00,9.31,1.86,6.52,2.33,0.93,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,77,Silver,Silver,0
3,e12c9aadb7207afe9615fd2feb6344d7,https://cards.theshow.com/mlb25/e12c9aadb7207afe9615fd2feb6344d7-baked.webp,Aaron Bummer,,Bronze,Braves,ATL,68,RP,,49,31,L,L,215 lbs,"6'3""",California,False,25,61,63,76,50,84,86,66,99,0,0,0,0,2,0,0,64,0,0,77,48,77,50,53,0,20,0,7,"[{'name': 'Fastball Running', 'speed': 90, 'control': 74, 'movement': 82}, {'name': 'Sinker', 'speed': 93, 'control': 60, 'movement': 99}, {'name': '4-Seam Fastball', 'speed': 94, 'control': 72, 'movement': 74}, {'name': 'Cutter', 'speed': 87, 'control': 63, 'movement': 72}, {'name': 'Curveball', 'speed': 82, 'control': 65, 'movement': 65}]",68,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,607481,2025_2,289.0,0.0,67.0,354.0,127.0,132.0,28.0,1.0,18.0,309.0,129.0,9.0,226.0,16.0,0.224,1010.0,0.32,0.307,0.627,6.0,31.0,.838,4695.0,3.84,272.0,14.0,15.0,5.0,22.0,85.0,17.0,116.0,1.31,1161.0,816.0,289.0,0.0,0.0,2885.0,0.61,16.0,1.0,23.0,3.0,310.0,.483,17.26,35.0,2.40,10.22,4.27,7.48,4.37,0.6,168.0,56.0,2.0,4.0,12.0,0.0,7.0,18.0,8.0,7.0,5.0,1.0,0.0,18.0,6.0,3.0,13.0,1.0,0.236,55.0,0.313,0.364,0.677,0.0,4.0,1.000,265.0,3.60,15.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.27,64.0,45.0,12.0,0.0,0.0,175.0,0.66,1.0,0.0,1.0,0.0,20.0,.000,17.67,3.0,3.00,10.80,3.60,7.80,4.20,0.00,8.0,5.0,0.0,2.0,12.0,0.0,7.0,18.0,8.0,7.0,5.0,1.0,0.0,18.0,6.0,3.0,13.0,1.0,0.236,55.0,0.313,0.364,0.677,0.0,4.0,1.000,265.0,3.60,15.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.27,64.0,45.0,12.0,0.0,0.0,175.0,0.66,1.0,0.0,1.0,0.0,20.0,.000,17.67,3.0,3.00,10.80,3.60,7.80,4.20,0.00,8.0,5.0,0.0,2.0,6.0,0.0,4.0,12.0,5.0,3.0,1.0,1.0,0.0,9.0,2.0,1.0,5.0,1.0,0.161,31.0,0.235,0.258,0.493,0.0,2.0,1.000,148.0,2.08,8.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.81,34.0,26.0,6.0,0.0,0.0,96.0,0.65,1.0,0.0,0.0,0.0,8.0,.---,17.08,1.0,4.50,9.35,2.08,5.19,3.12,0.00,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,68,Bronze,Bronze,0
5,3e67d1f24ebdbbbe125e7040442f6e84,https://cards.theshow.com/mlb25/3e67d1f24ebdbbbe125e7040442f6e84-baked.webp,Aaron Judge,,Diamond,Yankees,NYY,92,RF,"LF, CF",99,32,R,R,282 lbs,"6'7""",California,True,0,0,0,0,0,0,0,10,10,97,99,117,101,50,103,100,35,25,96,0,63,84,85,44,0,46,45,46,[],92,True,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,592450,2025_2,1030.0,,470.0,665.0,740.0,770.0,182.0,7.0,327.0,1243.0,716.0,73.0,1082.0,35.0,0.292,3704.0,0.409,0.61,1.019,18.0,56.0,.757,18901.0,,,,,,,,,,,,,,,,,,,,,,2259.0,,,,,,,,,,,,0.0,26.0,37.0,,17.0,25.0,25.0,34.0,9.0,2.0,12.0,34.0,23.0,5.0,56.0,2.0,0.4,140.0,0.491,0.75,1.241,2.0,3.0,.600,633.0,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,0.0,0.0,37.0,,17.0,25.0,25.0,34.0,9.0,2.0,12.0,34.0,23.0,5.0,56.0,2.0,0.4,140.0,0.491,0.75,1.241,2.0,3.0,.600,633.0,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,0.0,0.0,19.0,,10.0,15.0,13.0,14.0,4.0,2.0,5.0,17.0,10.0,2.0,29.0,0.0,0.392,74.0,0.464,0.703,1.167,2.0,1.0,.333,326.0,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,0.0,0.0,0.0,4488.0,750.0,1467.0,.350,11.33,0.0,165.0,34.0,45.0,.468,11.67,0.0,84.0,13.0,23.0,.462,14.80,0.0,165.0,34.0,45.0,.468,11.67,92,Diamond,Diamond,0
1,652901ebfb11a3676763839aa0a4c33f,https://cards.theshow.com/mlb25/652901ebfb11a3676763839aa0a4c33f-baked.webp,A.J. Puk,,Bronze,Diamondbacks,ARI,73,RP,,33,29,L,L,248 lbs,"6'7""",Minnesota,False,29,92,64,72,63,63,97,68,88,0,0,0,0,2,0,0,37,10,0,77,45,79,50,33,0,42,0,12,"[{'name': '4-Seam Fastball', 'speed': 96, 'control': 90, 'movement': 84}, {'name': 'Slider', 'speed': 85, 'control': 78, 'movement': 74}, {'name': 'Fastball Running', 'speed': 89, 'control': 55, 'movement': 60}, {'name': 'Sinker', 'speed': 95, 'control': 62, 'movement': 88}, {'name': 'Splitter', 'speed': 84, 'control': 57, 'movement': 60}]",73,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,640462,2025_2,90.0,4.0,57.0,86.0,95.0,56.0,21.0,1.0,13.0,123.0,36.0,2.0,90.0,3.0,0.231,389.0,0.299,0.391,0.69,2.0,11.0,.846,1706.0,4.11,100.2,11.0,13.0,16.0,26.0,9.0,10.0,46.0,1.25,433.0,302.0,90.0,0.0,0.0,1136.0,0.67,3.0,1.0,3.0,1.0,152.0,.458,16.95,35.0,3.42,11.0,3.22,8.05,5.01,1.16,32.0,9.0,2.0,3.0,8.0,0.0,4.0,5.0,7.0,3.0,3.0,0.0,2.0,12.0,2.0,0.0,8.0,1.0,0.25,32.0,0.314,0.531,0.845,0.0,3.0,1.000,156.0,3.38,8.0,0.0,0.0,4.0,4.0,2.0,0.0,3.0,1.25,35.0,24.0,8.0,0.0,0.0,106.0,0.68,1.0,0.0,1.0,0.0,17.0,.---,19.50,5.0,6.00,13.50,2.25,9.00,3.38,2.25,2.0,2.0,0.0,0.0,8.0,0.0,4.0,5.0,7.0,3.0,3.0,0.0,2.0,12.0,2.0,0.0,8.0,1.0,0.25,32.0,0.314,0.531,0.845,0.0,3.0,1.000,156.0,3.38,8.0,0.0,0.0,4.0,4.0,2.0,0.0,3.0,1.25,35.0,24.0,8.0,0.0,0.0,106.0,0.68,1.0,0.0,1.0,0.0,17.0,.---,19.50,5.0,6.00,13.50,2.25,9.00,3.38,2.25,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,4.0,0.25,0.5,0.75,0.0,0.0,.---,21.0,0.00,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.00,4.0,3.0,1.0,0.0,0.0,16.0,0.76,0.0,0.0,1.0,0.0,2.0,.---,21.00,1.0,-.--,9.00,0.00,9.00,0.00,0.00,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,73,Bronze,Bronze,0
8,0ce3c706b8e866cbae77f745e39bad87,https://cards.theshow.com/mlb25/0ce3c706b8e866cbae77f745e39bad87-baked.webp,Abner Uribe,,Bronze,Brewers,MIL,69,RP,,45,24,R,R,215 lbs,"6'3""",Dominican Republic,False,24,87,83,75,24,79,99,74,86,6,4,5,2,11,13,9,38,5,0,75,44,94,43,38,0,37,6,5,"[{'name': 'Sinker', 'speed': 95, 'control': 77, 'movement': 81}, {'name': 'Slider', 'speed': 88, 'control': 74, 'movement': 86}, {'name': '4-Seam Fastball', 'speed': 99, 'control': 71, 'movement': 54}]",69,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,682842,2025_2,63.0,0.0,18.0,65.0,38.0,23.0,3.0,2.0,2.0,73.0,40.0,2.0,45.0,1.0,0.206,218.0,0.33,0.266,0.596,1.0,4.0,.800,1038.0,2.92,61.2,4.0,2.0,4.0,7.0,17.0,3.0,20.0,1.38,262.0,185.0,63.0,0.0,0.0,619.0,0.6,1.0,1.0,11.0,0.0,58.0,.667,16.83,13.0,1.83,10.65,5.84,6.57,3.36,0.29,13.0,6.0,1.0,2.0,17.0,0.0,4.0,19.0,8.0,4.0,0.0,0.0,1.0,20.0,8.0,0.0,14.0,0.0,0.233,60.0,0.324,0.283,0.607,1.0,0.0,.000,262.0,1.62,16.2,1.0,0.0,0.0,0.0,9.0,0.0,3.0,1.32,69.0,50.0,17.0,0.0,0.0,164.0,0.63,0.0,0.0,2.0,0.0,17.0,1.000,15.72,0.0,2.50,10.80,4.32,7.56,2.16,0.54,4.0,1.0,1.0,0.0,17.0,0.0,4.0,19.0,8.0,4.0,0.0,0.0,1.0,20.0,8.0,0.0,14.0,0.0,0.233,60.0,0.324,0.283,0.607,1.0,0.0,.000,262.0,1.62,16.2,1.0,0.0,0.0,0.0,9.0,0.0,3.0,1.32,69.0,50.0,17.0,0.0,0.0,164.0,0.63,0.0,0.0,2.0,0.0,17.0,1.000,15.72,0.0,2.50,10.80,4.32,7.56,2.16,0.54,4.0,1.0,1.0,0.0,8.0,0.0,3.0,7.0,6.0,2.0,0.0,0.0,1.0,10.0,5.0,0.0,8.0,0.0,0.258,31.0,0.361,0.355,0.716,0.0,0.0,.---,149.0,2.25,8.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.63,36.0,24.0,8.0,0.0,0.0,94.0,0.63,0.0,0.0,1.0,0.0,11.0,.---,18.63,0.0,2.00,11.25,5.63,9.00,2.25,1.13,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,69,Bronze,Bronze,0
11,cb167d3f1631bae63eec17586c67c02e,https://cards.theshow.com/mlb25/cb167d3f1631bae63eec17586c67c02e-baked.webp,Adam Macko,,Common,Blue Jays,TOR,63,SP,,64,24,L,L,170 lbs,"6'0""",Slovakia,False,75,54,48,56,48,54,43,50,64,9,12,7,13,12,11,8,33,7,0,68,48,48,45,43,0,36,9,8,"[{'name': '4-Seam Fastball', 'speed': 88, 'control': 58, 'movement': 56}, {'name': 'Curveball', 'speed': 74, 'control': 48, 'movement': 64}, {'name': 'Changeup', 'speed': 77, 'control': 48, 'movement': 58}, {'name': 'Fastball Running', 'speed': 92, 'control': 49, 'movement': 59}]",63,False,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK', 'DIAMOND QUEST']",2025,671936,2025_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,Common,Common,0
9,819ce02be3100fadf79b7f5aea4c6b4d,https://cards.theshow.com/mlb25/819ce02be3100fadf79b7f5aea4c6b4d-baked.webp,Adael Amador,,Common,Rockies,COL,63,2B,"3B, SS",1,21,S,R,200 lbs,"6'0""",Dominican Republic,True,0,0,0,0,0,0,0,10,10,44,50,40,44,39,38,45,35,30,70,0,62,64,61,64,0,65,40,41,[],63,True,"['COMMUNITY MARKET', 'DAILY LOGIN REWARD', 'THE SHOW PACK']",2025,691182,2025_2,26.0,,19.0,21.0,24.0,3.0,4.0,0.0,1.0,21.0,4.0,0.0,13.0,1.0,0.167,78.0,0.217,0.256,0.473,0.0,2.0,1.000,303.0,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,1.0,0.0,16.0,,10.0,8.0,14.0,2.0,3.0,0.0,1.0,15.0,3.0,0.0,7.0,1.0,0.163,43.0,0.234,0.302,0.536,0.0,1.0,1.000,184.0,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,1.0,0.0,16.0,,10.0,8.0,14.0,2.0,3.0,0.0,1.0,15.0,3.0,0.0,7.0,1.0,0.163,43.0,0.234,0.302,0.536,0.0,1.0,1.000,184.0,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,1.0,0.0,12.0,,7.0,6.0,10.0,2.0,2.0,0.0,1.0,9.0,3.0,0.0,5.0,1.0,0.172,29.0,0.273,0.345,0.618,0.0,1.0,1.000,124.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,1.0,0.0,0.0,84.0,3.0,28.0,.214,78.00,0.0,48.0,3.0,16.0,.222,43.00,0.0,34.0,3.0,13.0,.211,29.00,0.0,48.0,3.0,16.0,.222,43.00,63,Common,Common,0
